theta,unattCRF,attCRF
-180,0.234922878449905,0.210230135501631
-179,0.141579372579283,0.18961302513073
-178,0.126334992810446,0.169147063886527
-177,0.127008341598108,0.169996690269801
-176,0.132932685725886,0.177869713354774
-175,0.139597093708448,0.186725220756755
-174,0.146571306792423,0.195986472837038
-173,0.153852153001873,0.205648324435484
-172,0.161450715800846,0.215724628186114
-171,0.169378544670481,0.226229777795177
-170,0.177647500216449,0.237178495021986
-169,0.186269757284737,0.248585827689966
-168,0.19525780860106,0.260467148063707
-167,0.204624468270329,0.272838150694612
-166,0.214382875126793,0.285714849713009
-165,0.224546495926255,0.299113575546045
-164,0.235129128371388,0.313050971040897
-163,0.246144903960894,0.327543986973046
-162,0.257608290652826,0.342609876919714
-161,0.269534095332009,0.358266191478865
-160,0.281937466071012,0.374530771814639
-159,0.294833894173638,0.391421742510527
-158,0.308239215989329,0.408957503712161
-157,0.322169614486294,0.427156722542168
-156,0.336641620570509,0.446038323770221
-155,0.35167211413701,0.465621479722137
-154,0.367278324839158,0.485925599412672
-153,0.383477832560694,0.506970316887497
-152,0.400288567574531,0.528775478760811
-151,0.417728810371279,0.551361130935985
-150,0.435817191139449,0.574747504497725
-149,0.454572688878243,0.598955000765354
-148,0.474014630122658,0.62400417549801
-147,0.494162687259439,0.649915722243797
-146,0.515036876411135,0.676710454826281
-145,0.536657554864188,0.704409288963101
-144,0.559045418015581,0.733033223012887
-143,0.582221495811149,0.762603317848254
-142,0.606207148647128,0.793140675854172
-141,0.631024062705007,0.824666419052683
-140,0.656694244688143,0.857201666356609
-139,0.683240015926987,0.890767509956684
-138,0.71068400581813,0.925384990848322
-137,0.739049144560714,0.961075073506131
-136,0.768358655152066,0.997858619716167
-135,0.798636044602782,1.03575636157791
-134,0.829905094329756,1.07478887368996
-133,0.862189849684107,1.1149765445354
-132,0.895514608569286,1.15633954708508
-131,0.929903909103121,1.19889780863893
-130,0.965382516276108,1.24267097992775
-129,1.0019754075568,1.28767840350004
-128,1.03970775739393,1.33393908142067
-127,1.07860492056363,1.38147164231024
-126,1.11869241430913,1.43029430775659
-125,1.15999589921949,1.48042485813164
-124,1.20254115879296,1.53188059784948
-123,1.24635407763048,1.58467832010357
-122,1.29146061820396,1.63883427112317
-121,1.33788679614454,1.69436411399156
-120,1.38565865399578,1.75128289207046
-119,1.43480223337726,1.80960499207758
-118,1.48534354550525,1.86934410686622
-117,1.53730854001762,1.93051319795787
-116,1.59072307205217,1.99312445788103
-115,1.64561286752906,2.05718927237145
-114,1.70200348659029,2.12271818249064
-113,1.75992028515206,2.18972084672209
-112,1.81938837452846,2.25820600310569
-111,1.88043257908892,2.32818143147324
-110,1.94307739191537,2.3996539158492
-109,2.00734692842991,2.4726292070828
-108,2.07326487796847,2.54711198577882
-107,2.14085445328134,2.62310582559594
-106,2.21013833794764,2.70061315698279
-105,2.28113863169706,2.7796352314232
-104,2.35387679363917,2.86017208626293
-103,2.4283735834082,2.94222251019136
-102,2.50464900023915,3.02578400945241
-101,2.58272221999961,3.11085277485951
-100,2.66261153021065,3.19742364969025
-99,2.74433426309987,3.2854900985365
-98,2.82790672673932,3.37504417718614
-97,2.91334413433185,3.4660765036128
-96,3.00066053172003,3.55857623014967
-95,3.08986872320329,3.65253101692347
-94,3.18098019576038,3.74792700662419
-93,3.27400504178637,3.84474880068561
-92,3.36895188046582,3.94297943695106
-91,3.46582777791592,4.04260036889773
-90,3.56463816624662,4.143591446492
-89,3.66538676169737,4.24593089874681
-88,3.76807548202305,4.34959531805085
-87,3.87270436331514,4.45455964633749
-86,3.9792714764566,4.56079716315975
-85,4.08777284342225,4.66827947573551
-84,4.19820235364925,4.77697651102509
-83,4.31055168071447,4.88685650990087
-82,4.424810199568,4.997886023466
-81,4.54096490458394,5.11002991157693
-80,4.65900032870075,5.22325134362089
-79,4.7788984639344,5.33751180159724
-78,4.9006386835577,5.45277108554753
-77,5.02419766624876,5.56898732137629
-76,5.14954932251982,5.68611697110068
-75,5.27666472374615,5.80411484556362
-74,5.40551203412066,5.9229341196408
-73,5.53605644586664,6.04252634996828
-72,5.66826011804453,6.16284149521306
-71,5.8020821192933,6.28382793890461
-70,5.93747837484819,6.40543251484106
-69,6.07440161817785,6.52760053507911
-68,6.21280134758336,6.65027582051205
-67,6.35262378809933,6.77340073403549
-66,6.49381185903389,6.89691621629577
