theta,unattCRF,attCRF
-180,0.209921242722874,0.367181816507888
-179,0.190063558234433,0.221631952916635
-178,0.169548968520788,0.197710014549278
-177,0.170400613688919,0.198703111495171
-176,0.178292343623097,0.207905607551766
-175,0.187168892331719,0.21825649400411
-174,0.196452149805623,0.229081640218564
-173,0.206136958660715,0.240375032100436
-172,0.216237204447178,0.252152861396319
-171,0.226767315073149,0.264431952285244
-170,0.237742047279406,0.277229512387785
-169,0.249176484645702,0.290563130440911
-168,0.261086035963959,0.304450774400639
-167,0.273486433078806,0.31891078892355
-166,0.28639372817326,0.333961892201292
-165,0.299824290478826,0.349623172123912
-164,0.313794802389498,0.365914081748075
-163,0.328322254959371,0.382854434046521
-162,0.343423942763895,0.400464395915473
-161,0.359117458105146,0.418764481417125
-160,0.375420684541931,0.43777554423481
-159,0.39235178972598,0.457518769319035
-158,0.409929217526074,0.47801566370317
-157,0.428171679422501,0.4992880464683
-156,0.447098145154947,0.521358037837515
-155,0.466727832607617,0.544248047380762
-154,0.487080196916207,0.567980761312319
-153,0.508174918782194,0.592579128863934
-152,0.53003189198083,0.618066347717785
-151,0.552671210050239,0.644465848484535
-150,0.576113152150064,0.671801278213043
-149,0.600378168079231,0.70009648291954
-148,0.625486862443621,0.729375489125545
-147,0.651459977965658,0.759662484395217
-146,0.678318377929198,0.7909817968644
-145,0.706083027754451,0.823357873755251
-144,0.734774975699164,0.856815258872025
-143,0.764415332683789,0.891378569075394
-142,0.795025251239949,0.927072469734482
-141,0.826625903583175,0.96392164915775
-140,0.859238458812567,1.00195079200584
-139,0.892884059241813,1.04118455169154
-138,0.927583795867815,1.08164752177415
-137,0.963358682985008,1.12336420635773
-136,1.00022963195545,1.16635898950489
-135,1.03821742414663,1.21065610368013
-134,1.07734268305106,1.25627959723912
-133,1.1176258456037,1.30325330098262
-132,1.15908713271529,1.35160079379616
-131,1.20174651904209,1.40134536739922
-130,1.24562370201418,1.45250999023009
-129,1.29073807014721,1.50511727049499
-128,1.33710867066427,1.55918941841294
-127,1.38475417645697,1.61474820769008
-126,1.43369285241708,1.67181493626003
-125,1.48394252117216,1.73041038632938
-124,1.53552052826113,1.79055478377001
-123,1.58844370678758,1.85226775690265
-122,1.64272834159135,1.91556829471857
-121,1.69839013298068,1.98047470458903
-120,1.75544416006979,2.04700456951458
-119,1.81390484376864,2.11517470496891
-118,1.87378590947406,2.18500111539443
-117,1.93510034951335,2.25649895040934
-116,1.99786038539359,2.3296824607881
-115,2.06207742991199,2.40456495427995
-114,2.12776204918446,2.48115875133217
-113,2.19492392465169,2.55947514078698
-112,2.26357181512361,2.6395243356234
-111,2.3337135189251,2.72131542881719
-110,2.40535583620745,2.80485634939398
-109,2.47850453149162,2.89015381875289
-108,2.55316429651093,2.97721330733919
-107,2.62933871342215,3.06603899174676
-106,2.70703021845545,3.15663371233207
-105,2.78624006607456,3.24899893142343
-104,2.86696829371999,3.34313469220986
-103,2.94921368720865,3.43903957839558
-102,3.03297374686444,3.53671067470689
-101,3.11824465445487,3.63614352833883
-100,3.20502124100937,3.73733211143009
-99,3.29329695559538,3.84026878465469
-98,3.38306383512849,3.94494426201957
-97,3.47431247529327,4.05134757695716
-96,3.56703200265085,4.15946604980196
-95,3.66121004800986,4.26928525674015
-94,3.75683272113611,4.38078900032039
-93,3.85388458687653,4.4939592816137
-92,3.95234864277185,4.60877627410925
