Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DensityCompare_Peak_LateralShift_v1	CUED	1	270	135	7	7	212	68	95	102	138	502207287	1884701757	829162594	2016545684	G	N	N	L		XR Controller	8892A655	BBE350AC	C06EAC7C			
1	DensityCompare_Peak_LateralShift_v1	CUED	0	45	135	7	7	128	68	95	102	138	149194598	1947411005	2095452668	2124147843	G	N	N	L		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
2	DensityCompare_Peak_LateralShift_v1	UNCUED	0	270	45	1	9	92	68	95	102	138	537957298	1820481268	1777679446	1540192774	G	N	N	R		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
3	DensityCompare_Peak_LateralShift_v1	UNCUED	0	45	135	7	7	99	68	95	102	138	812427298	1839038191	1942875036	721565798	R	N	N	L		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
4	DensityCompare_Peak_LateralShift_v1	CUED	1	270	135	7	7	90	68	95	102	138	559917962	2144985727	1121220509	2146297382	R	N	N	L		XR Controller	8892A655	97D7D86C	C06EAC7C			
5	DensityCompare_Peak_LateralShift_v1	CUED	1	135	135	7	7	76	68	95	102	138	560659387	1917478814	1811092666	1743703553	R	N	N	L		XR Controller	8892A655	97D7D86C	C06EAC7C			
6	DensityCompare_Peak_LateralShift_v1	CUED	0	180	135	7	7	80	68	95	102	138	1887779630	976667944	2113346154	865735475	G	N	N	L		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
7	DensityCompare_Peak_LateralShift_v1	UNCUED	0	45	45	1	9	82	68	95	102	138	1023811279	1955059475	1850773251	1923296998	R	N	N	R		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
8	DensityCompare_Peak_LateralShift_v1	CUED	0	315	45	1	9	70	68	95	102	138	1568989070	1840171022	645074221	1427174590	R	N	N	R		XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
9	DensityCompare_Peak_LateralShift_v1	CUED	1	180	135	7	7	98	68	95	102	138	1117673351	1066933319	1130422319	764545265	G	N	N	L		XR Controller	8892A655	BBE350AC	C06EAC7C			
10	DensityCompare_Peak_LateralShift_v1	UNCUED	1	270	45	1	9	130	68	95	102	138	72430773	962405959	1297136722	1323314886	R	N	N	R		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
11	DensityCompare_Peak_LateralShift_v1	UNCUED	1	180	135	7	7	76	68	95	102	138	1959976299	710866199	1164711895	1374230606	R	N	N	L		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
12	DensityCompare_Peak_LateralShift_v1	UNCUED	1	180	135	7	7	72	68	95	102	138	1527178214	1047257854	741629150	795864759	R	N	N	L		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
13	DensityCompare_Peak_LateralShift_v1	UNCUED	1	315	45	1	9	78	68	95	102	138	314887925	158842562	528266823	1844383872	G	N	N	R		XR Controller	06CF5C65	BBE350AC	C06EAC7C			
14	DensityCompare_Peak_LateralShift_v1	UNCUED	1	45	45	1	9	74	68	95	102	138	2110797249	299873316	1784662198	409105978	R	N	N	R		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
15	DensityCompare_Peak_LateralShift_v1	UNCUED	1	45	135	7	7	79	68	95	102	138	1668629697	508795090	536586523	1805263501	G	N	N	L		XR Controller	06CF5C65	BBE350AC	C06EAC7C			
16	DensityCompare_Peak_LateralShift_v1	UNCUED	1	135	45	1	9	72	68	95	102	138	756660470	1902793774	1966129744	1319028267	R	N	N	R		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
17	DensityCompare_Peak_LateralShift_v1	UNCUED	0	45	45	1	9	177	68	95	102	138	1800405089	32061134	1932145488	1475448283	R	N	N	R		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
18	DensityCompare_Peak_LateralShift_v1	CUED	0	180	45	1	9	80	68	95	102	138	1224926589	1498058947	75732656	1847901806	G	N	N	R		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
19	DensityCompare_Peak_LateralShift_v1	UNCUED	0	270	45	1	9	82	68	95	102	138	444530645	1821748122	757939360	617808908	G	N	N	R		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
20	DensityCompare_Peak_LateralShift_v1	CUED	1	225	-1	-1	-1	-1	68	95	102	138	1224448652	2034438052	877235386	232573241	G	N	N	L	ABORT	OnApplicationQuit	00000000	00000000	00000000			
