Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DensityCompare_Catek_v1	CUED	1	270	315	3	3	180	68	95	102	138	680468134	284674674	833363183	1806451187	R	N	N		XR Controller	8892A655	97D7D86C	C06EAC7C			
1	DensityCompare_Catek_v1	CUED	1	0	315	3	3	107	68	95	102	138	770542081	175230861	1389659652	1244103387	G	N	N		XR Controller	8892A655	BBE350AC	C06EAC7C			
2	DensityCompare_Catek_v1	CUED	0	135	-1	-1	-1	64	68	95	102	138	1870864508	1650829658	1714410193	1113626223	R	N	N		XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
3	DensityCompare_Catek_v1	CUED	0	180	315	3	3	99	68	95	102	138	479439921	342880470	190671918	294769696	G	N	N		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
4	DensityCompare_Catek_v1	CUED	1	225	225	5	1	110	68	95	102	138	1118597645	1236587656	594623505	493050825	R	N	N		XR Controller	8892A655	97D7D86C	C06EAC7C			
