Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_v2	CUED	1	180	90	0	8	233	68	95	102	138	436868595	2119834856	573991546	1897448267	G	F	N		XR Controller	8892A655	BBE350AC	9735F884			
1	DecoupledDots_005m_v2	UNCUED	0	90	45	1	9	80	68	95	102	138	301713285	1624825887	638362567	779864569	R	N	Z		XR Controller	C9F1B22D	97D7D86C	598C6D84			
2	DecoupledDots_005m_v2	UNCUED	0	45	90	0	8	310	68	95	102	138	934432119	2081216647	1583055578	900377054	R	F	N		XR Controller	C9F1B22D	97D7D86C	9735F884			
3	DecoupledDots_005m_v2	CUED	1	135	135	7	7	107	68	95	102	138	855336088	1602185179	358042343	477954320	G	N	C		XR Controller	8892A655	C96A68AC	858D1984			
4	DecoupledDots_005m_v2	UNCUED	1	0	-1	-1	-1	-1	68	95	102	138	1583436791	82239053	1802134677	109711191	R	N	CZ	ABORT	OnApplicationQuit	00000000	00000000	00000000			
