Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	225	5	1	212	56	78	100	130	1453091368	713084591	1398534559	1785427305	R		XR Controller	4E620E90	D857672C		
1	CUED	1	0	0	2	6	107	56	78	100	130	1145102367	451116175	1051398139	1627270377	R		XR Controller	60615B68	D857672C		
2	CUED	0	0	0	2	6	56	56	78	100	130	1673116976	1631631590	589404003	336393162	R		XR Controller	4E620E90	D857672C		
3	UNCUED	1	315	270	4	2	69	56	78	100	130	491978860	214362137	1460269906	1472422432	R		XR Controller	6C3B5060	D857672C		
4	UNCUED	1	135	90	0	8	50	56	78	100	130	954677891	219884705	1562196221	1589337111	G		XR Controller	6C3B5060	DD9C91EC		
5	UNCUED	1	135	90	0	8	67	56	78	100	130	753497734	762719639	395509094	939909451	R		XR Controller	6C3B5060	D857672C		
6	CUED	1	135	135	7	7	41	56	78	100	130	1216160735	1484768910	974225429	168144349	G		XR Controller	60615B68	DD9C91EC		
7	CUED	0	90	90	0	8	65	56	78	100	130	592812233	758049174	104074046	962366435	R		XR Controller	4E620E90	D857672C		
8	UNCUED	1	45	45	1	9	61	56	78	100	130	490407465	644549369	119994550	216964180	R		XR Controller	6C3B5060	D857672C		
9	CUED	1	45	45	1	9	65	56	78	100	130	2140287026	976958018	1812654606	1768420827	G		XR Controller	60615B68	DD9C91EC		
10	UNCUED	0	270	270	4	2	74	56	78	100	130	371253923	1735327289	760532638	364837998	R		XR Controller	F2F43FA8	D857672C		
11	UNCUED	1	270	225	5	1	170	56	78	100	130	1348707853	500088764	1321107041	1869049313	R		XR Controller	6C3B5060	D857672C		
12	CUED	1	225	225	5	1	135	56	78	100	130	1063327331	1596162942	718265741	1920228240	G		XR Controller	60615B68	DD9C91EC		
13	CUED	0	45	45	1	9	75	56	78	100	130	856135425	942181323	1121030	1990346671	G		XR Controller	4E620E90	DD9C91EC		
14	CUED	1	90	-1	-1	-1	-1	56	78	100	130	99325771	1715724647	793098877	115991219	G	ABORT	OnApplicationQuit	00000000	00000000		
