Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_010m_v2	UNCUED	1	180	90	0	8	209	68	95	102	138	850650948	405044128	2015965313	554536072	R	N	C		XR Controller	06CF5C65	EAFFC16C	858D1984			
1	DecoupledDots_010m_v2	CUED	0	180	180	6	4	90	68	95	102	138	436959120	691530594	1819263799	1175662087	R	N	C		XR Controller	B6D3C11D	EAFFC16C	858D1984			
2	DecoupledDots_010m_v2	UNCUED	0	315	90	0	8	114	68	95	102	138	691350274	341951871	2021391049	228723002	G	F	N		XR Controller	C9F1B22D	BBE350AC	9735F884			
3	DecoupledDots_010m_v2	CUED	1	315	315	3	3	293	68	95	102	138	434595725	1073833168	1668805308	1845020652	R	F	Z		XR Controller	8892A655	97D7D86C	C336A484			
4	DecoupledDots_010m_v2	UNCUED	0	90	90	0	8	180	68	95	102	138	875529924	342866162	1713909170	303626523	R	N	CZ		XR Controller	C9F1B22D	EAFFC16C	598C6D84			
5	DecoupledDots_010m_v2	UNCUED	0	0	45	1	9	187	68	95	102	138	905144852	307872240	1156415521	1783464212	R	F	N		XR Controller	C9F1B22D	97D7D86C	9735F884			
6	DecoupledDots_010m_v2	CUED	1	90	90	0	8	118	68	95	102	138	402596832	524914148	740515011	1218950124	G	F	CZ		XR Controller	8892A655	C96A68AC	C336A484			
7	DecoupledDots_010m_v2	CUED	1	270	270	4	2	110	68	95	102	138	1677326441	297666914	2122412083	441763762	R	N	CZ		XR Controller	8892A655	EAFFC16C	598C6D84			
8	DecoupledDots_010m_v2	CUED	0	270	-1	-1	-1	-1	68	95	102	138	1556174484	613149874	607607358	90611608	R	N	CZ	ABORT	OnApplicationQuit	00000000	00000000	00000000			
