Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthBaseline	UNCUED	0	225	90	0	8	140	56	78	84	114	864528406	1149083979	1183383944	111408729	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
1	DepthBaseline	CUED	1	270	270	4	2	105	56	78	84	114	631095343	795171006	1063697671	403091417	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
2	DepthBaseline	CUED	0	225	225	5	1	174	56	78	84	114	535731484	985802447	1534418490	1053362209	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
3	DepthBaseline	UNCUED	1	90	90	0	8	99	56	78	84	114	1780655225	242242628	996132660	1459571353	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
4	DepthBaseline	CUED	0	180	270	4	2	98	56	78	84	114	1372182761	212740422	1664763956	1976524518	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
5	DepthBaseline	CUED	1	45	45	1	9	80	56	78	84	114	2093379480	301333619	1817374841	135774731	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
6	DepthBaseline	UNCUED	1	45	45	1	9	83	56	78	84	114	88057376	454239046	1864645793	1213888598	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
7	DepthBaseline	CUED	0	45	90	0	8	81	56	78	84	114	1768861146	1533707025	1902235346	103330366	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
8	DepthBaseline	UNCUED	0	135	90	0	8	99	56	78	84	114	310003703	1567487390	1274345096	920610133	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
9	DepthBaseline	CUED	1	135	135	7	7	83	56	78	84	114	746898329	714958850	1569451397	404327526	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
10	DepthBaseline	CUED	0	90	270	4	2	74	56	78	84	114	534227828	588055825	1318138288	53387274	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
11	DepthBaseline	UNCUED	0	135	135	7	7	85	56	78	84	114	1170196025	1955997955	780065124	1156152373	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
12	DepthBaseline	UNCUED	0	0	45	1	9	137	56	78	84	114	1773691793	71338802	1193205794	513274950	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
13	DepthBaseline	CUED	0	90	270	4	2	113	56	78	84	114	1700680821	1098381202	668917940	1764363048	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
14	DepthBaseline	CUED	1	225	225	5	1	81	56	78	84	114	866095324	1193430804	222619511	905218665	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
15	DepthBaseline	CUED	1	270	270	4	2	72	56	78	84	114	1945660775	1836745514	1156589538	626828375	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
16	DepthBaseline	UNCUED	1	225	270	4	2	79	56	78	84	114	531333316	1566255432	335441552	348377455	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
17	DepthBaseline	UNCUED	0	0	90	0	8	120	56	78	84	114	1281476411	2094973463	534889064	23526124	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
18	DepthBaseline	UNCUED	0	225	90	0	8	72	56	78	84	114	2106158275	1921728512	124417625	973127430	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
19	DepthBaseline	CUED	0	45	45	1	9	71	56	78	84	114	1044233343	1417737380	1692761463	504329351	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
20	DepthBaseline	CUED	1	180	90	0	8	106	56	78	84	114	181708015	2120248726	1835111848	1810804038	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
21	DepthBaseline	UNCUED	0	90	270	4	2	65	56	78	84	114	308710621	240882732	1802681166	1545401678	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
22	DepthBaseline	UNCUED	1	180	45	1	9	75	56	78	84	114	793413228	1042938759	1037619842	329853330	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
23	DepthBaseline	CUED	1	225	90	0	8	69	56	78	84	114	1477052666	1367011865	1007503107	1704837801	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
24	DepthBaseline	CUED	1	0	270	4	2	69	56	78	84	114	357255376	645253876	1358807471	1713151283	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
25	DepthBaseline	UNCUED	1	315	90	0	8	69	56	78	84	114	1114237226	658815803	601366248	856010759	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
26	DepthBaseline	UNCUED	0	0	0	2	6	80	56	78	84	114	1297250473	533756320	1152917493	1923205968	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
27	DepthBaseline	UNCUED	0	180	180	6	4	113	56	78	84	114	1890134039	829033805	375205653	1460197757	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
28	DepthBaseline	UNCUED	1	270	0	2	6	78	56	78	84	114	273870249	1331894631	368265575	408306557	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
29	DepthBaseline	CUED	0	45	0	2	6	88	56	78	84	114	1143719988	1723087638	868728126	913659190	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
30	DepthBaseline	UNCUED	1	270	270	4	2	70	56	78	84	114	1940329039	2044792496	1946003661	781757462	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
31	DepthBaseline	CUED	0	270	270	4	2	72	56	78	84	114	349949562	267952944	1275072554	2113298497	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
32	DepthBaseline	UNCUED	0	315	270	4	2	67	56	78	84	114	1004678379	149261793	1078522143	2066452085	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
33	DepthBaseline	UNCUED	0	225	225	5	1	90	56	78	84	114	200529247	609311801	1680272086	1329444805	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
34	DepthBaseline	CUED	0	180	180	6	4	81	56	78	84	114	29763535	1266208417	807228374	1096131408	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
35	DepthBaseline	UNCUED	1	180	180	6	4	81	56	78	84	114	2107908271	1541756584	2015338222	1210540696	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
36	DepthBaseline	CUED	1	180	180	6	4	71	56	78	84	114	69922792	20796639	594480532	486158557	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
37	DepthBaseline	CUED	0	135	270	4	2	70	56	78	84	114	1741713529	1451501858	1873682088	456177518	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
38	DepthBaseline	UNCUED	0	45	45	1	9	72	56	78	84	114	155074128	374067261	1910926612	1708594970	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
39	DepthBaseline	CUED	0	315	135	7	7	97	56	78	84	114	1978253488	1432385825	555269103	1209099722	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
40	DepthBaseline	CUED	1	0	0	2	6	79	56	78	84	114	298664675	1448689899	372568313	603459494	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
41	DepthBaseline	CUED	1	315	225	5	1	127	56	78	84	114	1614095149	882626091	210789768	982466018	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
42	DepthBaseline	UNCUED	1	45	45	1	9	90	56	78	84	114	1210362630	11584628	1788052949	275874422	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
43	DepthBaseline	UNCUED	1	135	135	7	7	102	56	78	84	114	1832102558	75423409	774074162	231406337	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
44	DepthBaseline	CUED	1	135	135	7	7	80	56	78	84	114	1779899326	53011793	814843318	1564182025	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
45	DepthBaseline	UNCUED	0	270	225	5	1	94	56	78	84	114	1242529161	912757240	1440573265	875236497	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
46	DepthBaseline	UNCUED	0	90	45	1	9	75	56	78	84	114	762691223	680751571	1534994762	280985864	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
47	DepthBaseline	CUED	0	315	90	0	8	79	56	78	84	114	1764279305	612918189	1166656211	594689763	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
48	DepthBaseline	UNCUED	1	315	225	5	1	100	56	78	84	114	966136314	2130175161	1425292977	961794706	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
49	DepthBaseline	CUED	0	315	270	4	2	88	56	78	84	114	91939311	1041688257	276726734	1060693438	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
50	DepthBaseline	UNCUED	0	225	225	5	1	71	56	78	84	114	1720455161	1564695597	1928119210	389432265	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
