Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	StonerBlanc_Replication_Ap35_v1	CUED	0	270	45	1	9	135	68	95	99	135	4	44.444	1811276660	1734087414	1838408332	1489631259	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
1	StonerBlanc_Replication_Ap35_v1	UNCUED	1	315	135	7	7	126	68	95	99	135	4	44.444	88904743	599380384	5108267	403973708	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
2	StonerBlanc_Replication_Ap35_v1	CUED	1	45	45	1	9	89	68	95	99	135	4	44.444	713186737	1412683646	874541544	2087924689	R	N	MC			XR Controller	271A3033	EBB7AF9B	2A02EFFB			
3	StonerBlanc_Replication_Ap35_v1	CUED	0	315	315	3	3	102	68	95	99	135	4	44.444	1701028967	435780075	686236830	466663487	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
4	StonerBlanc_Replication_Ap35_v1	UNCUED	1	90	135	7	7	2603	68	95	99	135	4	44.444	1042019954	600738515	1755813381	1912262837	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
5	StonerBlanc_Replication_Ap35_v1	CUED	0	135	315	3	3	105	68	95	99	135	4	44.444	983264976	1852427055	865726305	375189219	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
6	StonerBlanc_Replication_Ap35_v1	CUED	0	45	225	5	1	90	68	95	99	135	4	44.444	486889672	749421179	118348179	1078499963	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
7	StonerBlanc_Replication_Ap35_v1	UNCUED	1	45	135	7	7	98	68	95	99	135	4	44.444	628638186	374745937	960291309	1965326623	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
8	StonerBlanc_Replication_Ap35_v1	CUED	1	315	180	6	4	118	68	95	99	135	4	44.444	1895585464	1124021457	898220051	302801549	R	N	N			XR Controller	1C42F823	179CA59B	2A02EFFB			
9	StonerBlanc_Replication_Ap35_v1	CUED	0	0	225	5	1	87	68	95	99	135	4	44.444	1966559756	287081786	1544329324	999484223	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
10	StonerBlanc_Replication_Ap35_v1	CUED	1	45	45	1	9	85	68	95	99	135	4	44.444	1577252228	223964563	258091433	2092703768	R	N	N			XR Controller	1C42F823	179CA59B	2A02EFFB			
11	StonerBlanc_Replication_Ap35_v1	CUED	1	180	135	7	7	120	68	95	99	135	4	44.444	1087676935	16120989	1427960336	1192263711	G	N	N			XR Controller	1C42F823	5368435B	2A02EFFB			
12	StonerBlanc_Replication_Ap35_v1	CUED	1	135	135	7	7	98	68	95	99	135	4	44.444	1050818099	533417758	1475930311	660170426	R	N	N			XR Controller	1C42F823	179CA59B	2A02EFFB			
13	StonerBlanc_Replication_Ap35_v1	CUED	0	0	0	2	6	98	68	95	99	135	4	44.444	1549007012	906959550	1474473566	1608395180	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
14	StonerBlanc_Replication_Ap35_v1	CUED	1	180	135	7	7	105	68	95	99	135	4	44.444	467178355	167848239	2082443721	1513834190	R	N	MC			XR Controller	271A3033	EBB7AF9B	2A02EFFB			
15	StonerBlanc_Replication_Ap35_v1	CUED	1	45	0	2	6	163	68	95	99	135	4	44.444	1194351955	232106659	1437085471	191179422	G	N	N			XR Controller	1C42F823	5368435B	2A02EFFB			
16	StonerBlanc_Replication_Ap35_v1	CUED	1	225	225	5	1	99	68	95	99	135	4	44.444	592472071	383812012	2132008959	1119538417	R	N	N			XR Controller	1C42F823	179CA59B	2A02EFFB			
17	StonerBlanc_Replication_Ap35_v1	CUED	0	180	45	1	9	100	68	95	99	135	4	44.444	358466302	1690282203	2024061029	16021447	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
18	StonerBlanc_Replication_Ap35_v1	UNCUED	0	45	0	2	6	92	68	95	99	135	4	44.444	59737949	95064549	1893649137	774676182	G	N	MC			XR Controller	918C2AB3	667ACD5B	2A02EFFB			
19	StonerBlanc_Replication_Ap35_v1	UNCUED	0	90	90	0	8	94	68	95	99	135	4	44.444	1288396426	1109517383	1192878581	165117749	G	N	N			XR Controller	39ADA2E3	5368435B	2A02EFFB			
20	StonerBlanc_Replication_Ap35_v1	CUED	0	180	135	7	7	107	68	95	99	135	4	44.444	237778165	562653701	2125516575	782014101	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
21	StonerBlanc_Replication_Ap35_v1	CUED	1	135	315	3	3	101	68	95	99	135	4	44.444	801082177	593097634	1808732778	1098735612	G	N	MC			XR Controller	271A3033	667ACD5B	2A02EFFB			
22	StonerBlanc_Replication_Ap35_v1	UNCUED	1	315	135	7	7	99	68	95	99	135	4	44.444	596573785	1328526499	1062044512	2082455350	G	N	N			XR Controller	ACADBFB3	5368435B	2A02EFFB			
23	StonerBlanc_Replication_Ap35_v1	UNCUED	0	0	315	3	3	88	68	95	99	135	4	44.444	603972563	1027810441	2058560802	340406811	R	N	N			XR Controller	39ADA2E3	179CA59B	2A02EFFB			
24	StonerBlanc_Replication_Ap35_v1	UNCUED	0	225	180	6	4	96	68	95	99	135	4	44.444	1582533872	196715084	1200170848	61634312	G	N	N			XR Controller	39ADA2E3	5368435B	2A02EFFB			
25	StonerBlanc_Replication_Ap35_v1	UNCUED	1	225	315	3	3	94	68	95	99	135	4	44.444	1977281447	901033586	1519732010	1164022514	G	N	N			XR Controller	ACADBFB3	5368435B	2A02EFFB			
26	StonerBlanc_Replication_Ap35_v1	UNCUED	1	225	180	6	4	95	68	95	99	135	4	44.444	706572553	519441086	1010971293	1789333259	G	N	N			XR Controller	ACADBFB3	5368435B	2A02EFFB			
27	StonerBlanc_Replication_Ap35_v1	UNCUED	1	270	135	7	7	113	68	95	99	135	4	44.444	1686155849	1047456197	1083876589	810176563	G	N	MC			XR Controller	54CF37E3	667ACD5B	2A02EFFB			
28	StonerBlanc_Replication_Ap35_v1	UNCUED	1	90	315	3	3	98	68	95	99	135	4	44.444	278588360	417849590	1282827930	1618087452	G	N	N			XR Controller	ACADBFB3	5368435B	2A02EFFB			
29	StonerBlanc_Replication_Ap35_v1	CUED	0	135	225	5	1	95	68	95	99	135	4	44.444	913241221	1590218572	338233271	1782808924	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
30	StonerBlanc_Replication_Ap35_v1	UNCUED	1	90	0	2	6	87	68	95	99	135	4	44.444	1562802668	800798632	496656090	1288806340	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
31	StonerBlanc_Replication_Ap35_v1	CUED	0	270	225	5	1	113	68	95	99	135	4	44.444	2144878898	1992661379	936936179	1276181025	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
32	StonerBlanc_Replication_Ap35_v1	UNCUED	1	135	135	7	7	97	68	95	99	135	4	44.444	872692378	2070253500	853231586	403938136	G	N	MC			XR Controller	54CF37E3	667ACD5B	2A02EFFB			
33	StonerBlanc_Replication_Ap35_v1	UNCUED	0	315	225	5	1	84	68	95	99	135	4	44.444	899252028	1517313700	203908917	1348117553	R	N	N			XR Controller	39ADA2E3	179CA59B	2A02EFFB			
34	StonerBlanc_Replication_Ap35_v1	CUED	0	45	45	1	9	85	68	95	99	135	4	44.444	883365349	523497037	1555260548	1091996519	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
35	StonerBlanc_Replication_Ap35_v1	UNCUED	0	225	225	5	1	93	68	95	99	135	4	44.444	940396624	1192605867	1253312643	1547469837	G	N	N			XR Controller	39ADA2E3	5368435B	2A02EFFB			
36	StonerBlanc_Replication_Ap35_v1	CUED	0	90	45	1	9	90	68	95	99	135	4	44.444	1840763007	1693826443	1462879272	308658303	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
37	StonerBlanc_Replication_Ap35_v1	UNCUED	1	90	225	5	1	118	68	95	99	135	4	44.444	1044479476	1200050807	1474916348	1005051436	G	N	MC			XR Controller	54CF37E3	667ACD5B	2A02EFFB			
38	StonerBlanc_Replication_Ap35_v1	CUED	0	90	45	1	9	83	68	95	99	135	4	44.444	275378834	1458170036	1068295006	1500536921	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
39	StonerBlanc_Replication_Ap35_v1	UNCUED	1	225	90	0	8	150	68	95	99	135	4	44.444	807734859	1889013098	1458798488	419064164	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
40	StonerBlanc_Replication_Ap35_v1	CUED	0	225	270	4	2	80	68	95	99	135	4	44.444	1581546538	331118121	101515391	1559564506	G	N	N			XR Controller	0BF89B33	5368435B	2A02EFFB			
41	StonerBlanc_Replication_Ap35_v1	CUED	0	90	270	4	2	88	68	95	99	135	4	44.444	715053569	1561584046	875442095	1568042795	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
42	StonerBlanc_Replication_Ap35_v1	CUED	1	180	180	6	4	88	68	95	99	135	4	44.444	1685264768	2035602091	690406225	356614334	G	N	MC			XR Controller	271A3033	667ACD5B	2A02EFFB			
43	StonerBlanc_Replication_Ap35_v1	CUED	0	180	225	5	1	78	68	95	99	135	4	44.444	370046407	458567300	1725162238	2146785692	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
44	StonerBlanc_Replication_Ap35_v1	CUED	0	90	45	1	9	128	68	95	99	135	4	44.444	2060925496	767630511	1806668441	1337183523	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
45	StonerBlanc_Replication_Ap35_v1	UNCUED	1	270	0	2	6	96	68	95	99	135	4	44.444	301638830	2066263622	1958028696	2118192672	R	N	MC			XR Controller	54CF37E3	EBB7AF9B	2A02EFFB			
