Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	90	0	8	123	56	78	100	130	1453091368	713084591	1398534559	1785427305	R	Return	Keyboard	4E620E90	D857672C		
1	CUED	1	0	0	2	6	96	56	78	100	130	1145102367	451116175	1051398139	1627270377	R	Return	Keyboard	60615B68	D857672C		
2	CUED	0	0	135	7	7	104	56	78	100	130	1673116976	1631631590	589404003	336393162	R	Return	Keyboard	4E620E90	D857672C		
3	UNCUED	1	315	315	3	3	91	56	78	100	130	491978860	214362137	1460269906	1472422432	R	Return	Keyboard	6C3B5060	D857672C		
4	UNCUED	1	135	90	0	8	99	56	78	100	130	954677891	219884705	1562196221	1589337111	G	Return	Keyboard	6C3B5060	DD9C91EC		
5	UNCUED	1	135	135	7	7	117	56	78	100	130	753497734	762719639	395509094	939909451	R	Return	Keyboard	6C3B5060	D857672C		
6	CUED	1	135	135	7	7	72	56	78	100	130	1216160735	1484768910	974225429	168144349	G	Space	Keyboard	60615B68	DD9C91EC		
7	CUED	0	90	225	5	1	115	56	78	100	130	592812233	758049174	104074046	962366435	R	Return	Keyboard	4E620E90	D857672C		
8	UNCUED	1	45	45	1	9	65	56	78	100	130	490407465	644549369	119994550	216964180	R	Return	Keyboard	6C3B5060	D857672C		
9	CUED	1	45	45	1	9	64	56	78	100	130	2140287026	976958018	1812654606	1768420827	G	Return	Keyboard	60615B68	DD9C91EC		
10	UNCUED	0	270	270	4	2	70	56	78	100	130	371253923	1735327289	760532638	364837998	R	Return	Keyboard	F2F43FA8	D857672C		
11	UNCUED	1	270	270	4	2	67	56	78	100	130	1348707853	500088764	1321107041	1869049313	R	Return	Keyboard	6C3B5060	D857672C		
12	CUED	1	225	225	5	1	55	56	78	100	130	1063327331	1596162942	718265741	1920228240	G	Return	Keyboard	60615B68	DD9C91EC		
13	CUED	0	45	45	1	9	58	56	78	100	130	856135425	942181323	1121030	1990346671	G	Return	Keyboard	4E620E90	DD9C91EC		
14	CUED	1	90	90	0	8	47	56	78	100	130	99325771	1715724647	793098877	115991219	G	Return	Keyboard	60615B68	DD9C91EC		
15	UNCUED	1	180	180	6	4	47	56	78	100	130	602411856	2076489023	141366150	2070673484	R	Return	Keyboard	6C3B5060	D857672C		
16	CUED	0	315	315	3	3	56	56	78	100	130	86234351	1336281771	527394566	318292775	G	Return	Keyboard	4E620E90	DD9C91EC		
