Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	315	270	4	2	191	68	95	103	139	8	88.889	2017947809	1490594906	1525599337	2050424658	R	N	Da			XR Controller	2822E0FB	7731EC3B	A41043FB			
1	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	270	90	0	8	70	68	95	101	137	6	66.667	537639848	982557069	882191055	677687124	R	N	N			XR Controller	E2CC33B7	EC81DC0B	403259FB			
2	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	90	0	8	66	68	95	103	139	8	88.889	68226716	351752534	309653908	316553822	G	N	Da			XR Controller	0FB9DA7B	24028E7B	A41043FB			
3	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	270	45	1	9	61	68	95	127	163	32	355.556	10036374	786503802	1874689512	2098930865	G	N	D			XR Controller	6ED9AE0B	FF1A6CBB	E9223BFB			
4	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	225	225	5	1	73	68	95	117	153	22	244.444	53970572	1037069581	1813793496	1348436774	G	N	N			XR Controller	8C41D417	6082A78B	E2B7A9FB			
5	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	0	45	1	9	119	68	95	99	135	4	44.444	1522395190	522618150	168678996	1480107134	G	N	D			XR Controller	F456FF33	4D72675B	2A02EFFB			
6	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	0	0	2	6	297	68	95	140	176	45	500	324397495	2138687049	316295150	905716715	G	N	Db			XR Controller	2C9A7B59	14EEFE3C	F8544A7C			
7	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	270	45	1	9	89	68	95	127	163	32	355.556	736004438	198226189	638335141	1433105163	G	N	Da			XR Controller	58DE49EB	71FFFA3B	E9223BFB			
8	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	45	0	2	6	97	68	95	99	135	4	44.444	1199842617	230306160	768056307	794993819	G	N	N			XR Controller	0BF89B33	5368435B	2A02EFFB			
9	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	270	270	4	2	94	68	95	107	143	12	133.333	1746554295	96820140	1800919267	1368734985	R	N	Da			XR Controller	EFEDB733	001E17DB	DF5797FB			
10	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	180	180	6	4	93	68	95	103	139	8	88.889	1416484436	866582257	1505367307	1591632910	G	N	N			XR Controller	3B681EFB	040698FB	A41043FB			
11	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	135	225	5	1	99	68	95	101	137	6	66.667	167670991	918568465	1812733093	1077746895	R	N	D			XR Controller	1808CEB7	8180DC2B	403259FB			
12	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	135	135	7	7	89	68	95	107	143	12	133.333	785934594	431536428	33689590	1554126353	R	N	D			XR Controller	FDAA98E3	E8C3F7DB	DF5797FB			
13	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	180	180	6	4	169	68	95	140	176	45	500	653213109	1508167630	678933466	460472903	R	N	Da			XR Controller	F3CA4339	A8DAF974	F8544A7C			
14	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	135	135	7	7	86	68	95	103	139	8	88.889	62837768	300702285	1664328479	641235831	G	N	D			XR Controller	13625B9B	EF8381FB	A41043FB			
15	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	135	135	7	7	87	68	95	107	143	12	133.333	320534306	387906938	21322710	1386075704	R	N	Da			XR Controller	5E979E93	001E17DB	DF5797FB			
