Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
49	DepthSwapCtrl_005m	UNCUED	0	135	90	0	8	70	56	78	84	114	426047002	1167875409	385404261	1013962499	R	F	ZdB		XR Controller	1CE20318	0883654C	32DDF264			
50	DepthSwapCtrl_005m	UNCUED	1	0	180	6	4	70	56	78	84	114	1834668145	1830864053	820641618	1573351040	R	F	ZdA		XR Controller	E039A330	0883654C	A3A93944			
51	DepthSwapCtrl_005m	UNCUED	0	225	225	5	1	69	56	78	84	114	696569464	1751824654	1239676735	1364587771	R	N	ZdA		XR Controller	1CE20318	0883654C	FC45CDE4			
52	DepthSwapCtrl_005m	CUED	0	135	135	7	7	80	56	78	84	114	2035649660	397967910	813039642	1869698894	R	N	ZdB		XR Controller	CEA60E30	0883654C	6D1114C4			
53	DepthSwapCtrl_005m	CUED	0	45	45	1	9	69	56	78	84	114	1937482599	1966866941	1100026036	1362803410	R	F	N		XR Controller	6CBED730	0883654C	B7EB8364			
54	DepthSwapCtrl_005m	CUED	1	0	0	2	6	79	56	78	84	114	45235548	1737355860	830331290	963520087	R	N	N		XR Controller	CB090948	0883654C	E4FFF864			
55	DepthSwapCtrl_005m	UNCUED	1	180	135	7	7	88	56	78	84	114	1472162750	756851076	1920202941	1930125113	R	N	ZdB		XR Controller	E039A330	0883654C	6D1114C4			
56	DepthSwapCtrl_005m	CUED	1	270	225	5	1	70	56	78	84	114	1529690679	1849808074	1649566350	1837443726	R	N	ZdA		XR Controller	7BBB5D28	0883654C	FC45CDE4			
57	DepthSwapCtrl_005m	UNCUED	0	180	225	5	1	71	56	78	84	114	1191784793	152979120	1026062699	659891048	R	N	ZdB		XR Controller	1CE20318	0883654C	6D1114C4			
58	DepthSwapCtrl_005m	UNCUED	1	270	270	4	2	76	56	78	84	114	2088960020	2028850181	1067543794	1531708483	R	N	N		XR Controller	67DD8480	0883654C	E4FFF864			
59	DepthSwapCtrl_005m	CUED	0	270	135	7	7	76	56	78	84	114	1935182429	1371778308	858359726	1705624936	R	N	ZdB		XR Controller	CEA60E30	0883654C	6D1114C4			
60	DepthSwapCtrl_005m	UNCUED	0	315	225	5	1	79	56	78	84	114	143348724	145427114	209453929	574457082	R	F	ZdA		XR Controller	1CE20318	0883654C	A3A93944			
61	DepthSwapCtrl_005m	UNCUED	1	0	270	4	2	76	56	78	84	114	708343754	233226192	1905791162	1203837599	R	F	N		XR Controller	67DD8480	0883654C	B7EB8364			
62	DepthSwapCtrl_005m	UNCUED	1	135	135	7	7	81	56	78	84	114	608438321	266029799	818325029	36681469	R	N	N		XR Controller	67DD8480	0883654C	E4FFF864			
63	DepthSwapCtrl_005m	UNCUED	0	135	135	7	7	72	56	78	84	114	834145186	1991249335	1835950062	1899151261	R	F	N		XR Controller	F088AE08	0883654C	B7EB8364			
64	DepthSwapCtrl_005m	UNCUED	0	90	90	0	8	65	56	78	84	114	1616345732	1978295531	497692106	168222099	R	N	N		XR Controller	F088AE08	0883654C	E4FFF864			
65	DepthSwapCtrl_005m	UNCUED	0	135	135	7	7	68	56	78	84	114	2008758520	555971685	579654414	83901327	R	F	ZdA		XR Controller	1CE20318	0883654C	A3A93944			
66	DepthSwapCtrl_005m	CUED	0	90	90	0	8	96	56	78	84	114	773942323	2138281916	1708327431	1888318177	R	N	N		XR Controller	6CBED730	0883654C	E4FFF864			
67	DepthSwapCtrl_005m	CUED	1	135	135	7	7	68	56	78	84	114	2135701754	461962493	792421912	426217883	R	F	N		XR Controller	CB090948	0883654C	B7EB8364			
68	DepthSwapCtrl_005m	UNCUED	0	0	0	2	6	70	56	78	84	114	631609953	1977694443	673785234	933934562	R	F	ZdB		XR Controller	1CE20318	0883654C	32DDF264			
69	DepthSwapCtrl_005m	UNCUED	0	225	225	5	1	71	56	78	84	114	1518033920	1012932090	2138891363	155768771	R	F	ZdA		XR Controller	1CE20318	0883654C	A3A93944			
70	DepthSwapCtrl_005m	CUED	0	315	90	0	8	60	56	78	84	114	1230081808	947444915	1917407852	709586667	R	F	N		XR Controller	6CBED730	0883654C	B7EB8364			
71	DepthSwapCtrl_005m	UNCUED	0	180	180	6	4	72	56	78	84	114	448738030	580851379	2024188369	1056382855	R	F	N		XR Controller	F088AE08	0883654C	B7EB8364			
72	DepthSwapCtrl_005m	CUED	1	180	180	6	4	63	56	78	84	114	956009448	816830743	341083424	186067649	R	F	ZdB		XR Controller	7BBB5D28	0883654C	32DDF264			
73	DepthSwapCtrl_005m	UNCUED	0	45	45	1	9	67	56	78	84	114	448531944	45594426	2145834965	889951146	R	N	N		XR Controller	F088AE08	0883654C	E4FFF864			
74	DepthSwapCtrl_005m	UNCUED	0	315	180	6	4	97	56	78	84	114	1614388617	1906078286	1865584161	1634538544	R	N	N		XR Controller	F088AE08	0883654C	E4FFF864			
75	DepthSwapCtrl_005m	UNCUED	1	225	180	6	4	62	56	78	84	114	952483960	1323622885	1131065481	1304947534	R	F	ZdA		XR Controller	E039A330	0883654C	A3A93944			
76	DepthSwapCtrl_005m	CUED	1	135	135	7	7	64	56	78	84	114	809860884	846463074	1430675952	996137178	R	F	ZdA		XR Controller	7BBB5D28	0883654C	A3A93944			
77	DepthSwapCtrl_005m	UNCUED	1	180	180	6	4	64	56	78	84	114	264914273	1517431619	225171797	2136039444	R	F	ZdB		XR Controller	E039A330	0883654C	32DDF264			
78	DepthSwapCtrl_005m	CUED	0	315	135	7	7	73	56	78	84	114	899181581	1568703390	1205942884	716180659	R	F	ZdA		XR Controller	CEA60E30	0883654C	A3A93944			
79	DepthSwapCtrl_005m	UNCUED	0	180	135	7	7	69	56	78	84	114	890221401	578114635	1600746477	700079231	R	F	ZdB		XR Controller	1CE20318	0883654C	32DDF264			
80	DepthSwapCtrl_005m	CUED	1	45	45	1	9	72	56	78	84	114	1751147377	30726570	1357976316	904615665	R	F	N		XR Controller	CB090948	0883654C	B7EB8364			
81	DepthSwapCtrl_005m	CUED	1	180	225	5	1	93	56	78	84	114	406940558	435720451	358092799	2124005198	R	N	ZdB		XR Controller	7BBB5D28	0883654C	6D1114C4			
