Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_CatekExact_v1	CUED	1	315	315	3	3	112	68	95	102	138	657123484	1525816953	451025631	506884160	R	N	Da			XR Controller	A17DA62D	12A26044	C06EAC7C			
1	SubfieldSwap_CatekExact_v1	UNCUED	1	315	90	0	8	137	68	95	102	138	57779471	1834760716	699408442	425964852	G	N	D			XR Controller	BE1933F5	54CC5C84	C06EAC7C			
2	SubfieldSwap_CatekExact_v1	UNCUED	1	180	180	6	4	95	68	95	102	138	1693920604	1810568363	1596007595	1149326269	R	N	Da			XR Controller	4E483D25	12A26044	C06EAC7C			
3	SubfieldSwap_CatekExact_v1	CUED	1	135	135	7	7	84	68	95	102	138	1022322926	1618968494	1201182592	936379469	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
4	SubfieldSwap_CatekExact_v1	CUED	0	135	180	6	4	105	68	95	102	138	1598957474	1865996388	1575219288	2045542732	R	N	Db			XR Controller	4478E765	EAFFC16C	C06EAC7C			
5	SubfieldSwap_CatekExact_v1	CUED	1	180	135	7	7	94	68	95	102	138	1562863092	734950104	1468572434	1488616998	R	N	N			XR Controller	8892A655	97D7D86C	C06EAC7C			
6	SubfieldSwap_CatekExact_v1	CUED	0	0	0	2	6	87	68	95	102	138	1745731978	1973475095	454907485	811178275	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
7	SubfieldSwap_CatekExact_v1	UNCUED	1	45	45	1	9	89	68	95	102	138	1052180572	573883453	202320856	294373788	G	N	Db			XR Controller	792A361D	C96A68AC	C06EAC7C			
8	SubfieldSwap_CatekExact_v1	CUED	0	90	90	0	8	100	68	95	102	138	1799812293	648477809	1856586138	2051103218	G	N	Da			XR Controller	FBC2BEF5	52D3C1E4	C06EAC7C			
9	SubfieldSwap_CatekExact_v1	UNCUED	1	45	45	1	9	89	68	95	102	138	1057277680	1478445396	990768870	1642192630	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
10	SubfieldSwap_CatekExact_v1	UNCUED	0	270	90	0	8	83	68	95	102	138	1943276069	1103803307	110261708	1861625009	R	N	D			XR Controller	DF27312D	0CCFD9A4	C06EAC7C			
