Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_v2	UNCUED	1	0	0	2	6	801	56	78	84	114	1985189883	954295746	2116271005	1921371339	G	N	CZ		XR Controller	67DD8480	E283626C	81535EE4			
1	DecoupledDots_005m_v2	UNCUED	0	180	180	6	4	139	56	78	84	114	1924079349	72334578	1557206561	1299035743	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
2	DecoupledDots_005m_v2	CUED	1	90	90	0	8	123	56	78	84	114	687507128	788715717	145380375	1812808264	G	F	Z		XR Controller	CB090948	083E616C	1B981CE4			
3	DecoupledDots_005m_v2	UNCUED	1	135	315	3	3	112	56	78	84	114	1312827690	1729326183	1777559620	997688769	G	N	Z		XR Controller	67DD8480	083E616C	81535EE4			
4	DecoupledDots_005m_v2	CUED	0	225	45	1	9	99	56	78	84	114	731746733	120300577	700945597	1592374771	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
5	DecoupledDots_005m_v2	UNCUED	1	180	225	5	1	106	56	78	84	114	74725310	2108518854	446983326	960765462	R	N	C		XR Controller	67DD8480	95473DAC	E4FFF864			
6	DecoupledDots_005m_v2	UNCUED	1	180	0	2	6	113	56	78	84	114	106483143	437112155	1733042440	636976150	G	N	Z		XR Controller	67DD8480	083E616C	81535EE4			
7	DecoupledDots_005m_v2	CUED	1	180	135	7	7	100	56	78	84	114	1665053876	1228080771	75593502	902272274	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
8	DecoupledDots_005m_v2	UNCUED	0	0	315	3	3	250	56	78	84	114	601779658	550277711	1272475735	1434806151	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
9	DecoupledDots_005m_v2	UNCUED	1	315	135	7	7	102	56	78	84	114	1822739506	1086253328	283560709	315891058	G	F	CZ		XR Controller	67DD8480	E283626C	1B981CE4			
10	DecoupledDots_005m_v2	CUED	1	90	135	7	7	97	56	78	84	114	561576082	1106528873	111840760	2042035566	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
11	DecoupledDots_005m_v2	UNCUED	0	225	45	1	9	151	56	78	84	114	1323531426	2010196040	2016427746	1413753202	R	F	Z		XR Controller	F088AE08	BC9E36AC	1B981CE4			
12	DecoupledDots_005m_v2	CUED	1	135	225	5	1	123	56	78	84	114	885152469	2109935783	1777015560	1562756964	G	N	CZ		XR Controller	CB090948	E283626C	81535EE4			
13	DecoupledDots_005m_v2	UNCUED	0	270	315	3	3	153	56	78	84	114	1465689747	1885428460	1406276713	1523810995	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
14	DecoupledDots_005m_v2	CUED	0	180	225	5	1	79	56	78	84	114	956418153	378652797	1374208424	2131754926	R	F	CZ		XR Controller	6CBED730	95473DAC	1B981CE4			
15	DecoupledDots_005m_v2	UNCUED	1	45	225	5	1	103	56	78	84	114	377132693	131032717	1693602357	29074420	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
16	DecoupledDots_005m_v2	UNCUED	1	90	90	0	8	76	56	78	84	114	613021830	1930932447	1365625290	1500217818	R	N	CZ		XR Controller	67DD8480	95473DAC	81535EE4			
17	DecoupledDots_005m_v2	UNCUED	0	90	90	0	8	72	56	78	84	114	1762217202	295460462	339328430	718091343	R	F	Z		XR Controller	F088AE08	BC9E36AC	1B981CE4			
18	DecoupledDots_005m_v2	UNCUED	1	135	315	3	3	103	56	78	84	114	1264844625	1785803181	1688909159	1609578812	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
19	DecoupledDots_005m_v2	CUED	0	225	225	5	1	81	56	78	84	114	1131388954	270309531	1917063723	1582751035	G	F	C		XR Controller	6CBED730	E283626C	B7EB8364			
20	DecoupledDots_005m_v2	CUED	1	315	225	5	1	92	56	78	84	114	665576891	834662711	1961207173	374966535	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
21	DecoupledDots_005m_v2	CUED	0	270	45	1	9	90	56	78	84	114	1991654549	125297059	1414509056	508732122	G	N	CZ		XR Controller	6CBED730	E283626C	81535EE4			
22	DecoupledDots_005m_v2	UNCUED	1	0	0	2	6	84	56	78	84	114	1883749238	1505039909	1406140119	602981860	R	F	CZ		XR Controller	67DD8480	95473DAC	1B981CE4			
23	DecoupledDots_005m_v2	CUED	1	270	0	2	6	76	56	78	84	114	586085424	937256628	430373983	1407813315	R	N	CZ		XR Controller	CB090948	95473DAC	81535EE4			
24	DecoupledDots_005m_v2	UNCUED	0	270	225	5	1	75	56	78	84	114	696873499	1327245431	1009351777	1766638059	R	N	C		XR Controller	F088AE08	95473DAC	E4FFF864			
25	DecoupledDots_005m_v2	UNCUED	1	45	0	2	6	87	56	78	84	114	727726775	1990727920	528266040	1749527420	G	N	CZ		XR Controller	67DD8480	E283626C	81535EE4			
26	DecoupledDots_005m_v2	CUED	1	225	0	2	6	78	56	78	84	114	1940580278	1816658213	1050740644	1785050598	G	N	CZ		XR Controller	CB090948	E283626C	81535EE4			
27	DecoupledDots_005m_v2	UNCUED	0	315	90	0	8	218	56	78	84	114	1504805114	998265512	1026061621	988271247	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
28	DecoupledDots_005m_v2	CUED	0	180	-1	-1	-1	-1	56	78	84	114	2098505801	1512430852	1839884941	769448305	R	N	CZ	ABORT	OnApplicationQuit	00000000	00000000	00000000			
