Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	BothFar_005m	UNCUED	0	315	-1	-1	-1	288	56	78	84	114	1438416469	1868370763	1894451098	1745570616	R	N	Z		XR Controller	F088AE08	BC9E36AC	81535EE4			
1	BothFar_005m	CUED	0	315	0	2	6	135	56	78	84	114	918047810	593662017	1715156946	1821007548	G	N	C		XR Controller	6CBED730	E283626C	E4FFF864			
2	BothFar_005m	UNCUED	1	180	135	7	7	109	56	78	84	114	537584485	1335234275	618421885	1069002095	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
3	BothFar_005m	UNCUED	1	0	180	6	4	105	56	78	84	114	874721049	475564844	585497389	947757350	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
4	BothFar_005m	CUED	1	90	90	0	8	93	56	78	84	114	685326844	1732853426	810366778	1569451479	G	F	Z		XR Controller	CB090948	083E616C	1B981CE4			
5	BothFar_005m	CUED	0	270	225	5	1	103	56	78	84	114	1575503346	209425977	1797907842	2102764784	G	F	CZ		XR Controller	6CBED730	E283626C	1B981CE4			
6	BothFar_005m	CUED	0	315	315	3	3	119	56	78	84	114	385262431	900876164	100543931	685665034	G	F	CZ		XR Controller	6CBED730	E283626C	1B981CE4			
7	BothFar_005m	CUED	1	90	90	0	8	104	56	78	84	114	583331359	1899750792	1181581186	376516452	R	N	Z		XR Controller	CB090948	BC9E36AC	81535EE4			
8	BothFar_005m	CUED	0	90	90	0	8	104	56	78	84	114	467453220	824112705	9628173	614269118	R	N	Z		XR Controller	6CBED730	BC9E36AC	81535EE4			
9	BothFar_005m	UNCUED	0	45	180	6	4	101	56	78	84	114	1414985497	696595501	51236544	706842222	G	F	Z		XR Controller	F088AE08	083E616C	1B981CE4			
10	BothFar_005m	CUED	1	180	180	6	4	87	56	78	84	114	1134756087	369325326	1764853195	1861654803	R	F	C		XR Controller	CB090948	95473DAC	B7EB8364			
11	BothFar_005m	CUED	1	180	180	6	4	114	56	78	84	114	1940383592	151479226	389177682	119719938	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
12	BothFar_005m	UNCUED	0	315	315	3	3	110	56	78	84	114	899956744	174416893	1439829600	366199514	G	N	CZ		XR Controller	F088AE08	E283626C	81535EE4			
13	BothFar_005m	UNCUED	0	180	180	6	4	100	56	78	84	114	901880942	977184228	348224522	1647514289	G	N	Z		XR Controller	F088AE08	083E616C	81535EE4			
14	BothFar_005m	CUED	1	90	90	0	8	101	56	78	84	114	1938829899	1253520248	1935324818	1148652904	G	N	CZ		XR Controller	CB090948	E283626C	81535EE4			
15	BothFar_005m	CUED	0	180	90	0	8	86	56	78	84	114	1010364619	223918786	1741080033	509458615	G	N	Z		XR Controller	6CBED730	083E616C	81535EE4			
16	BothFar_005m	UNCUED	1	0	270	4	2	101	56	78	84	114	1120128427	122343326	1445584138	2077659823	G	F	Z		XR Controller	67DD8480	083E616C	1B981CE4			
17	BothFar_005m	UNCUED	1	135	135	7	7	104	56	78	84	114	1722490378	245952435	1625405912	825161087	R	N	C		XR Controller	67DD8480	95473DAC	E4FFF864			
18	BothFar_005m	CUED	0	135	315	3	3	110	56	78	84	114	1506900128	1074757803	1504623118	1153455034	G	N	CZ		XR Controller	6CBED730	E283626C	81535EE4			
19	BothFar_005m	UNCUED	1	45	0	2	6	106	56	78	84	114	607878640	1267451798	1181561177	1831950260	R	F	C		XR Controller	67DD8480	95473DAC	B7EB8364			
20	BothFar_005m	CUED	1	180	180	6	4	91	56	78	84	114	907015781	1191767842	1599796978	913563642	R	N	CZ		XR Controller	CB090948	95473DAC	81535EE4			
21	BothFar_005m	UNCUED	0	90	180	6	4	95	56	78	84	114	1606409216	240796450	262842904	2057531920	G	F	C		XR Controller	F088AE08	E283626C	B7EB8364			
22	BothFar_005m	UNCUED	1	45	0	2	6	86	56	78	84	114	130218529	1043820672	1379360286	2131440576	R	N	Z		XR Controller	67DD8480	BC9E36AC	81535EE4			
23	BothFar_005m	CUED	1	135	135	7	7	92	56	78	84	114	174337077	762826707	1460408547	1639152411	G	N	C		XR Controller	CB090948	E283626C	E4FFF864			
24	BothFar_005m	CUED	1	90	135	7	7	91	56	78	84	114	1736059219	1173703509	1124601081	623881800	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
25	BothFar_005m	CUED	0	225	90	0	8	101	56	78	84	114	149314685	1115955728	2069950222	1515070047	R	N	CZ		XR Controller	6CBED730	95473DAC	81535EE4			
