Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	0	45	1	9	80	68	95	127	163	32	355.556	2098824526	384463497	1334588659	1972877687	G	N	Da			XR Controller	58DE49EB	71FFFA3B	E9223BFB			
1	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	225	45	1	9	67	68	95	103	163	8	88.889	1914526039	1812655691	642351854	880298877	G	N	Da			XR Controller	1214807B	71FFFA3B	E9223BFB			
2	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	270	90	0	8	65	68	95	117	163	22	244.444	1014075914	1554344289	792689876	1696122368	R	N	N			XR Controller	ECE2069F	2F6FECFB	E9223BFB			
3	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	225	90	0	8	85	68	95	97	163	2	22.222	1504832431	650592843	1694436503	734781933	G	N	N			XR Controller	A00AA63F	16FE68BB	E9223BFB			
4	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	225	225	5	1	79	68	95	99	163	4	44.444	2042485978	1192464267	349541545	917367501	G	N	D			XR Controller	74468F83	FF1A6CBB	E9223BFB			
5	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	315	315	3	3	87	68	95	111	163	16	177.778	10747381	31521926	445526121	645782548	G	N	Db			XR Controller	B2B0D46B	CDC3FBBB	E9223BFB			
6	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	225	0	2	6	88	68	95	101	163	6	66.667	1847584549	271746104	331875527	358488209	G	N	D			XR Controller	B9D647DF	FF1A6CBB	E9223BFB			
7	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	45	135	7	7	704	68	95	99	163	4	44.444	1931791970	285216429	1901849882	1501160217	G	N	Db			XR Controller	96C3B703	CDC3FBBB	E9223BFB			
8	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	315	180	6	4	75	68	95	99	163	4	44.444	1158029511	429391391	442492817	1482151125	G	N	Db			XR Controller	F6C14BB3	CDC3FBBB	E9223BFB			
9	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	90	315	3	3	79	68	95	97	163	2	22.222	1473234856	61598088	1921478294	179099458	G	N	Da			XR Controller	5EB51C1F	71FFFA3B	E9223BFB			
10	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	135	0	2	6	64	68	95	97	163	2	22.222	1334008222	412244907	407115286	1234973609	R	N	Db			XR Controller	F471BB3F	420BC5FB	E9223BFB			
11	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	0	2	6	61	68	95	99	163	4	44.444	583306733	607726679	1315647797	1438223352	G	N	D			XR Controller	B3F0E633	FF1A6CBB	E9223BFB			
12	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	45	45	1	9	76	68	95	117	163	22	244.444	1973518449	1279652989	1573126889	1655026907	G	N	Db			XR Controller	CF5FC51F	CDC3FBBB	E9223BFB			
13	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	225	225	5	1	78	68	95	101	163	6	66.667	754289222	1410066624	1071204423	183729606	R	N	Da			XR Controller	7F9143F7	18E36AFB	E9223BFB			
14	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	135	135	7	7	79	68	95	111	163	16	177.778	1201838815	1595706155	861506523	811795798	G	N	Db			XR Controller	B2B0D46B	CDC3FBBB	E9223BFB			
15	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	180	180	6	4	78	68	95	107	163	12	133.333	444923677	223754353	387318918	26094475	G	N	Db			XR Controller	9AB67283	CDC3FBBB	E9223BFB			
16	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	315	90	0	8	68	68	95	99	163	4	44.444	508753393	732186498	286922068	243239553	R	N	Da			XR Controller	1FDF7A83	18E36AFB	E9223BFB			
17	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	90	90	0	8	64	68	95	99	163	4	44.444	101303229	1234413568	234139764	1641234281	R	N	Da			XR Controller	1FDF7A83	18E36AFB	E9223BFB			
18	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	135	135	7	7	86	68	95	127	163	32	355.556	1003732653	1046740237	885073294	1459668479	G	N	Da			XR Controller	C340C30B	71FFFA3B	E9223BFB			
19	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	0	0	2	6	67	68	95	111	163	16	177.778	886665797	935294658	1641749969	949991384	R	N	D			XR Controller	862306AB	D81A967B	E9223BFB			
20	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	315	45	1	9	131	68	95	97	163	2	22.222	1843972676	1236594064	519317139	706760574	R	N	Db			XR Controller	0A8A1357	420BC5FB	E9223BFB			
21	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	270	45	1	9	67	68	95	103	163	8	88.889	231315376	1488625812	398660906	1848933044	R	N	Db			XR Controller	0812CCBB	420BC5FB	E9223BFB			
22	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	135	135	7	7	87	68	95	117	163	22	244.444	472815265	1155826265	321091626	1470006725	G	N	Db			XR Controller	F5731947	CDC3FBBB	E9223BFB			
23	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	0	2	6	135	68	95	127	163	32	355.556	1405463069	251780338	1007314778	1582096892	R	N	N			XR Controller	E5E89D8B	2F6FECFB	E9223BFB			
24	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	225	45	1	9	87	68	95	107	163	12	133.333	951857453	30239467	951067082	2034886800	R	N	Db			XR Controller	26F1BBF3	420BC5FB	E9223BFB			
25	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	45	45	1	9	82	68	95	127	163	32	355.556	256582929	2138258850	573773224	1158677318	G	N	Da			XR Controller	6DA6CE8B	71FFFA3B	E9223BFB			
26	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	180	90	0	8	91	68	95	101	163	6	66.667	1721035866	337093626	952653599	335846574	G	N	N			XR Controller	F4AC1BD7	16FE68BB	E9223BFB			
27	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	90	0	8	70	68	95	97	163	2	22.222	569151346	988339978	178104967	1452325626	G	N	Db			XR Controller	573F96F7	CDC3FBBB	E9223BFB			
28	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	270	90	0	8	320	68	95	127	163	32	355.556	1962481679	665077088	1080244771	948252987	G	N	N			XR Controller	DC82350B	16FE68BB	E9223BFB			
29	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	270	90	0	8	71	68	95	111	163	16	177.778	1427741712	764119692	1996350640	1772260643	G	N	D			XR Controller	862306AB	FF1A6CBB	E9223BFB			
30	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	180	180	6	4	74	68	95	117	163	22	244.444	1453379987	1023550932	1906240520	1061265747	R	N	Db			XR Controller	CF5FC51F	420BC5FB	E9223BFB			
31	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	45	45	1	9	110	68	95	107	163	12	133.333	440176042	1298082909	1401340077	1763115969	R	N	D			XR Controller	02F130B3	D81A967B	E9223BFB			
32	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	0	2	6	78	68	95	127	163	32	355.556	206352280	1073770835	775689993	1847044188	R	N	Da			XR Controller	6DA6CE8B	18E36AFB	E9223BFB			
33	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	180	180	6	4	82	68	95	103	163	8	88.889	697795977	1236282219	185055656	1763961539	R	N	Db			XR Controller	F66F8B3B	420BC5FB	E9223BFB			
