Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_Simult_v2	UNCUED	0	90	45	1	9	193	1	23	29	59	1737299111	1856364827	1712247955	1882850191	R	N	C		XR Controller	52F5F89F	013C0CEB	6BA076EB			
1	DecoupledDots_005m_Simult_v2	CUED	1	270	315	3	3	121	1	23	29	59	290432014	1069495688	1817542168	827740660	G	N	CZ		XR Controller	DDD9DA1F	101B2C5B	46C697EB			
2	DecoupledDots_005m_Simult_v2	CUED	1	180	225	5	1	129	1	23	29	59	1524881020	1401762388	584572877	358178737	R	F	Z		XR Controller	DDD9DA1F	EC405A6B	B508726B			
3	DecoupledDots_005m_Simult_v2	UNCUED	0	180	180	6	4	136	1	23	29	59	375297125	1768481862	344092740	384905194	R	N	C		XR Controller	52F5F89F	013C0CEB	6BA076EB			
4	DecoupledDots_005m_Simult_v2	CUED	0	90	270	4	2	157	1	23	29	59	1344919485	1646839527	154229566	1135228044	G	N	CZ		XR Controller	756BCDF7	101B2C5B	46C697EB			
5	DecoupledDots_005m_Simult_v2	CUED	0	90	-1	-1	-1	-1	1	23	29	59	744237786	1949153396	1216768944	698346055	G	N	N	ABORT	OnApplicationQuit	00000000	00000000	00000000			
