Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	45	90	0	8	153	56	78	100	130	871716971	2108949079	212752569	1161741718	R	Return	Keyboard	4E620E90	D857672C		
1	UNCUED	1	270	270	4	2	97	56	78	100	130	979652966	214753165	99357620	1613102710	G	Return	Keyboard	6C3B5060	DD9C91EC		
2	CUED	1	270	270	4	2	72	56	78	100	130	674751516	470478479	1624526953	1222006700	R	Return	Keyboard	60615B68	D857672C		
3	CUED	0	135	135	7	7	86	56	78	100	130	602411856	2076489023	141366150	2070673484	R	Return	Keyboard	4E620E90	D857672C		
4	CUED	1	315	315	3	3	68	56	78	100	130	1959233391	1617294676	268789971	2096313197	R	Return	Keyboard	60615B68	D857672C		
5	CUED	1	225	225	5	1	51	56	78	100	130	496874730	1605901304	2109324254	779841379	G	Return	Keyboard	60615B68	DD9C91EC		
6	CUED	1	0	0	2	6	78	56	78	100	130	1034313777	22656412	277692568	730935653	G	Return	Keyboard	60615B68	DD9C91EC		
7	UNCUED	1	90	90	0	8	53	56	78	100	130	1562122773	275752907	4816121	443381959	R	Return	Keyboard	6C3B5060	D857672C		
8	CUED	1	90	90	0	8	48	56	78	100	130	1851533992	1743768905	957225943	1923518897	R	Return	Keyboard	60615B68	D857672C		
9	CUED	1	45	45	1	9	55	56	78	100	130	867651925	1017802031	962842144	816348459	R	Return	Keyboard	60615B68	D857672C		
10	CUED	0	0	0	2	6	51	56	78	100	130	856135425	942181323	1121030	1990346671	G	Return	Keyboard	4E620E90	DD9C91EC		
11	CUED	1	225	225	5	1	48	56	78	100	130	1357473993	1105508434	1998548401	1290012124	G	Return	Keyboard	60615B68	DD9C91EC		
12	UNCUED	1	315	270	4	2	79	56	78	100	130	206496032	1150911126	816985197	221900727	R	Return	Keyboard	6C3B5060	D857672C		
13	CUED	1	270	90	0	8	67	56	78	100	130	1501605706	1246214314	67748979	645901135	G	Return	Keyboard	60615B68	DD9C91EC		
14	CUED	1	90	90	0	8	50	56	78	100	130	753497734	762719639	395509094	939909451	R	Return	Keyboard	60615B68	D857672C		
15	CUED	0	270	45	1	9	62	56	78	100	130	653253996	356859354	1521070645	264356616	G	Return	Keyboard	4E620E90	DD9C91EC		
16	UNCUED	1	180	180	6	4	55	56	78	100	130	1898464564	1417799106	200338821	491468344	G	Return	Keyboard	6C3B5060	DD9C91EC		
17	CUED	0	90	90	0	8	52	56	78	100	130	1856639981	215189597	1833993889	1678853801	G	Return	Keyboard	4E620E90	DD9C91EC		
18	UNCUED	1	90	45	1	9	62	56	78	100	130	917483813	1974977257	2071905002	695717527	R	Return	Keyboard	6C3B5060	D857672C		
19	CUED	1	315	315	3	3	57	56	78	100	130	1265998196	1330774577	140906477	946561573	R	Return	Keyboard	60615B68	D857672C		
20	UNCUED	0	90	90	0	8	51	56	78	100	130	234747603	1996499685	671588551	1606596193	G	Return	Keyboard	F2F43FA8	DD9C91EC		
21	CUED	0	45	45	1	9	48	56	78	100	130	785945216	1430460959	1034458144	1441047620	R	Return	Keyboard	4E620E90	D857672C		
22	UNCUED	0	90	135	7	7	62	56	78	100	130	1134121622	1001554633	333483626	1834478823	R	Return	Keyboard	F2F43FA8	D857672C		
23	CUED	0	45	45	1	9	56	56	78	100	130	1788233430	467652441	734107050	570155821	G	Return	Keyboard	4E620E90	DD9C91EC		
24	UNCUED	0	180	180	6	4	63	56	78	100	130	357252777	2107639876	692467297	2001641582	R	Return	Keyboard	F2F43FA8	D857672C		
25	CUED	1	0	180	6	4	56	56	78	100	130	1216160735	1484768910	974225429	168144349	G	Return	Keyboard	60615B68	DD9C91EC		
26	CUED	0	225	225	5	1	56	56	78	100	130	2058423576	1357187492	564880154	290952364	R	Return	Keyboard	4E620E90	D857672C		
27	UNCUED	0	225	225	5	1	62	56	78	100	130	1769900549	323618278	1342923626	1715739189	G	Return	Keyboard	F2F43FA8	DD9C91EC		
28	UNCUED	0	225	180	6	4	53	56	78	100	130	1770839198	1065829757	1425066612	659259183	R	Return	Keyboard	F2F43FA8	D857672C		
29	UNCUED	1	45	45	1	9	46	56	78	100	130	1741739960	237304064	2007239441	1591333997	R	Return	Keyboard	6C3B5060	D857672C		
30	UNCUED	1	135	135	7	7	45	56	78	100	130	1740130402	2143660086	183227245	186284693	G	Return	Keyboard	6C3B5060	DD9C91EC		
31	CUED	1	225	180	6	4	47	56	78	100	130	1250326035	2076647617	1340025398	2017945375	G	Return	Keyboard	60615B68	DD9C91EC		
32	UNCUED	1	90	90	0	8	45	56	78	100	130	940637194	287339641	1496738931	1737501838	G	Return	Keyboard	6C3B5060	DD9C91EC		
