Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	StonerBlanc_Replication_HighDens_v1	UNCUED	0	180	90	0	8	93	68	95	102	138	7	77.778	118046212	1930009852	680148113	1845525789	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
1	StonerBlanc_Replication_HighDens_v1	CUED	0	0	45	1	9	150	68	95	102	138	7	77.778	1082808204	1530073824	1162304942	1211178472	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
2	StonerBlanc_Replication_HighDens_v1	CUED	1	0	45	1	9	100	68	95	102	138	7	77.778	1973854605	1839674451	206926697	1462235092	R	N	MC			XR Controller	792A361D	EAFFC16C	C06EAC7C			
3	StonerBlanc_Replication_HighDens_v1	UNCUED	0	180	0	2	6	112	68	95	102	138	7	77.778	1268430205	268091813	462105172	505941448	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
4	StonerBlanc_Replication_HighDens_v1	CUED	1	225	225	5	1	85	68	95	102	138	7	77.778	1469311704	1358827666	90491737	503234693	R	N	MC			XR Controller	792A361D	EAFFC16C	C06EAC7C			
5	StonerBlanc_Replication_HighDens_v1	CUED	0	315	315	3	3	100	68	95	102	138	7	77.778	79906665	448346254	973465763	1809417802	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
6	StonerBlanc_Replication_HighDens_v1	CUED	1	180	45	1	9	116	68	95	102	138	7	77.778	1434160996	865656321	8147288	346090878	G	N	MC			XR Controller	792A361D	C96A68AC	C06EAC7C			
7	StonerBlanc_Replication_HighDens_v1	CUED	1	45	45	1	9	85	68	95	102	138	7	77.778	670164652	891816247	643679279	713158258	G	N	N			XR Controller	8892A655	BBE350AC	C06EAC7C			
8	StonerBlanc_Replication_HighDens_v1	UNCUED	1	225	225	5	1	101	68	95	102	138	7	77.778	837759784	2143929048	279918272	373963064	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
9	StonerBlanc_Replication_HighDens_v1	UNCUED	0	180	0	2	6	144	68	95	102	138	7	77.778	597647106	1993840390	272627611	2025075626	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
10	StonerBlanc_Replication_HighDens_v1	UNCUED	1	135	135	7	7	186	68	95	102	138	7	77.778	1981251641	1503481355	993983952	1000473565	R	N	N			XR Controller	06CF5C65	97D7D86C	C06EAC7C			
11	StonerBlanc_Replication_HighDens_v1	CUED	1	180	135	7	7	92	68	95	102	138	7	77.778	1236105381	407320024	1044171545	297752350	R	N	MC			XR Controller	792A361D	EAFFC16C	C06EAC7C			
12	StonerBlanc_Replication_HighDens_v1	CUED	0	180	180	6	4	89	68	95	102	138	7	77.778	1426110357	920543797	975059903	248884105	G	N	MC			XR Controller	C63C3155	C96A68AC	C06EAC7C			
13	StonerBlanc_Replication_HighDens_v1	UNCUED	0	315	135	7	7	94	68	95	102	138	7	77.778	1417776620	1007887016	1078754608	55459027	G	N	MC			XR Controller	4478E765	C96A68AC	C06EAC7C			
14	StonerBlanc_Replication_HighDens_v1	CUED	1	0	45	1	9	87	68	95	102	138	7	77.778	325056370	1840302108	2092873512	1854976102	G	N	MC			XR Controller	792A361D	C96A68AC	C06EAC7C			
15	StonerBlanc_Replication_HighDens_v1	CUED	1	45	45	1	9	86	68	95	102	138	7	77.778	1064139381	1584415727	1768875130	1520405732	G	N	MC			XR Controller	792A361D	C96A68AC	C06EAC7C			
16	StonerBlanc_Replication_HighDens_v1	CUED	0	90	90	0	8	85	68	95	102	138	7	77.778	755479263	911878359	1384949835	729136934	R	N	MC			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
17	StonerBlanc_Replication_HighDens_v1	CUED	1	180	135	7	7	93	68	95	102	138	7	77.778	863192499	540325940	455657481	241782859	R	N	MC			XR Controller	792A361D	EAFFC16C	C06EAC7C			
18	StonerBlanc_Replication_HighDens_v1	CUED	0	0	45	1	9	84	68	95	102	138	7	77.778	2128732428	136124362	350035938	195846673	R	N	MC			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
19	StonerBlanc_Replication_HighDens_v1	UNCUED	1	45	45	1	9	81	68	95	102	138	7	77.778	1594084319	546920808	1238394752	1139822405	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
20	StonerBlanc_Replication_HighDens_v1	UNCUED	0	135	135	7	7	90	68	95	102	138	7	77.778	1107855057	1643611262	193651553	1049134663	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
21	StonerBlanc_Replication_HighDens_v1	UNCUED	0	135	135	7	7	79	68	95	102	138	7	77.778	157641542	723207497	554548780	1802865130	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
22	StonerBlanc_Replication_HighDens_v1	UNCUED	0	180	0	2	6	147	68	95	102	138	7	77.778	671978026	1233726827	400339188	2029046906	R	N	MC			XR Controller	4478E765	EAFFC16C	C06EAC7C			
23	StonerBlanc_Replication_HighDens_v1	CUED	0	135	315	3	3	92	68	95	102	138	7	77.778	249391234	985184741	2053932725	1861186051	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
24	StonerBlanc_Replication_HighDens_v1	CUED	0	90	90	0	8	79	68	95	102	138	7	77.778	325457232	1034655698	417894791	680544472	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
