Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_Inv_005m	UNCUED	0	90	90	0	8	88	56	78	84	114	1004436717	1559678795	1698410370	1494387190	R	F	CZ		XR Controller	F088AE08	D13E802C	1B981CE4			
1	DecoupledDots_Inv_005m	UNCUED	1	135	90	0	8	72	56	78	84	114	326623592	1807227689	1936871417	791165542	R	N	CZ		XR Controller	67DD8480	D13E802C	81535EE4			
2	DecoupledDots_Inv_005m	CUED	0	225	0	2	6	92	56	78	84	114	818039721	2099481282	1514246219	130836646	R	N	Z		XR Controller	6CBED730	F895792C	81535EE4			
3	DecoupledDots_Inv_005m	UNCUED	0	90	45	1	9	78	56	78	84	114	1532381951	159440333	262649211	1738060124	R	F	C		XR Controller	F088AE08	D13E802C	B7EB8364			
4	DecoupledDots_Inv_005m	CUED	1	270	180	6	4	85	56	78	84	114	778331006	986473861	878621917	1426368154	G	F	CZ		XR Controller	CB090948	B8B442EC	1B981CE4			
5	DecoupledDots_Inv_005m	UNCUED	1	270	225	5	1	86	56	78	84	114	1636003238	1227264876	1266346062	798733008	G	N	CZ		XR Controller	67DD8480	B8B442EC	81535EE4			
6	DecoupledDots_Inv_005m	UNCUED	1	0	45	1	9	72	56	78	84	114	1595753982	1400587108	233526886	1162923003	R	F	CZ		XR Controller	67DD8480	D13E802C	1B981CE4			
7	DecoupledDots_Inv_005m	UNCUED	1	45	0	2	6	86	56	78	84	114	1658235775	1561852214	1658948800	1080821838	R	N	C		XR Controller	67DD8480	D13E802C	E4FFF864			
8	DecoupledDots_Inv_005m	CUED	1	135	0	2	6	118	56	78	84	114	167930864	1462436529	1697464465	562811304	R	N	Z		XR Controller	CB090948	F895792C	81535EE4			
9	DecoupledDots_Inv_005m	UNCUED	1	0	90	0	8	87	56	78	84	114	1951471085	112307010	1385449663	1703488862	G	F	CZ		XR Controller	67DD8480	B8B442EC	1B981CE4			
10	DecoupledDots_Inv_005m	CUED	1	0	0	2	6	86	56	78	84	114	2046003673	1786592867	1615264385	1381305464	R	F	N		XR Controller	CB090948	F895792C	B7EB8364			
11	DecoupledDots_Inv_005m	CUED	1	45	45	1	9	79	56	78	84	114	1827169659	790709621	1433528561	1150078374	G	F	CZ		XR Controller	CB090948	B8B442EC	1B981CE4			
12	DecoupledDots_Inv_005m	UNCUED	0	90	90	0	8	79	56	78	84	114	2110095345	186966521	1017215053	714884279	R	N	C		XR Controller	F088AE08	D13E802C	E4FFF864			
13	DecoupledDots_Inv_005m	CUED	0	180	90	0	8	73	56	78	84	114	1371741961	290692861	1916461176	1492127196	G	F	N		XR Controller	6CBED730	DE6F41EC	B7EB8364			
14	DecoupledDots_Inv_005m	CUED	0	0	0	2	6	74	56	78	84	114	52012291	344838305	1243037629	2130431152	G	F	CZ		XR Controller	6CBED730	B8B442EC	1B981CE4			
15	DecoupledDots_Inv_005m	CUED	1	90	135	7	7	175	56	78	84	114	507805876	153077139	46347852	247395017	R	F	Z		XR Controller	CB090948	F895792C	1B981CE4			
16	DecoupledDots_Inv_005m	UNCUED	0	180	180	6	4	88	56	78	84	114	1140780753	397619499	766818407	426222647	R	F	C		XR Controller	F088AE08	D13E802C	B7EB8364			
17	DecoupledDots_Inv_005m	UNCUED	0	0	0	2	6	81	56	78	84	114	1756822723	915903151	1763025294	587272850	R	F	Z		XR Controller	F088AE08	F895792C	1B981CE4			
18	DecoupledDots_Inv_005m	UNCUED	1	225	135	7	7	111	56	78	84	114	1997369310	1765398817	806181762	1724368694	R	F	N		XR Controller	67DD8480	F895792C	B7EB8364			
19	DecoupledDots_Inv_005m	UNCUED	0	180	180	6	4	78	56	78	84	114	38872539	1364878051	712091075	959242761	R	F	N		XR Controller	F088AE08	F895792C	B7EB8364			
20	DecoupledDots_Inv_005m	CUED	0	270	225	5	1	105	56	78	84	114	1732885157	1455259148	127198350	1417810062	R	F	Z		XR Controller	6CBED730	F895792C	1B981CE4			
21	DecoupledDots_Inv_005m	CUED	0	0	270	4	2	78	56	78	84	114	446383564	66051832	1951295825	2144332409	R	N	C		XR Controller	6CBED730	D13E802C	E4FFF864			
22	DecoupledDots_Inv_005m	UNCUED	0	90	90	0	8	73	56	78	84	114	1986434247	37102499	1949045896	1173817992	G	N	Z		XR Controller	F088AE08	DE6F41EC	81535EE4			
23	DecoupledDots_Inv_005m	UNCUED	1	45	0	2	6	90	56	78	84	114	2112471074	308287378	1972724792	1623910412	G	F	N		XR Controller	67DD8480	DE6F41EC	B7EB8364			
24	DecoupledDots_Inv_005m	UNCUED	1	45	90	0	8	82	56	78	84	114	1853800629	1594832649	2091440102	1509594071	R	F	CZ		XR Controller	67DD8480	D13E802C	1B981CE4			
25	DecoupledDots_Inv_005m	CUED	0	180	90	0	8	76	56	78	84	114	1070108688	1026597538	269047721	1144244895	G	N	Z		XR Controller	6CBED730	DE6F41EC	81535EE4			
26	DecoupledDots_Inv_005m	UNCUED	1	225	90	0	8	66	56	78	84	114	1668399609	34825214	421832806	1558511794	R	N	CZ		XR Controller	67DD8480	D13E802C	81535EE4			
27	DecoupledDots_Inv_005m	CUED	0	270	90	0	8	73	56	78	84	114	471418604	975790204	445228482	668782241	G	N	Z		XR Controller	6CBED730	DE6F41EC	81535EE4			
28	DecoupledDots_Inv_005m	UNCUED	0	225	180	6	4	85	56	78	84	114	470212763	461679167	945461164	2026974088	G	F	Z		XR Controller	F088AE08	DE6F41EC	1B981CE4			
29	DecoupledDots_Inv_005m	CUED	0	180	90	0	8	74	56	78	84	114	446459482	1767188272	685792196	1058621621	G	N	N		XR Controller	6CBED730	DE6F41EC	E4FFF864			
30	DecoupledDots_Inv_005m	CUED	0	135	90	0	8	83	56	78	84	114	310664721	2028467279	2031130761	644109931	R	N	CZ		XR Controller	6CBED730	D13E802C	81535EE4			
31	DecoupledDots_Inv_005m	CUED	1	180	0	2	6	84	56	78	84	114	845533545	407968609	1204475168	990929806	R	N	Z		XR Controller	CB090948	F895792C	81535EE4			
32	DecoupledDots_Inv_005m	CUED	1	90	90	0	8	81	56	78	84	114	149191363	887568450	601812093	1823232070	R	F	CZ		XR Controller	CB090948	D13E802C	1B981CE4			
33	DecoupledDots_Inv_005m	UNCUED	0	135	135	7	7	157	56	78	84	114	773772771	1313655190	251316258	886582759	R	N	C		XR Controller	F088AE08	D13E802C	E4FFF864			
34	DecoupledDots_Inv_005m	CUED	1	135	135	7	7	104	56	78	84	114	165281107	2143923947	182515929	409240395	G	F	N		XR Controller	CB090948	DE6F41EC	B7EB8364			
35	DecoupledDots_Inv_005m	UNCUED	0	45	45	1	9	78	56	78	84	114	1193285213	154305970	818688716	1871063135	R	F	N		XR Controller	F088AE08	F895792C	B7EB8364			
36	DecoupledDots_Inv_005m	CUED	1	45	0	2	6	85	56	78	84	114	1083539076	257678795	1216038700	834378211	R	N	CZ		XR Controller	CB090948	D13E802C	81535EE4			
37	DecoupledDots_Inv_005m	UNCUED	0	90	90	0	8	69	56	78	84	114	1004002423	505021457	1546982373	1199156705	R	N	CZ		XR Controller	F088AE08	D13E802C	81535EE4			
38	DecoupledDots_Inv_005m	UNCUED	1	180	225	5	1	156	56	78	84	114	244884574	1304718473	438207564	630083990	G	N	CZ		XR Controller	67DD8480	B8B442EC	81535EE4			
39	DecoupledDots_Inv_005m	UNCUED	0	315	270	4	2	80	56	78	84	114	816808828	285050109	1322515398	350135642	R	F	CZ		XR Controller	F088AE08	D13E802C	1B981CE4			
40	DecoupledDots_Inv_005m	CUED	0	90	180	6	4	75	56	78	84	114	1214535426	1654083879	239996803	1885255352	G	F	CZ		XR Controller	6CBED730	B8B442EC	1B981CE4			
41	DecoupledDots_Inv_005m	CUED	1	315	0	2	6	78	56	78	84	114	123854026	1975899984	187783493	1476311044	G	F	C		XR Controller	CB090948	B8B442EC	B7EB8364			
42	DecoupledDots_Inv_005m	CUED	0	45	225	5	1	81	56	78	84	114	817339477	1734464492	2119978502	1105638198	G	N	N		XR Controller	6CBED730	DE6F41EC	E4FFF864			
43	DecoupledDots_Inv_005m	UNCUED	0	225	270	4	2	86	56	78	84	114	886160617	1489052863	1707617767	2111102837	R	F	CZ		XR Controller	F088AE08	D13E802C	1B981CE4			
44	DecoupledDots_Inv_005m	UNCUED	0	270	270	4	2	74	56	78	84	114	2063562341	90164748	701185588	110019298	R	N	Z		XR Controller	F088AE08	F895792C	81535EE4			
45	DecoupledDots_Inv_005m	CUED	0	270	90	0	8	74	56	78	84	114	903847623	61224000	503756919	691461629	R	F	N		XR Controller	6CBED730	F895792C	B7EB8364			
46	DecoupledDots_Inv_005m	UNCUED	0	0	180	6	4	139	56	78	84	114	191159710	2020865956	376990293	316508406	G	N	CZ		XR Controller	F088AE08	B8B442EC	81535EE4			
47	DecoupledDots_Inv_005m	CUED	0	90	135	7	7	81	56	78	84	114	1856843605	1271188740	1733012065	1272856836	R	N	CZ		XR Controller	6CBED730	D13E802C	81535EE4			
48	DecoupledDots_Inv_005m	CUED	1	180	135	7	7	96	56	78	84	114	951865159	513125351	1253078273	1471395810	G	F	Z		XR Controller	CB090948	DE6F41EC	1B981CE4			
49	DecoupledDots_Inv_005m	CUED	0	225	180	6	4	83	56	78	84	114	1511603675	821028513	170939974	463142454	R	N	N		XR Controller	6CBED730	F895792C	E4FFF864			
50	DecoupledDots_Inv_005m	UNCUED	0	225	180	6	4	118	56	78	84	114	74231914	1186248549	895818498	1371320467	G	F	C		XR Controller	F088AE08	B8B442EC	B7EB8364			
51	DecoupledDots_Inv_005m	CUED	1	90	90	0	8	73	56	78	84	114	83170438	730235452	1619296963	1047226499	R	F	C		XR Controller	CB090948	D13E802C	B7EB8364			
52	DecoupledDots_Inv_005m	UNCUED	1	180	45	1	9	98	56	78	84	114	178255058	755386074	349760692	797432441	G	F	C		XR Controller	67DD8480	B8B442EC	B7EB8364			
53	DecoupledDots_Inv_005m	CUED	1	90	45	1	9	105	56	78	84	114	1900293603	461009098	1679236248	295907687	G	N	CZ		XR Controller	CB090948	B8B442EC	81535EE4			
