Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DensityCompare_Peak_v1	CUED	0	0	0	2	6	95	68	95	102	138	846543682	67015118	874320358	2145644149	R	N	N		XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
1	DensityCompare_Peak_v1	UNCUED	1	135	180	6	4	187	68	95	102	138	550660072	1746088122	186967244	962059496	R	N	N		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
2	DensityCompare_Peak_v1	CUED	0	0	45	1	9	89	68	95	102	138	1053415910	709846172	1760268396	1424309429	G	N	N		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
3	DensityCompare_Peak_v1	UNCUED	0	0	180	6	4	114	68	95	102	138	2107111930	621656253	1172997546	2056643773	R	N	N		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
4	DensityCompare_Peak_v1	UNCUED	1	0	135	7	7	99	68	95	102	138	1007634261	686272518	1335237448	1062845280	R	N	N		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
5	DensityCompare_Peak_v1	UNCUED	0	135	135	7	7	106	68	95	102	138	1123567865	979955159	386407543	374689152	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
6	DensityCompare_Peak_v1	UNCUED	0	270	270	4	2	96	68	95	102	138	725264207	172890459	1161305848	1555931417	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
7	DensityCompare_Peak_v1	CUED	0	90	45	1	9	88	68	95	102	138	1692739708	1797646184	798920947	1549337571	G	N	N		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
8	DensityCompare_Peak_v1	CUED	1	180	135	7	7	99	68	95	102	138	485092844	1427665669	104905910	458614380	R	N	N		XR Controller	8892A655	97D7D86C	C06EAC7C			
9	DensityCompare_Peak_v1	UNCUED	0	315	90	0	8	91	68	95	102	138	1928242493	909322802	1378535095	609792396	R	N	N		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
