Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_Simult_v2	CUED	0	45	45	1	9	101	0	97	104	140	905940366	1851200943	1256545869	1199121739	R	N	N		XR Controller	FC0B35C5	F6C40BDC	AD0DC18C			
1	DecoupledDots_005m_Simult_v2	UNCUED	1	270	270	4	2	102	0	97	104	140	35616322	200328268	357284611	1729141326	G	N	C		XR Controller	12A92B6D	B25BDEDC	AD0DC18C			
2	DecoupledDots_005m_Simult_v2	CUED	1	90	45	1	9	160	0	97	104	140	433460892	1597135799	472401779	1432639049	R	N	Z		XR Controller	F1CE78DD	F6C40BDC	0AE56A0C			
3	DecoupledDots_005m_Simult_v2	CUED	0	0	45	1	9	102	0	97	104	140	1798479491	951048010	1516709549	1235766087	G	F	C		XR Controller	FC0B35C5	B25BDEDC	C625488C			
4	DecoupledDots_005m_Simult_v2	UNCUED	0	225	180	6	4	193	0	97	104	140	800995277	578598414	372164476	1461611519	R	N	CZ		XR Controller	B2080E55	FA8CC25C	0AE56A0C			
5	DecoupledDots_005m_Simult_v2	CUED	0	0	225	5	1	108	0	97	104	140	537397432	489467188	2088857123	1540032896	R	N	N		XR Controller	FC0B35C5	F6C40BDC	AD0DC18C			
6	DecoupledDots_005m_Simult_v2	UNCUED	0	315	315	3	3	97	0	97	104	140	1072068636	173627486	793961254	784271533	G	N	N		XR Controller	B2080E55	B624955C	AD0DC18C			
7	DecoupledDots_005m_Simult_v2	CUED	1	270	270	4	2	95	0	97	104	140	1727891259	2097964033	1298124634	4219625	R	N	C		XR Controller	F1CE78DD	FA8CC25C	AD0DC18C			
8	DecoupledDots_005m_Simult_v2	CUED	1	135	315	3	3	100	0	97	104	140	1426079517	1905259729	316703775	2075714656	G	N	CZ		XR Controller	F1CE78DD	B25BDEDC	0AE56A0C			
9	DecoupledDots_005m_Simult_v2	CUED	0	45	45	1	9	168	0	97	104	140	893483749	1206066445	1691185227	1416942449	G	N	N		XR Controller	FC0B35C5	B624955C	AD0DC18C			
10	DecoupledDots_005m_Simult_v2	CUED	1	0	0	2	6	91	0	97	104	140	30124033	178497313	1620268542	379354556	R	F	N		XR Controller	F1CE78DD	F6C40BDC	C625488C			
11	DecoupledDots_005m_Simult_v2	UNCUED	0	45	0	2	6	220	0	97	104	140	1450062674	1970667997	518916106	1100538601	R	N	CZ		XR Controller	B2080E55	FA8CC25C	0AE56A0C			
12	DecoupledDots_005m_Simult_v2	UNCUED	1	135	315	3	3	198	0	97	104	140	1243152131	1138646422	202420017	291065513	G	N	N		XR Controller	12A92B6D	B624955C	AD0DC18C			
13	DecoupledDots_005m_Simult_v2	CUED	0	45	-1	-1	-1	-1	0	97	104	140	840218303	2076315415	1981441504	609541795	G	F	C	ABORT	OnApplicationQuit	00000000	00000000	00000000			
