Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	45	315	3	3	108	68	95	103	139	8	88.889	378434192	1844619133	2004844375	1532231500	G	N	D			XR Controller	3300941B	EF8381FB	A41043FB			
1	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	270	90	0	8	115	68	95	96	132	1	11.111	1916633732	1217091988	995642019	308542572	G	N	N			XR Controller	4DE3DBE1	4855C69C	C9922E7C			
2	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	135	135	7	7	90	68	95	103	139	8	88.889	2120647193	1209192200	1013995503	1826514412	R	N	N			XR Controller	7077751B	742BDD3B	A41043FB			
3	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	180	135	7	7	167	68	95	107	143	12	133.333	246004005	262916851	269356113	1535956238	R	N	N			XR Controller	DB156D93	058B6FDB	DF5797FB			
4	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	180	45	1	9	161	68	95	96	132	1	11.111	1873601114	1718248390	2061353377	659954640	G	N	Da			XR Controller	5FB22001	1971B8B4	C9922E7C			
5	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	45	45	1	9	85	68	95	103	139	8	88.889	1449228298	1424926548	67738983	1971481771	G	N	D			XR Controller	13625B9B	EF8381FB	A41043FB			
6	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	315	270	4	2	157	68	95	111	147	16	177.778	1160579575	1886568312	2040695356	1966847880	R	N	N			XR Controller	CD8C1DEB	7D402C7B	00D8EBFB			
7	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	180	180	6	4	107	68	95	99	135	4	44.444	2092293975	615952493	587527348	1164425686	R	N	Db			XR Controller	271A3033	EBB7AF9B	2A02EFFB			
8	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	45	270	4	2	86	68	95	98	134	3	33.333	1873969616	321857527	1646292880	933721059	G	N	D			XR Controller	48EBCF8D	90246F64	33E7D87C			
9	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	90	90	0	8	108	68	95	96	132	1	11.111	1435110685	1872861989	113984800	555032789	R	N	Da			XR Controller	4CFD9031	6B838E14	C9922E7C			
10	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	0	2	6	85	68	95	98	134	3	33.333	166871777	94643953	2034615746	2016696404	R	N	Db			XR Controller	507DE495	FEBF2A4C	33E7D87C			
11	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	90	90	0	8	86	68	95	107	143	12	133.333	1077897039	1460187669	181823359	1328007079	G	N	Da			XR Controller	506C03E3	38190B9B	DF5797FB			
12	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	315	315	3	3	76	68	95	111	147	16	177.778	435262785	1289479670	241881436	1319545316	G	N	Da			XR Controller	BF9A19AB	BF7BE1BB	00D8EBFB			
13	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	135	90	0	8	97	68	95	99	135	4	44.444	161295193	1167963452	9503287	1526383514	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
14	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	225	225	5	1	77	68	95	111	147	16	177.778	180098976	1183295389	1845933549	573271545	G	N	Da			XR Controller	E0601D6B	BF7BE1BB	00D8EBFB			
15	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	90	90	0	8	87	68	95	96	132	1	11.111	81109004	401800986	198105080	979917769	R	N	Da			XR Controller	D0CF71A1	6B838E14	C9922E7C			
16	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	135	135	7	7	73	68	95	111	147	16	177.778	1461356430	1587562683	254598792	192900888	R	N	Db			XR Controller	2CB9A0AB	5BB3857B	00D8EBFB			
17	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	225	135	7	7	90	68	95	98	134	3	33.333	1024342694	1635888759	1429826348	1302630989	R	N	Da			XR Controller	03D2B615	1BCA7A24	33E7D87C			
18	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	180	180	6	4	134	68	95	99	135	4	44.444	621064941	205501788	16937462	1400039315	R	N	Da			XR Controller	0F789433	988E239B	2A02EFFB			
19	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	45	0	2	6	97	68	95	103	139	8	88.889	513786846	1768989046	1048133888	1631951850	R	N	N			XR Controller	03DF4C3B	742BDD3B	A41043FB			
20	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	180	180	6	4	78	68	95	98	134	3	33.333	685891048	1520711388	1414003440	1250768855	R	N	Da			XR Controller	2DB3DA8D	1BCA7A24	33E7D87C			
21	SubfieldSwap_AperSweep_Ap35_v1	CUED	0	0	0	2	6	72	68	95	111	147	16	177.778	1478009583	707118470	12064205	970828348	R	N	Db			XR Controller	715F08EB	5BB3857B	00D8EBFB			
22	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	45	45	1	9	84	68	95	107	143	12	133.333	772715597	1217028614	885806314	1236343945	G	N	Db			XR Controller	AF31FA93	0C16839B	DF5797FB			
23	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	0	180	6	4	85	68	95	99	135	4	44.444	41060989	935510226	1097233079	422427084	G	N	Db			XR Controller	54CF37E3	667ACD5B	2A02EFFB			
24	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	1	270	225	5	1	94	68	95	111	147	16	177.778	1971737810	1156587421	1267890160	24616641	R	N	D			XR Controller	BB85B74B	D82BFDFB	00D8EBFB			
25	SubfieldSwap_AperSweep_Ap35_v1	CUED	1	180	180	6	4	108	68	95	101	137	6	66.667	175270131	1071653990	1422695526	62992149	R	N	Db			XR Controller	CAFD08B7	7154574B	403259FB			
26	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	135	135	7	7	78	68	95	111	147	16	177.778	1777721318	1281088270	2017886260	1699149532	G	N	D			XR Controller	636D04AB	EDE4F43B	00D8EBFB			
27	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	135	135	7	7	83	68	95	98	134	3	33.333	2076402506	1951944444	1293274404	1418794044	R	N	N			XR Controller	3545EF95	54C6404C	33E7D87C			
28	SubfieldSwap_AperSweep_Ap35_v1	UNCUED	0	180	135	7	7	84	68	95	97	133	2	22.222	1416700906	1775875301	1547676954	1519037012	G	N	Db			XR Controller	9881007F	AD2DE8AB	40E205FB			
