Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthColorLinked_005m	CUED	1	135	90	0	8	97	56	78	84	114	1267818608	1528452189	1358262580	1034868239	G	N	ZdA		XR Controller	7BBB5D28	E7EF6CEC	FC45CDE4			
1	DepthColorLinked_005m	UNCUED	1	225	45	1	9	87	56	78	84	114	2082800019	884544246	2061316972	367773779	G	N	ZdB		XR Controller	E039A330	03DC50EC	6D1114C4			
2	DepthColorLinked_005m	UNCUED	0	315	0	2	6	131	56	78	84	114	727645265	271771352	1759210298	829788003	G	N	ZdB		XR Controller	1CE20318	03DC50EC	6D1114C4			
3	DepthColorLinked_005m	UNCUED	1	315	90	0	8	100	56	78	84	114	1865852318	1342239482	2133930425	149840143	R	N	ZdB		XR Controller	E039A330	D797592C	6D1114C4			
4	DepthColorLinked_005m	CUED	1	270	270	4	2	93	56	78	84	114	17738790	893084314	718947543	1701171995	R	N	ZdB		XR Controller	7BBB5D28	D797592C	6D1114C4			
5	DepthColorLinked_005m	UNCUED	1	45	90	0	8	98	56	78	84	114	1473435087	1562463684	1426800157	852100645	R	N	ZdB		XR Controller	E039A330	D797592C	6D1114C4			
6	DepthColorLinked_005m	UNCUED	1	225	270	4	2	130	56	78	84	114	1492400728	535574913	1257900102	115925484	R	N	ZdA		XR Controller	E039A330	003ADF2C	FC45CDE4			
7	DepthColorLinked_005m	CUED	1	45	45	1	9	115	56	78	84	114	405465894	1433371105	429267660	339970103	R	N	ZdA		XR Controller	7BBB5D28	003ADF2C	FC45CDE4			
8	DepthColorLinked_005m	CUED	1	315	315	3	3	169	56	78	84	114	1470849384	1471964719	1132183127	721762202	R	F	ZdB		XR Controller	7BBB5D28	D797592C	32DDF264			
9	DepthColorLinked_005m	UNCUED	0	45	225	5	1	113	56	78	84	114	1105641921	386639394	1932733739	1547549900	G	F	ZdA		XR Controller	1CE20318	E7EF6CEC	A3A93944			
10	DepthColorLinked_005m	UNCUED	0	0	180	6	4	90	56	78	84	114	902700361	987363927	25003	1928202383	R	F	ZdA		XR Controller	1CE20318	003ADF2C	A3A93944			
11	DepthColorLinked_005m	UNCUED	1	135	315	3	3	127	56	78	84	114	581097026	363510399	1937981142	1112661845	G	N	ZdA		XR Controller	E039A330	E7EF6CEC	FC45CDE4			
12	DepthColorLinked_005m	CUED	1	45	90	0	8	96	56	78	84	114	1822477163	1663830249	317882095	1754619028	R	F	ZdA		XR Controller	7BBB5D28	003ADF2C	A3A93944			
13	DepthColorLinked_005m	UNCUED	1	270	45	1	9	94	56	78	84	114	1850862719	806977815	905336124	614825054	G	F	ZdB		XR Controller	E039A330	03DC50EC	32DDF264			
14	DepthColorLinked_005m	CUED	1	0	0	2	6	127	56	78	84	114	203910821	2073806047	1643425385	632240011	G	F	ZdB		XR Controller	7BBB5D28	03DC50EC	32DDF264			
15	DepthColorLinked_005m	CUED	0	225	225	5	1	92	56	78	84	114	818619838	1820254415	1870059360	832112488	R	F	ZdB		XR Controller	CEA60E30	D797592C	32DDF264			
16	DepthColorLinked_005m	CUED	1	180	180	6	4	85	56	78	84	114	2036863159	1837627193	728038604	830298500	G	F	ZdB		XR Controller	7BBB5D28	03DC50EC	32DDF264			
17	DepthColorLinked_005m	UNCUED	0	180	0	2	6	88	56	78	84	114	374258159	1146467862	1281709426	665743359	G	F	ZdA		XR Controller	1CE20318	E7EF6CEC	A3A93944			
18	DepthColorLinked_005m	UNCUED	1	270	90	0	8	94	56	78	84	114	1088776340	1410696288	501031014	2034338928	R	F	ZdB		XR Controller	E039A330	D797592C	32DDF264			
19	DepthColorLinked_005m	UNCUED	1	270	270	4	2	86	56	78	84	114	1297199493	28811617	442284122	1973099490	R	N	ZdB		XR Controller	E039A330	D797592C	6D1114C4			
20	DepthColorLinked_005m	UNCUED	1	225	270	4	2	89	56	78	84	114	964604432	201308991	1444953091	230447820	R	F	ZdB		XR Controller	E039A330	D797592C	32DDF264			
21	DepthColorLinked_005m	UNCUED	1	135	135	7	7	91	56	78	84	114	829566961	258112322	15285082	296095400	G	N	ZdB		XR Controller	E039A330	03DC50EC	6D1114C4			
22	DepthColorLinked_005m	UNCUED	1	135	0	2	6	143	56	78	84	114	1675651286	230987762	1887998331	49908983	R	F	ZdA		XR Controller	E039A330	003ADF2C	A3A93944			
23	DepthColorLinked_005m	UNCUED	0	270	225	5	1	79	56	78	84	114	1935647345	1734319312	916451442	1925160315	R	N	ZdB		XR Controller	1CE20318	D797592C	6D1114C4			
24	DepthColorLinked_005m	CUED	0	45	270	4	2	143	56	78	84	114	702080302	1399659830	799128312	1864684770	R	N	ZdA		XR Controller	CEA60E30	003ADF2C	FC45CDE4			
25	DepthColorLinked_005m	UNCUED	0	315	270	4	2	175	56	78	84	114	1838268281	331379175	1833631254	1257719306	R	F	ZdB		XR Controller	1CE20318	D797592C	32DDF264			
26	DepthColorLinked_005m	CUED	1	0	315	3	3	86	56	78	84	114	1827610487	2048891279	2065611116	1131347962	R	F	ZdA		XR Controller	7BBB5D28	003ADF2C	A3A93944			
27	DepthColorLinked_005m	CUED	1	135	135	7	7	86	56	78	84	114	1980128205	15088098	1024019846	884623980	R	N	ZdB		XR Controller	7BBB5D28	D797592C	6D1114C4			
