Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthParam_015m	CUED	1	270	270	4	2	102	56	78	84	114	2007153452	1775795155	843941326	1239568852	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
1	DepthParam_015m	CUED	0	270	270	4	2	86	56	78	84	114	893876528	516673092	1927785732	421305419	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
2	DepthParam_015m	UNCUED	1	270	270	4	2	78	56	78	84	114	988958178	1980142719	512700041	636149348	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
3	DepthParam_015m	UNCUED	0	315	315	3	3	175	56	78	84	114	1526612683	1061439508	1122306731	709986293	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
4	DepthParam_015m	UNCUED	0	180	180	6	4	95	56	78	84	114	1772261019	1000241936	964959328	739803112	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
5	DepthParam_015m	CUED	0	0	90	0	8	82	56	78	84	114	1673301324	1726990795	94496316	535809116	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
6	DepthParam_015m	CUED	1	270	270	4	2	80	56	78	84	114	760065725	1417376164	548977085	1039844965	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
7	DepthParam_015m	UNCUED	1	180	225	5	1	92	56	78	84	114	697053349	623279533	1137216316	1973421558	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
8	DepthParam_015m	UNCUED	1	315	225	5	1	101	56	78	84	114	974508184	1073248582	1168518189	1824807804	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
9	DepthParam_015m	UNCUED	0	45	45	1	9	80	56	78	84	114	1130582883	965319652	1248218741	1749538186	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
10	DepthParam_015m	CUED	1	225	225	5	1	112	56	78	84	114	169862294	418607990	282403190	683130155	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
11	DepthParam_015m	CUED	0	180	225	5	1	93	56	78	84	114	615637147	1627862606	656737426	179870410	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
12	DepthParam_015m	UNCUED	0	225	0	2	6	90	56	78	84	114	1235562204	338281199	2038205214	1230846536	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
13	DepthParam_015m	CUED	0	315	315	3	3	96	56	78	84	114	316094127	1411065744	663870892	961267482	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
14	DepthParam_015m	UNCUED	0	90	225	5	1	81	56	78	84	114	300828321	1973594741	592497871	231961026	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
15	DepthParam_015m	CUED	0	180	225	5	1	86	56	78	84	114	1536508806	1657629858	1447734416	1053389630	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
16	DepthParam_015m	UNCUED	0	135	45	1	9	90	56	78	84	114	1503591323	142034888	1589605345	1906998425	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
17	DepthParam_015m	CUED	0	135	225	5	1	81	56	78	84	114	1758044595	1093838552	1279655713	500200075	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
18	DepthParam_015m	UNCUED	1	0	180	6	4	148	56	78	84	114	1192028689	222669935	454754510	1735888801	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
19	DepthParam_015m	UNCUED	1	270	180	6	4	140	56	78	84	114	1181896131	784553784	2012194049	880524769	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
20	DepthParam_015m	CUED	0	225	225	5	1	181	56	78	84	114	1943423217	614650535	1989153815	1395793862	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
21	DepthParam_015m	CUED	0	180	180	6	4	117	56	78	84	114	836249652	586203481	18084266	460600456	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
22	DepthParam_015m	UNCUED	1	45	0	2	6	91	56	78	84	114	1022973532	1376872080	2094615742	711303980	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
23	DepthParam_015m	UNCUED	1	0	45	1	9	84	56	78	84	114	1601087967	1269374011	1812726995	1648610102	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
24	DepthParam_015m	CUED	1	90	90	0	8	87	56	78	84	114	416873593	1172617766	1754177319	1036265010	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
25	DepthParam_015m	UNCUED	0	225	270	4	2	87	56	78	84	114	1549204879	28765882	1781805002	1304557244	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
26	DepthParam_015m	UNCUED	0	45	270	4	2	79	56	78	84	114	1056112231	1129676188	1390152073	2106482911	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
27	DepthParam_015m	CUED	0	135	135	7	7	100	56	78	84	114	548747292	1333301331	1587202468	469917658	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
28	DepthParam_015m	UNCUED	0	135	135	7	7	90	56	78	84	114	137959643	1465622343	425963659	909367894	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
29	DepthParam_015m	UNCUED	1	45	180	6	4	83	56	78	84	114	876457406	1960433941	687747564	1650406994	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
30	DepthParam_015m	CUED	1	225	0	2	6	99	56	78	84	114	881468926	1329633766	2065725910	934772913	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
31	DepthParam_015m	UNCUED	1	180	225	5	1	114	56	78	84	114	1870661426	1357581841	1043826047	1918762730	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
32	DepthParam_015m	UNCUED	0	270	270	4	2	82	56	78	84	114	108539805	839218586	1953773351	1311261153	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
33	DepthParam_015m	UNCUED	1	225	90	0	8	80	56	78	84	114	771734363	866142034	285636276	924351549	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
34	DepthParam_015m	UNCUED	0	90	225	5	1	96	56	78	84	114	1121934841	852699971	795507635	775380760	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
35	DepthParam_015m	UNCUED	1	90	45	1	9	177	56	78	84	114	881838000	1757968116	374592759	1745877071	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
36	DepthParam_015m	UNCUED	1	0	0	2	6	86	56	78	84	114	808736064	1250581925	174541008	986807508	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
37	DepthParam_015m	UNCUED	1	135	90	0	8	106	56	78	84	114	784374209	1862654716	813736982	1662982586	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
38	DepthParam_015m	UNCUED	1	180	225	5	1	104	56	78	84	114	1327086600	2025220349	1116820241	1303016488	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
39	DepthParam_015m	CUED	1	180	180	6	4	104	56	78	84	114	2118847883	661606816	1983243786	173810748	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
40	DepthParam_015m	CUED	1	135	270	4	2	102	56	78	84	114	1346031016	515638563	1678721908	165815586	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
41	DepthParam_015m	CUED	1	135	180	6	4	87	56	78	84	114	1981997343	941022655	1539603374	1868661162	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
42	DepthParam_015m	UNCUED	1	315	270	4	2	108	56	78	84	114	288454560	323002815	1942353222	1471469668	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
43	DepthParam_015m	UNCUED	0	315	225	5	1	82	56	78	84	114	401143419	1848803332	2026126648	245454331	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
44	DepthParam_015m	CUED	1	90	270	4	2	79	56	78	84	114	405228540	1259461478	1409070529	1551105266	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
45	DepthParam_015m	UNCUED	0	270	90	0	8	84	56	78	84	114	228505346	15576009	67454284	1532380227	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
46	DepthParam_015m	CUED	0	45	45	1	9	103	56	78	84	114	1390834910	761353721	1308315877	1363423324	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
47	DepthParam_015m	CUED	1	315	315	3	3	107	56	78	84	114	309758516	798160936	602329680	1560772614	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
48	DepthParam_015m	CUED	0	90	270	4	2	99	56	78	84	114	1906916845	713959725	2061727199	267298374	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
49	DepthParam_015m	UNCUED	0	315	315	3	3	94	56	78	84	114	222476178	470543849	469374850	459652712	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
50	DepthParam_015m	UNCUED	0	270	90	0	8	84	56	78	84	114	1466860274	1960463158	369557851	668287467	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
51	DepthParam_015m	CUED	1	270	45	1	9	101	56	78	84	114	94624654	244575569	3948454	1647879119	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
52	DepthParam_015m	UNCUED	0	180	45	1	9	159	56	78	84	114	168362771	615077981	465692733	1025653323	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
53	DepthParam_015m	CUED	1	0	0	2	6	144	56	78	84	114	223331273	285421010	3232008	1789756377	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
54	DepthParam_015m	CUED	0	45	45	1	9	88	56	78	84	114	1153396101	617154998	343469271	2029860981	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
55	DepthParam_015m	CUED	0	270	45	1	9	82	56	78	84	114	731922970	2109154554	1172709798	1523766932	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
56	DepthParam_015m	UNCUED	0	0	0	2	6	89	56	78	84	114	1820215413	688216880	877998535	1308769309	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
57	DepthParam_015m	UNCUED	0	0	225	5	1	92	56	78	84	114	753505272	1735193250	1133551845	1051409424	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
58	DepthParam_015m	CUED	1	45	45	1	9	78	56	78	84	114	620790452	1356377302	81343814	2095595501	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
59	DepthParam_015m	UNCUED	1	0	180	6	4	95	56	78	84	114	1361637214	1287719071	1319957731	1665416838	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
60	DepthParam_015m	UNCUED	1	45	225	5	1	155	56	78	84	114	612214749	2075691973	1811960700	550841402	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
61	DepthParam_015m	CUED	0	90	45	1	9	79	56	78	84	114	953888293	890634835	495899239	1944831914	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
62	DepthParam_015m	UNCUED	1	135	180	6	4	81	56	78	84	114	83604825	366680560	768568994	1950167773	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
63	DepthParam_015m	CUED	0	315	0	2	6	76	56	78	84	114	1690790531	1395239179	2077655024	1629716247	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
64	DepthParam_015m	UNCUED	0	90	90	0	8	83	56	78	84	114	370301816	1059484189	1131561384	226709037	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
65	DepthParam_015m	CUED	1	180	225	5	1	81	56	78	84	114	1046637697	2079990639	746393680	1474587307	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
66	DepthParam_015m	CUED	0	225	45	1	9	80	56	78	84	114	2066487109	258161581	2001764158	56413359	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
67	DepthParam_015m	UNCUED	1	225	0	2	6	85	56	78	84	114	693397308	801154601	959152163	976765706	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
68	DepthParam_015m	CUED	1	180	180	6	4	86	56	78	84	114	261628147	601735893	665686379	1471915474	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
69	DepthParam_015m	UNCUED	1	135	180	6	4	89	56	78	84	114	2132368696	1377850581	1356005127	585020080	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
70	DepthParam_015m	CUED	1	135	315	3	3	100	56	78	84	114	1048145519	374936544	1414297869	1329040887	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
71	DepthParam_015m	UNCUED	0	45	180	6	4	92	56	78	84	114	940381166	825707207	968545690	1986615901	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
72	DepthParam_015m	UNCUED	1	270	135	7	7	107	56	78	84	114	142742964	1157858237	840373212	1680500436	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
73	DepthParam_015m	CUED	0	90	45	1	9	125	56	78	84	114	1273708962	668680872	10346286	1713188898	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
74	DepthParam_015m	UNCUED	1	90	270	4	2	87	56	78	84	114	1018187557	536914761	873080780	1127430872	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
75	DepthParam_015m	UNCUED	0	45	90	0	8	78	56	78	84	114	1674085397	1726710316	2127941083	2097572672	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
76	DepthParam_015m	CUED	0	45	180	6	4	104	56	78	84	114	1875512825	930283246	1329426511	86060359	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
77	DepthParam_015m	UNCUED	1	225	225	5	1	77	56	78	84	114	1460721517	1027637919	1761082829	107148347	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
78	DepthParam_015m	UNCUED	0	180	135	7	7	103	56	78	84	114	1547631082	1830613624	627092512	475455783	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
79	DepthParam_015m	CUED	1	0	315	3	3	80	56	78	84	114	327058972	1725189470	388557443	800331731	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
80	DepthParam_015m	CUED	0	270	225	5	1	91	56	78	84	114	556524841	1929194428	1678647737	1794461259	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
81	DepthParam_015m	CUED	1	90	225	5	1	76	56	78	84	114	1550861201	275968473	1056121139	1702360231	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
82	DepthParam_015m	CUED	0	90	45	1	9	91	56	78	84	114	980638993	309732401	1926041810	778142664	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
83	DepthParam_015m	CUED	0	0	45	1	9	93	56	78	84	114	414503265	1324108264	192109735	538557084	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
84	DepthParam_015m	CUED	0	45	45	1	9	73	56	78	84	114	759998921	1592672256	525987812	1436755930	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
85	DepthParam_015m	CUED	0	315	315	3	3	156	56	78	84	114	638305905	2008581418	126605314	1099758145	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
86	DepthParam_015m	UNCUED	0	135	180	6	4	92	56	78	84	114	1280184338	1036579940	250013081	1196862438	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
