Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
283	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	225	45	1	9	108	68	95	101	163	6	66.667	1480239780	1698752788	737889621	2025733821	G	N	Db			XR Controller	431BB07F	CDC3FBBB	E9223BFB			
284	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	0	0	2	6	72	68	95	107	163	12	133.333	729364324	1341620781	893520370	239836498	G	N	Db			XR Controller	B6BEE0F3	CDC3FBBB	E9223BFB			
285	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	90	90	0	8	64	68	95	117	163	22	244.444	1893862792	1966155316	1758751400	1701725088	R	N	Db			XR Controller	CF5FC51F	420BC5FB	E9223BFB			
286	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	315	135	7	7	97	68	95	103	163	8	88.889	282623501	1729150974	1706596812	382465997	R	N	N			XR Controller	4AD6A03B	2F6FECFB	E9223BFB			
287	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	315	0	2	6	98	68	95	99	163	4	44.444	725763043	520411731	437801396	1415791494	G	N	N			XR Controller	AF672103	16FE68BB	E9223BFB			
288	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	90	90	0	8	67	68	95	127	163	32	355.556	2136730764	1515213820	1361224886	926074331	G	N	Da			XR Controller	D1CAB16B	71FFFA3B	E9223BFB			
289	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	0	0	2	6	134	68	95	103	163	8	88.889	244314200	1382853861	1774564059	128826581	G	N	D			XR Controller	40D9EDBB	FF1A6CBB	E9223BFB			
290	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	45	45	1	9	76	68	95	101	163	6	66.667	722177929	1105710652	1900237828	444626062	R	N	D			XR Controller	B9D647DF	D81A967B	E9223BFB			
291	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	225	180	6	4	73	68	95	99	163	4	44.444	257831568	493291565	2032993516	555650156	G	N	Db			XR Controller	2D6D9673	CDC3FBBB	E9223BFB			
292	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	0	180	6	4	76	68	95	111	163	16	177.778	1500511885	46792021	1060737561	1769944436	G	N	D			XR Controller	0E70040B	FF1A6CBB	E9223BFB			
293	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	90	45	1	9	69	68	95	101	163	6	66.667	1789907174	1052618193	141651691	708404741	R	N	D			XR Controller	BDD4706F	D81A967B	E9223BFB			
294	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	315	180	6	4	87	68	95	117	163	22	244.444	1650978072	446537192	1333930507	1034003365	R	N	N			XR Controller	7AF8B01F	2F6FECFB	E9223BFB			
295	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	225	45	1	9	77	68	95	99	163	4	44.444	1765500037	2059940795	788816770	1734007414	G	N	D			XR Controller	C3C1C7B3	FF1A6CBB	E9223BFB			
