Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
38	UNCUED	1	270	315	3	3	81	56	78	84	114	1377463729	638502236	112098906	2060063879	G	N		XR Controller	67DD8480	083E616C		
39	CUED	0	90	90	0	8	79	56	78	84	114	1394867436	420748000	847508302	2057968549	R	N		XR Controller	6CBED730	BC9E36AC		
40	UNCUED	0	45	45	1	9	86	56	78	84	114	1096495621	143944917	6783071	206022474	R	N		XR Controller	F088AE08	BC9E36AC		
41	UNCUED	1	45	225	5	1	94	56	78	84	114	1962594803	1721139523	357546818	971823742	G	N		XR Controller	67DD8480	083E616C		
42	CUED	0	45	90	0	8	92	56	78	84	114	566084733	1853473093	663968215	536430206	R	N		XR Controller	6CBED730	BC9E36AC		
43	UNCUED	1	180	0	2	6	107	56	78	84	114	2024909105	460417201	769682916	2089454935	R	N		XR Controller	67DD8480	BC9E36AC		
44	CUED	1	225	225	5	1	95	56	78	84	114	1283725339	1688158165	2112501089	1413012142	G	N		XR Controller	CB090948	083E616C		
45	UNCUED	0	270	270	4	2	99	56	78	84	114	166472918	429130811	1992102428	532734996	R	N		XR Controller	F088AE08	BC9E36AC		
46	UNCUED	0	0	45	1	9	104	56	78	84	114	1156085121	1381695291	677959481	2039311700	R	N		XR Controller	F088AE08	BC9E36AC		
47	UNCUED	1	0	90	0	8	78	56	78	84	114	270235695	1653721668	1301636181	633875386	G	N		XR Controller	67DD8480	083E616C		
48	UNCUED	1	270	225	5	1	79	56	78	84	114	444792428	611906284	738259685	1279930034	R	N		XR Controller	67DD8480	BC9E36AC		
49	UNCUED	0	90	225	5	1	88	56	78	84	114	985758575	1357222659	576935416	1562533914	R	N		XR Controller	F088AE08	BC9E36AC		
50	CUED	1	0	0	2	6	83	56	78	84	114	1867289420	1671982016	833110389	802076743	R	N		XR Controller	CB090948	BC9E36AC		
51	CUED	1	270	270	4	2	71	56	78	84	114	796745558	618286822	910285769	106357916	G	N		XR Controller	CB090948	083E616C		
52	CUED	1	90	90	0	8	71	56	78	84	114	2036690067	378885156	2060015142	1638180047	R	N		XR Controller	CB090948	BC9E36AC		
53	CUED	0	90	90	0	8	75	56	78	84	114	448163018	1224157569	375343001	1690349299	G	N		XR Controller	6CBED730	083E616C		
54	CUED	1	315	45	1	9	320	56	78	84	114	1942921114	1603794862	1772215859	1786439810	R	N		XR Controller	CB090948	BC9E36AC		
55	CUED	1	225	225	5	1	73	56	78	84	114	1252162208	2006781390	250302833	668963859	R	N		XR Controller	CB090948	BC9E36AC		
56	UNCUED	1	180	270	4	2	100	56	78	84	114	891789983	271955485	671320263	69266233	G	N		XR Controller	67DD8480	083E616C		
57	UNCUED	0	180	45	1	9	78	56	78	84	114	1080585308	1967047909	1577764476	1060496683	R	N		XR Controller	F088AE08	BC9E36AC		
58	CUED	1	0	0	2	6	71	56	78	84	114	1297642420	345762208	920417795	716773536	G	N		XR Controller	CB090948	083E616C		
59	CUED	1	90	45	1	9	63	56	78	84	114	1183383125	923542659	316737788	858349592	G	N		XR Controller	CB090948	083E616C		
60	CUED	0	135	135	7	7	77	56	78	84	114	706639453	1443969344	1316069439	988210559	G	N		XR Controller	6CBED730	083E616C		
61	UNCUED	1	225	90	0	8	57	56	78	84	114	1046291446	1781386275	931284232	2002482035	G	N		XR Controller	67DD8480	083E616C		
62	CUED	1	270	270	4	2	65	56	78	84	114	571470401	1191444047	1147194586	1733020537	R	N		XR Controller	CB090948	BC9E36AC		
63	UNCUED	0	180	45	1	9	92	56	78	84	114	1076786252	1886585914	693548045	78037905	G	N		XR Controller	F088AE08	083E616C		
