Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_HighDens_v1	UNCUED	1	180	0	2	6	150	68	95	102	138	688913212	1987839588	152334606	968346218	G	N	Da			XR Controller	4E483D25	52D3C1E4	C06EAC7C			
1	SubfieldSwap_HighDens_v1	CUED	0	45	45	1	9	100	68	95	102	138	2045085544	1021012533	600509887	1271219948	R	N	Db			XR Controller	4478E765	EAFFC16C	C06EAC7C			
2	SubfieldSwap_HighDens_v1	CUED	0	135	135	7	7	112	68	95	102	138	235820282	1280683405	1955968633	1904028152	R	N	Da			XR Controller	FBC2BEF5	12A26044	C06EAC7C			
3	SubfieldSwap_HighDens_v1	CUED	1	225	135	7	7	105	68	95	102	138	1217789096	28606264	971453496	1915837739	R	N	Da			XR Controller	A17DA62D	12A26044	C06EAC7C			
4	SubfieldSwap_HighDens_v1	CUED	0	225	90	0	8	100	68	95	102	138	171548430	921878999	55453274	731646778	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
5	SubfieldSwap_HighDens_v1	CUED	0	315	90	0	8	102	68	95	102	138	1803805103	1628799103	2013227190	322784104	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
6	SubfieldSwap_HighDens_v1	UNCUED	1	270	45	1	9	127	68	95	102	138	1218614075	8441637	2059677591	1059743879	R	N	Da			XR Controller	4E483D25	12A26044	C06EAC7C			
7	SubfieldSwap_HighDens_v1	CUED	1	135	135	7	7	95	68	95	102	138	1420022325	1436266412	674105722	626630465	R	N	D			XR Controller	8746324D	0CCFD9A4	C06EAC7C			
8	SubfieldSwap_HighDens_v1	CUED	0	45	90	0	8	90	68	95	102	138	1140159092	2042229569	388003117	723587989	G	N	Da			XR Controller	FBC2BEF5	52D3C1E4	C06EAC7C			
9	SubfieldSwap_HighDens_v1	UNCUED	1	90	90	0	8	82	68	95	102	138	2095503548	138750443	1446920731	593458191	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
10	SubfieldSwap_HighDens_v1	CUED	1	90	90	0	8	85	68	95	102	138	1260431543	2008099858	936821846	305184201	G	N	N			XR Controller	8892A655	BBE350AC	C06EAC7C			
11	SubfieldSwap_HighDens_v1	UNCUED	0	0	45	1	9	101	68	95	102	138	129187735	1281178528	233795132	788455982	R	N	Da			XR Controller	C4EFBD4D	12A26044	C06EAC7C			
12	SubfieldSwap_HighDens_v1	CUED	1	0	135	7	7	95	68	95	102	138	1210223730	2105035398	1204694221	1499783795	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
13	SubfieldSwap_HighDens_v1	UNCUED	1	315	135	7	7	107	68	95	102	138	1758821571	1000793448	924326268	136895746	R	N	D			XR Controller	BE1933F5	0CCFD9A4	C06EAC7C			
14	SubfieldSwap_HighDens_v1	CUED	1	0	90	0	8	105	68	95	102	138	176802239	1526386143	151962489	1418854759	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
15	SubfieldSwap_HighDens_v1	CUED	0	315	315	3	3	93	68	95	102	138	278078581	1663036378	885998902	390102431	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
16	SubfieldSwap_HighDens_v1	UNCUED	0	45	90	0	8	87	68	95	102	138	1446483182	234533835	37034497	1796317233	R	N	Da			XR Controller	C4EFBD4D	12A26044	C06EAC7C			
17	SubfieldSwap_HighDens_v1	CUED	0	135	90	0	8	111	68	95	102	138	1215535422	1451692684	528359652	1433920621	G	N	Da			XR Controller	FBC2BEF5	52D3C1E4	C06EAC7C			
18	SubfieldSwap_HighDens_v1	CUED	0	0	45	1	9	95	68	95	102	138	572926478	1084406476	1019467435	719997726	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
19	SubfieldSwap_HighDens_v1	CUED	0	225	225	5	1	107	68	95	102	138	1790664574	555151366	1218666048	562153523	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
20	SubfieldSwap_HighDens_v1	CUED	1	270	270	4	2	83	68	95	102	138	1966117573	2047897269	824683658	862475870	R	N	D			XR Controller	8746324D	0CCFD9A4	C06EAC7C			
21	SubfieldSwap_HighDens_v1	CUED	0	135	135	7	7	87	68	95	102	138	64824572	995666606	1385455459	584569733	R	N	Db			XR Controller	4478E765	EAFFC16C	C06EAC7C			
22	SubfieldSwap_HighDens_v1	CUED	0	90	45	1	9	128	68	95	102	138	1840477048	320514414	85892512	1910137731	G	N	Da			XR Controller	FBC2BEF5	52D3C1E4	C06EAC7C			
23	SubfieldSwap_HighDens_v1	CUED	1	225	0	2	6	85	68	95	102	138	381167730	600566344	964789078	223174743	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
24	SubfieldSwap_HighDens_v1	UNCUED	0	225	225	5	1	92	68	95	102	138	135602095	1832146521	1753267748	1135333058	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
25	SubfieldSwap_HighDens_v1	UNCUED	0	45	45	1	9	75	68	95	102	138	880903960	1423217625	1026726140	1554420839	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
26	SubfieldSwap_HighDens_v1	CUED	0	270	135	7	7	81	68	95	102	138	1903192804	433423820	1728728338	1056562012	G	N	Da			XR Controller	FBC2BEF5	52D3C1E4	C06EAC7C			
27	SubfieldSwap_HighDens_v1	CUED	1	315	315	3	3	86	68	95	102	138	270302640	1252823482	1334032703	1403154287	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
28	SubfieldSwap_HighDens_v1	UNCUED	0	135	225	5	1	83	68	95	102	138	1937422418	222794384	694315526	144317364	R	N	D			XR Controller	DF27312D	0CCFD9A4	C06EAC7C			
29	SubfieldSwap_HighDens_v1	UNCUED	0	180	225	5	1	76	68	95	102	138	664144381	1234763596	307656375	1581361433	R	N	Db			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
30	SubfieldSwap_HighDens_v1	UNCUED	1	45	180	6	4	88	68	95	102	138	1598598499	11504094	523234955	1951851340	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
31	SubfieldSwap_HighDens_v1	CUED	1	315	0	2	6	86	68	95	102	138	1858530999	2016192370	2136245661	1147847118	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
32	SubfieldSwap_HighDens_v1	UNCUED	0	180	225	5	1	76	68	95	102	138	252808686	538442981	1773927703	1624264581	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
33	SubfieldSwap_HighDens_v1	UNCUED	0	270	225	5	1	76	68	95	102	138	1463369717	628676133	608551034	9105520	R	N	Da			XR Controller	C4EFBD4D	12A26044	C06EAC7C			
34	SubfieldSwap_HighDens_v1	CUED	1	90	90	0	8	87	68	95	102	138	1468553209	1844176627	136947194	774774250	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
35	SubfieldSwap_HighDens_v1	CUED	0	225	270	4	2	81	68	95	102	138	848065180	1487768623	1891031449	2038450490	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
36	SubfieldSwap_HighDens_v1	CUED	1	45	45	1	9	85	68	95	102	138	1079591585	397679660	731410047	2050718178	R	N	Da			XR Controller	A17DA62D	12A26044	C06EAC7C			
37	SubfieldSwap_HighDens_v1	UNCUED	1	0	270	4	2	96	68	95	102	138	1069373728	1029948295	1315180462	1428621660	G	N	Db			XR Controller	792A361D	C96A68AC	C06EAC7C			
38	SubfieldSwap_HighDens_v1	UNCUED	0	315	45	1	9	127	68	95	102	138	1081577619	824741935	782632366	1129527768	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
39	SubfieldSwap_HighDens_v1	UNCUED	0	0	225	5	1	113	68	95	102	138	350722021	101668705	1182185270	419566091	R	N	Db			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
40	SubfieldSwap_HighDens_v1	UNCUED	0	270	270	4	2	141	68	95	102	138	131589046	390659573	860164780	790292643	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
41	SubfieldSwap_HighDens_v1	UNCUED	0	0	90	0	8	86	68	95	102	138	1571440019	1487774031	1271376524	975406324	R	N	Db			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
42	SubfieldSwap_HighDens_v1	UNCUED	1	135	270	4	2	100	68	95	102	138	1965116863	1948786005	1047845175	1769390325	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
43	SubfieldSwap_HighDens_v1	UNCUED	0	225	225	5	1	125	68	95	102	138	1708694336	1247394045	2118904251	350251522	R	N	D			XR Controller	DF27312D	0CCFD9A4	C06EAC7C			
44	SubfieldSwap_HighDens_v1	UNCUED	0	135	315	3	3	122	68	95	102	138	2083184657	1552970142	1048733561	962038203	G	N	Da			XR Controller	C4EFBD4D	52D3C1E4	C06EAC7C			
45	SubfieldSwap_HighDens_v1	UNCUED	0	180	135	7	7	132	68	95	102	138	1187917194	1837653186	810291778	1120168767	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
46	SubfieldSwap_HighDens_v1	UNCUED	1	315	0	2	6	101	68	95	102	138	1268860121	78212338	509394444	827925960	G	N	D			XR Controller	BE1933F5	54CC5C84	C06EAC7C			
47	SubfieldSwap_HighDens_v1	UNCUED	0	45	45	1	9	83	68	95	102	138	1574427076	468219924	2095266824	210060388	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
48	SubfieldSwap_HighDens_v1	CUED	0	135	90	0	8	73	68	95	102	138	935116723	1672164994	1416106173	1574278776	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
49	SubfieldSwap_HighDens_v1	UNCUED	0	180	180	6	4	73	68	95	102	138	808697450	1785321874	1151409851	1626751991	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
50	SubfieldSwap_HighDens_v1	CUED	0	270	270	4	2	75	68	95	102	138	1259409765	1992557055	614719334	134808347	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
51	SubfieldSwap_HighDens_v1	UNCUED	0	180	180	6	4	87	68	95	102	138	1830458360	575491838	1666779945	1284254016	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
52	SubfieldSwap_HighDens_v1	UNCUED	1	180	0	2	6	76	68	95	102	138	562854598	1087594728	1609191835	98925584	R	N	D			XR Controller	BE1933F5	0CCFD9A4	C06EAC7C			
53	SubfieldSwap_HighDens_v1	UNCUED	1	135	135	7	7	126	68	95	102	138	259618925	1057770621	608049947	1632905610	R	N	Da			XR Controller	4E483D25	12A26044	C06EAC7C			
54	SubfieldSwap_HighDens_v1	UNCUED	0	315	225	5	1	80	68	95	102	138	2116153531	1322515655	964231762	2120534314	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
55	SubfieldSwap_HighDens_v1	UNCUED	0	90	90	0	8	75	68	95	102	138	859146440	2024773355	1754491030	1533741320	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
56	SubfieldSwap_HighDens_v1	UNCUED	1	0	0	2	6	81	68	95	102	138	53489959	1389706941	873581117	1055223347	G	N	Db			XR Controller	792A361D	C96A68AC	C06EAC7C			
57	SubfieldSwap_HighDens_v1	UNCUED	0	135	135	7	7	82	68	95	102	138	312727035	646258550	1223654189	2052289004	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
58	SubfieldSwap_HighDens_v1	UNCUED	0	270	135	7	7	75	68	95	102	138	706122793	1972337058	939967512	973122999	R	N	Db			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
59	SubfieldSwap_HighDens_v1	CUED	0	0	315	3	3	76	68	95	102	138	1924898579	367279099	983888074	1595982253	G	N	Da			XR Controller	FBC2BEF5	52D3C1E4	C06EAC7C			
60	SubfieldSwap_HighDens_v1	CUED	0	315	270	4	2	167	68	95	102	138	179094148	192270861	1399719926	1877701826	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
61	SubfieldSwap_HighDens_v1	UNCUED	1	0	270	4	2	75	68	95	102	138	1833132789	1787001914	425109451	602590271	R	N	N			XR Controller	06CF5C65	97D7D86C	C06EAC7C			
62	SubfieldSwap_HighDens_v1	CUED	1	90	90	0	8	73	68	95	102	138	2067782791	1480930745	422461735	34284195	R	N	Db			XR Controller	8C48272D	EAFFC16C	C06EAC7C			
63	SubfieldSwap_HighDens_v1	CUED	1	135	90	0	8	73	68	95	102	138	865076151	1827349605	1723996832	1874227479	G	N	N			XR Controller	8892A655	BBE350AC	C06EAC7C			
64	SubfieldSwap_HighDens_v1	UNCUED	1	135	315	3	3	77	68	95	102	138	55218688	912014339	1209594441	1482875680	G	N	Db			XR Controller	792A361D	C96A68AC	C06EAC7C			
65	SubfieldSwap_HighDens_v1	CUED	0	270	270	4	2	221	68	95	102	138	83289351	790143518	1542495491	2099252927	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
66	SubfieldSwap_HighDens_v1	CUED	1	0	0	2	6	74	68	95	102	138	162045629	250921706	907604237	1640564939	R	N	D			XR Controller	8746324D	0CCFD9A4	C06EAC7C			
67	SubfieldSwap_HighDens_v1	UNCUED	0	135	135	7	7	78	68	95	102	138	229891156	710133040	844012345	1531862870	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
68	SubfieldSwap_HighDens_v1	UNCUED	1	0	180	6	4	90	68	95	102	138	225214755	777909442	956168361	1269537307	G	N	D			XR Controller	BE1933F5	54CC5C84	C06EAC7C			
69	SubfieldSwap_HighDens_v1	CUED	0	90	90	0	8	166	68	95	102	138	959791105	927325104	117170143	927071406	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
70	SubfieldSwap_HighDens_v1	UNCUED	0	90	90	0	8	80	68	95	102	138	537357756	314663578	2096001608	294073943	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
71	SubfieldSwap_HighDens_v1	UNCUED	1	90	315	3	3	81	68	95	102	138	623922726	1363476344	556903453	1685755174	R	N	D			XR Controller	BE1933F5	0CCFD9A4	C06EAC7C			
72	SubfieldSwap_HighDens_v1	UNCUED	0	90	90	0	8	70	68	95	102	138	503476755	597182165	1526442331	1177246482	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
73	SubfieldSwap_HighDens_v1	UNCUED	0	135	90	0	8	90	68	95	102	138	1674179700	298369022	850520843	826533534	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
74	SubfieldSwap_HighDens_v1	UNCUED	1	270	270	4	2	68	68	95	102	138	1437267136	910706199	1823957887	1730242541	G	N	Da			XR Controller	4E483D25	52D3C1E4	C06EAC7C			
75	SubfieldSwap_HighDens_v1	UNCUED	0	135	135	7	7	81	68	95	102	138	261119033	441226441	2056390485	666139211	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
76	SubfieldSwap_HighDens_v1	CUED	1	180	180	6	4	70	68	95	102	138	1231291345	947143730	2001365265	807730169	R	N	D			XR Controller	8746324D	0CCFD9A4	C06EAC7C			
77	SubfieldSwap_HighDens_v1	UNCUED	1	270	180	6	4	132	68	95	102	138	2013810151	1899916971	379124045	35362190	R	N	D			XR Controller	BE1933F5	0CCFD9A4	C06EAC7C			
78	SubfieldSwap_HighDens_v1	UNCUED	1	270	270	4	2	72	68	95	102	138	902687546	908988465	1485776751	2111422025	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
79	SubfieldSwap_HighDens_v1	CUED	1	315	315	3	3	101	68	95	102	138	1367941630	1082966550	1211796662	127069601	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
80	SubfieldSwap_HighDens_v1	CUED	1	225	225	5	1	77	68	95	102	138	769874166	1526123517	984312279	1832508430	R	N	N			XR Controller	8892A655	97D7D86C	C06EAC7C			
81	SubfieldSwap_HighDens_v1	CUED	0	225	225	5	1	63	68	95	102	138	785238749	558223020	1844587696	1335880083	R	N	D			XR Controller	8BF1C825	0CCFD9A4	C06EAC7C			
82	SubfieldSwap_HighDens_v1	UNCUED	0	315	0	2	6	95	68	95	102	138	187890599	242883547	2121783101	790033764	R	N	Db			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
83	SubfieldSwap_HighDens_v1	UNCUED	1	135	315	3	3	93	68	95	102	138	195397783	946795823	763678471	1637373067	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
84	SubfieldSwap_HighDens_v1	CUED	1	315	0	2	6	78	68	95	102	138	1857157509	1321215118	307529401	1049052728	G	N	N			XR Controller	8892A655	BBE350AC	C06EAC7C			
85	SubfieldSwap_HighDens_v1	CUED	0	135	180	6	4	73	68	95	102	138	1682891593	706696545	1873381866	1053032343	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
86	SubfieldSwap_HighDens_v1	CUED	1	90	135	7	7	81	68	95	102	138	72377392	2044758806	214705113	1197381500	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
87	SubfieldSwap_HighDens_v1	CUED	0	45	45	1	9	66	68	95	102	138	575417928	1145913331	386227051	257216567	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
88	SubfieldSwap_HighDens_v1	CUED	0	135	180	6	4	81	68	95	102	138	468300503	1060441373	747006355	1303631406	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
89	SubfieldSwap_HighDens_v1	UNCUED	1	270	315	3	3	82	68	95	102	138	733938226	348705094	636199337	2136343346	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
90	SubfieldSwap_HighDens_v1	UNCUED	0	270	270	4	2	75	68	95	102	138	2027146068	1207170203	705654240	2145106135	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
91	SubfieldSwap_HighDens_v1	CUED	0	225	225	5	1	71	68	95	102	138	1694390237	288971497	590759787	1842648989	R	N	Da			XR Controller	FBC2BEF5	12A26044	C06EAC7C			
92	SubfieldSwap_HighDens_v1	CUED	0	270	225	5	1	72	68	95	102	138	1648928573	1643009148	1680982442	92493312	R	N	Da			XR Controller	FBC2BEF5	12A26044	C06EAC7C			
