Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_CatekExact_v1	UNCUED	0	135	135	7	7	91	68	95	102	138	1247593433	1480440424	459107853	1192439372	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
1	SubfieldSwap_CatekExact_v1	CUED	0	45	45	1	9	157	68	95	102	138	1442522942	417994351	1432501506	254242177	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
2	SubfieldSwap_CatekExact_v1	CUED	0	45	90	0	8	74	68	95	102	138	295707121	1594082126	836025924	335146519	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
3	SubfieldSwap_CatekExact_v1	CUED	1	90	90	0	8	64	68	95	102	138	1336632360	1112510009	917197311	1375545106	R	N	N			XR Controller	8892A655	97D7D86C	C06EAC7C			
4	SubfieldSwap_CatekExact_v1	UNCUED	0	0	0	2	6	107	68	95	102	138	439167454	1165222937	894280179	1996858098	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
5	SubfieldSwap_CatekExact_v1	CUED	1	270	270	4	2	77	68	95	102	138	154392014	1808087113	1009935965	216191710	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
6	SubfieldSwap_CatekExact_v1	UNCUED	0	270	270	4	2	84	68	95	102	138	1279279937	1813475377	1894592873	1233793447	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
7	SubfieldSwap_CatekExact_v1	CUED	1	270	270	4	2	73	68	95	102	138	1863693106	1033273844	357549583	2011127584	G	N	N			XR Controller	8892A655	BBE350AC	C06EAC7C			
8	SubfieldSwap_CatekExact_v1	CUED	1	90	90	0	8	75	68	95	102	138	397417977	933896591	594338197	1661374096	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
9	SubfieldSwap_CatekExact_v1	UNCUED	0	0	0	2	6	74	68	95	102	138	1231733172	2045657949	1102375771	1983572628	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
