Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_v2	CUED	0	0	0	2	6	93	56	78	84	114	950623736	1167997626	1192664128	1150551320	R	N	C		XR Controller	6CBED730	95473DAC	E4FFF864			
1	DecoupledDots_005m_v2	UNCUED	0	180	180	6	4	78	56	78	84	114	1901148238	1524753280	1978831948	1254541249	G	F	Z		XR Controller	F088AE08	083E616C	1B981CE4			
2	DecoupledDots_005m_v2	CUED	1	90	135	7	7	71	56	78	84	114	647033488	2063077605	1492728772	433669916	G	F	Z		XR Controller	CB090948	083E616C	1B981CE4			
3	DecoupledDots_005m_v2	CUED	1	270	0	2	6	89	56	78	84	114	788922668	940826127	1000961364	1153132405	G	F	Z		XR Controller	CB090948	083E616C	1B981CE4			
4	DecoupledDots_005m_v2	CUED	1	45	45	1	9	69	56	78	84	114	1894565085	544062379	320019560	824965464	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
5	DecoupledDots_005m_v2	CUED	0	180	90	0	8	59	56	78	84	114	1787719967	491728300	1543770076	175500020	G	F	C		XR Controller	6CBED730	E283626C	B7EB8364			
6	DecoupledDots_005m_v2	UNCUED	1	225	-1	-1	-1	196	56	78	84	114	1598137374	625661578	1235573410	764192138	R	N	CZ		XR Controller	67DD8480	95473DAC	81535EE4			
7	DecoupledDots_005m_v2	CUED	0	90	-1	-1	-1	30	56	78	84	114	1433407594	1426594563	1468418135	569712783	G	N	C		XR Controller	6CBED730	E283626C	E4FFF864			
8	DecoupledDots_005m_v2	CUED	1	315	315	3	3	67	56	78	84	114	17812794	2044040760	1850829385	845370938	G	N	CZ		XR Controller	CB090948	E283626C	81535EE4			
9	DecoupledDots_005m_v2	CUED	0	315	315	3	3	81	56	78	84	114	533049360	221208635	256128271	122304775	R	F	C		XR Controller	6CBED730	95473DAC	B7EB8364			
10	DecoupledDots_005m_v2	UNCUED	0	135	135	7	7	71	56	78	84	114	1574938264	1359641049	2074609836	665106399	R	N	Z		XR Controller	F088AE08	BC9E36AC	81535EE4			
11	DecoupledDots_005m_v2	UNCUED	1	45	-1	-1	-1	-1	56	78	84	114	1508661896	1744292589	1448285792	806182084	R	N	C	ABORT	OnApplicationQuit	00000000	00000000	00000000			
