Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DensityCompare_Peak_LateralShift_v1	CUED	1	135	135	7	7	124	68	95	102	138	864354626	565442042	426161566	108126803	G	N	N	L		XR Controller	8892A655	BBE350AC	C06EAC7C			
1	DensityCompare_Peak_LateralShift_v1	UNCUED	0	270	225	5	1	108	68	95	102	138	453554301	1052359168	104807276	839388759	G	N	N	L		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
2	DensityCompare_Peak_LateralShift_v1	CUED	0	0	45	1	9	78	68	95	102	138	156848625	196840180	1842140025	1132378983	G	N	N	R		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
3	DensityCompare_Peak_LateralShift_v1	UNCUED	1	225	135	7	7	92	68	95	102	138	1417028322	93386439	167275173	2012167063	G	N	N	L		XR Controller	06CF5C65	BBE350AC	C06EAC7C			
4	DensityCompare_Peak_LateralShift_v1	CUED	0	0	135	7	7	96	68	95	102	138	2136716001	994817892	1109086475	1565968258	G	N	N	L		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
5	DensityCompare_Peak_LateralShift_v1	UNCUED	0	315	45	1	9	80	68	95	102	138	341712761	1169299674	1969231347	569321771	R	N	N	L		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
6	DensityCompare_Peak_LateralShift_v1	UNCUED	0	270	45	1	9	74	68	95	102	138	621666642	23489833	1444217889	1353873833	R	N	N	R		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
7	DensityCompare_Peak_LateralShift_v1	UNCUED	0	135	90	0	8	78	68	95	102	138	326714832	1178628080	1206545526	1129661185	G	N	N	L		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
8	DensityCompare_Peak_LateralShift_v1	UNCUED	1	270	135	7	7	78	68	95	102	138	243229440	347820313	1778575865	540118304	R	N	N	L		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
9	DensityCompare_Peak_LateralShift_v1	UNCUED	1	90	135	7	7	67	68	95	102	138	1571125274	620184323	1699895736	1345399402	R	N	N	L		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
10	DensityCompare_Peak_LateralShift_v1	UNCUED	0	90	45	1	9	85	68	95	102	138	300500789	1372929615	1491054567	1880941305	G	N	N	R		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
11	DensityCompare_Peak_LateralShift_v1	UNCUED	0	180	135	7	7	77	68	95	102	138	1118008851	329974219	1118756184	2023054245	R	N	N	L		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
12	DensityCompare_Peak_LateralShift_v1	UNCUED	0	180	180	6	4	99	68	95	102	138	1593290254	950152920	510372062	1757562434	R	N	N	L		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
13	DensityCompare_Peak_LateralShift_v1	CUED	0	45	45	1	9	80	68	95	102	138	1232620317	502888852	1344748229	801422377	R	N	N	R		XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
14	DensityCompare_Peak_LateralShift_v1	CUED	0	270	135	7	7	134	68	95	102	138	1041737215	548803775	1104100882	1115705364	G	N	N	L		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
15	DensityCompare_Peak_LateralShift_v1	CUED	1	0	45	1	9	127	68	95	102	138	1505126395	1398369192	735954564	1999704414	G	N	N	R		XR Controller	8892A655	BBE350AC	C06EAC7C			
16	DensityCompare_Peak_LateralShift_v1	CUED	1	0	135	7	7	76	68	95	102	138	1634670889	1964707451	645207587	1636360232	R	N	N	L		XR Controller	8892A655	97D7D86C	C06EAC7C			
17	DensityCompare_Peak_LateralShift_v1	CUED	0	135	135	7	7	147	68	95	102	138	1033058175	1972072268	715157370	816389138	G	N	N	L		XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
18	DensityCompare_Peak_LateralShift_v1	UNCUED	0	45	45	1	9	71	68	95	102	138	479606892	155018355	743990212	746978575	G	N	N	R		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
19	DensityCompare_Peak_LateralShift_v1	UNCUED	0	225	-1	-1	-1	-1	68	95	102	138	891515081	380235582	928431940	2118204006	G	N	N	L	ABORT	OnApplicationQuit	00000000	00000000	00000000			
