Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	StonerBlanc_Ap35_LargeFix_v1	UNCUED	0	225	90	0	8	108	68	95	99	135	4	44.444	821306224	1904194299	1065296171	1949927806	R	N	N			XR Controller	39ADA2E3	179CA59B	2A02EFFB			
1	StonerBlanc_Ap35_LargeFix_v1	CUED	0	270	90	0	8	105	68	95	99	135	4	44.444	1216021656	64680785	1942976630	2014876055	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
2	StonerBlanc_Ap35_LargeFix_v1	CUED	0	45	45	1	9	90	68	95	99	135	4	44.444	1896542685	835063698	1051906508	228858325	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
3	StonerBlanc_Ap35_LargeFix_v1	UNCUED	1	135	90	0	8	89	68	95	99	135	4	44.444	1398125169	375674906	700127453	2144234490	G	N	MC			XR Controller	54CF37E3	667ACD5B	2A02EFFB			
4	StonerBlanc_Ap35_LargeFix_v1	CUED	0	315	315	3	3	103	68	95	99	135	4	44.444	737804822	688571681	1304923356	1948418870	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
5	StonerBlanc_Ap35_LargeFix_v1	UNCUED	0	180	0	2	6	114	68	95	99	135	4	44.444	1583624910	13577039	1903704144	1334780857	G	N	MC			XR Controller	918C2AB3	667ACD5B	2A02EFFB			
6	StonerBlanc_Ap35_LargeFix_v1	UNCUED	1	0	225	5	1	97	68	95	99	135	4	44.444	869788064	1645224364	1127010061	1781857556	R	N	MC			XR Controller	54CF37E3	EBB7AF9B	2A02EFFB			
7	StonerBlanc_Ap35_LargeFix_v1	UNCUED	1	135	90	0	8	116	68	95	99	135	4	44.444	1585835220	492763346	842189930	1745300829	R	N	N			XR Controller	ACADBFB3	179CA59B	2A02EFFB			
8	StonerBlanc_Ap35_LargeFix_v1	CUED	0	315	315	3	3	560	68	95	99	135	4	44.444	1433235019	590802382	1571661250	1161299393	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
9	StonerBlanc_Ap35_LargeFix_v1	UNCUED	0	315	315	3	3	116	68	95	99	135	4	44.444	1326858159	1659834578	1104896339	2035414169	G	N	N			XR Controller	39ADA2E3	5368435B	2A02EFFB			
10	StonerBlanc_Ap35_LargeFix_v1	CUED	0	180	225	5	1	242	68	95	99	135	4	44.444	516046037	1726830926	268331591	57187145	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
11	StonerBlanc_Ap35_LargeFix_v1	UNCUED	1	270	135	7	7	87	68	95	99	135	4	44.444	1084669180	1257765876	1221892089	1988473641	R	N	MC			XR Controller	54CF37E3	EBB7AF9B	2A02EFFB			
12	StonerBlanc_Ap35_LargeFix_v1	CUED	1	180	90	0	8	86	68	95	99	135	4	44.444	1036423380	1946921092	998907432	1185617024	G	N	MC			XR Controller	271A3033	667ACD5B	2A02EFFB			
13	StonerBlanc_Ap35_LargeFix_v1	UNCUED	0	315	135	7	7	74	68	95	99	135	4	44.444	1820727059	1288803768	563393005	510015438	R	N	N			XR Controller	39ADA2E3	179CA59B	2A02EFFB			
14	StonerBlanc_Ap35_LargeFix_v1	CUED	0	225	45	1	9	90	68	95	99	135	4	44.444	193691089	1274404575	2097609363	2080563516	G	N	MC			XR Controller	01216323	667ACD5B	2A02EFFB			
15	StonerBlanc_Ap35_LargeFix_v1	CUED	1	315	135	7	7	91	68	95	99	135	4	44.444	1627963924	1090157047	1932303885	216220297	G	N	N			XR Controller	1C42F823	5368435B	2A02EFFB			
16	StonerBlanc_Ap35_LargeFix_v1	CUED	0	225	45	1	9	133	68	95	99	135	4	44.444	1544836689	335789442	733902503	1754789087	R	N	MC			XR Controller	01216323	EBB7AF9B	2A02EFFB			
17	StonerBlanc_Ap35_LargeFix_v1	CUED	0	225	45	1	9	185	68	95	99	135	4	44.444	1166732023	1429117940	339581681	1922816996	R	N	N			XR Controller	0BF89B33	179CA59B	2A02EFFB			
18	StonerBlanc_Ap35_LargeFix_v1	CUED	1	180	270	4	2	85	68	95	99	135	4	44.444	25039265	272175281	918759324	715823743	G	N	N			XR Controller	1C42F823	5368435B	2A02EFFB			
