Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DensityCompare_VRDots_v1	CUED	1	135	90	0	8	87	68	95	102	138	551149292	256898203	950569646	274187860	G	N	N		XR Controller	8892A655	BBE350AC	C06EAC7C			
1	DensityCompare_VRDots_v1	UNCUED	1	315	135	7	7	98	68	95	102	138	1442227161	611773322	1953120478	518603488	R	N	N		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
2	DensityCompare_VRDots_v1	UNCUED	1	45	270	4	2	167	68	95	102	138	1963982305	1253413189	926706401	1937613341	G	N	N		XR Controller	06CF5C65	BBE350AC	C06EAC7C			
3	DensityCompare_VRDots_v1	UNCUED	0	45	225	5	1	94	68	95	102	138	1402798184	120167334	543869909	2034074492	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
4	DensityCompare_VRDots_v1	UNCUED	0	135	225	5	1	93	68	95	102	138	1639177922	148232408	948017277	1254317611	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
5	DensityCompare_VRDots_v1	UNCUED	0	90	225	5	1	107	68	95	102	138	1465123298	601475512	44112350	618580390	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
6	DensityCompare_VRDots_v1	UNCUED	1	0	135	7	7	108	68	95	102	138	657137134	533328462	792124907	230239570	R	N	N		XR Controller	06CF5C65	97D7D86C	C06EAC7C			
7	DensityCompare_VRDots_v1	UNCUED	0	315	315	3	3	114	68	95	102	138	807530655	745223354	1803699419	1683679501	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
8	DensityCompare_VRDots_v1	UNCUED	0	135	135	7	7	103	68	95	102	138	1850662205	688620961	673141526	681851822	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
9	DensityCompare_VRDots_v1	UNCUED	0	270	270	4	2	98	68	95	102	138	1881892193	368273097	839305109	636277096	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
10	DensityCompare_VRDots_v1	CUED	1	315	225	5	1	138	68	95	102	138	76712513	451324720	150577155	906322164	R	N	N		XR Controller	8892A655	97D7D86C	C06EAC7C			
11	DensityCompare_VRDots_v1	CUED	1	90	90	0	8	94	68	95	102	138	1380339169	964451142	1937686341	1442308464	G	N	N		XR Controller	8892A655	BBE350AC	C06EAC7C			
12	DensityCompare_VRDots_v1	UNCUED	0	45	315	3	3	125	68	95	102	138	1879630827	2075242925	455851395	248889276	R	N	N		XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
13	DensityCompare_VRDots_v1	UNCUED	0	315	315	3	3	107	68	95	102	138	167838929	1103026148	1725876006	707842018	G	N	N		XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
