Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_Catek_v1	CUED	1	270	315	3	3	104	68	95	102	138	2130883305	1914573549	1863567330	299861495	G	N	Da			XR Controller	A17DA62D	52D3C1E4	C06EAC7C			
1	SubfieldSwap_Catek_v1	UNCUED	1	0	45	1	9	83	68	95	102	138	708725689	1761647672	1396520044	1516924734	G	N	D			XR Controller	BE1933F5	54CC5C84	C06EAC7C			
2	SubfieldSwap_Catek_v1	CUED	0	90	225	5	1	102	68	95	102	138	384025421	780130140	1573502581	540460154	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
3	SubfieldSwap_Catek_v1	UNCUED	0	135	135	7	7	87	68	95	102	138	1117015131	1423457281	419571468	1359760592	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
4	SubfieldSwap_Catek_v1	CUED	0	225	45	1	9	127	68	95	102	138	1334528840	2089123793	1688577721	190077573	G	N	D			XR Controller	8BF1C825	54CC5C84	C06EAC7C			
5	SubfieldSwap_Catek_v1	UNCUED	0	225	180	6	4	90	68	95	102	138	156856614	153725006	1846502846	1760405618	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
6	SubfieldSwap_Catek_v1	UNCUED	0	45	45	1	9	105	68	95	102	138	1613917293	1742772332	1853225530	2022984060	R	N	Da			XR Controller	C4EFBD4D	12A26044	C06EAC7C			
7	SubfieldSwap_Catek_v1	CUED	0	45	45	1	9	85	68	95	102	138	589634535	1421267572	91473367	693418341	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
8	SubfieldSwap_Catek_v1	CUED	0	45	90	0	8	81	68	95	102	138	1746403107	490808637	1717173117	1330447106	G	N	D			XR Controller	8BF1C825	54CC5C84	C06EAC7C			
9	SubfieldSwap_Catek_v1	CUED	0	90	45	1	9	75	68	95	102	138	562795038	1496680385	1320526641	355027496	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
