Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_v2	UNCUED	1	90	-1	-1	-1	58	68	95	102	138	1254267948	99694004	623450462	743337913	G	N	Z		XR Controller	06CF5C65	BBE350AC	598C6D84			
1	DecoupledDots_005m_v2	UNCUED	1	90	-1	-1	-1	47	68	95	102	138	852601416	262119176	929499028	1112218247	R	N	Z		XR Controller	06CF5C65	97D7D86C	598C6D84			
2	DecoupledDots_005m_v2	UNCUED	1	45	-1	-1	-1	42	68	95	102	138	1664575023	688341469	1112594588	203928916	R	F	Z		XR Controller	06CF5C65	97D7D86C	C336A484			
3	DecoupledDots_005m_v2	UNCUED	0	270	-1	-1	-1	27	68	95	102	138	263330340	1134408859	193080724	1369372823	R	F	Z		XR Controller	C9F1B22D	97D7D86C	C336A484			
4	DecoupledDots_005m_v2	CUED	0	270	-1	-1	-1	36	68	95	102	138	1885013543	886606978	1455177153	406917800	G	N	N		XR Controller	B6D3C11D	BBE350AC	858D1984			
5	DecoupledDots_005m_v2	CUED	1	45	-1	-1	-1	5	68	95	102	138	1215326186	1267157753	1115915755	1246195064	G	F	C		XR Controller	8892A655	C96A68AC	9735F884			
6	DecoupledDots_005m_v2	CUED	0	225	-1	-1	-1	-1	68	95	102	138	2046373153	1249775156	1573227754	179940675	G	N	Z	ABORT	OnApplicationQuit	00000000	00000000	00000000			
