Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	NoContinuity_Peak_ColorMotionSwap_v1	UNCUED	1	135	90	0	8	92	68	95	102	138	7	77.778	1706932089	423910482	1751615803	1493249225	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
1	NoContinuity_Peak_ColorMotionSwap_v1	UNCUED	0	0	45	1	9	70	68	95	102	138	7	77.778	1240618657	915822507	1060411520	457918514	R	N	MC			XR Controller	4478E765	EAFFC16C	C06EAC7C			
2	NoContinuity_Peak_ColorMotionSwap_v1	UNCUED	0	315	315	3	3	104	68	95	102	138	7	77.778	633724290	1150149189	974517555	2053573692	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
3	NoContinuity_Peak_ColorMotionSwap_v1	CUED	0	135	90	0	8	130	68	95	102	138	7	77.778	922673748	1241523085	2092278212	742829878	R	N	MC			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
4	NoContinuity_Peak_ColorMotionSwap_v1	UNCUED	0	90	135	7	7	95	68	95	102	138	7	77.778	281756937	713987438	87920128	897424106	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
5	NoContinuity_Peak_ColorMotionSwap_v1	UNCUED	1	135	135	7	7	84	68	95	102	138	7	77.778	775908685	1802017254	990800025	532047062	G	N	MC			XR Controller	8C48272D	C96A68AC	C06EAC7C			
6	NoContinuity_Peak_ColorMotionSwap_v1	UNCUED	1	225	-1	-1	-1	-1	68	95	102	138	7	77.778	1264447420	1582164771	1983570786	1726716139	G	N	N		ABORT	OnApplicationQuit	00000000	00000000	00000000			
