Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_v2	CUED	1	135	135	7	7	89	56	78	84	114	852658339	350824360	1151260072	1451978022	R	F	C		XR Controller	CB090948	95473DAC	B7EB8364			
1	DecoupledDots_005m_v2	UNCUED	0	0	270	4	2	83	56	78	84	114	982505358	703401034	939004078	949199024	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
2	DecoupledDots_005m_v2	CUED	0	315	270	4	2	85	56	78	84	114	291955932	1926311464	390476943	1414152436	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
3	DecoupledDots_005m_v2	UNCUED	1	45	45	1	9	78	56	78	84	114	1407407381	35791299	26894336	1450957415	G	N	CZ		XR Controller	67DD8480	E283626C	81535EE4			
4	DecoupledDots_005m_v2	UNCUED	0	45	45	1	9	94	56	78	84	114	1384011328	1141220429	1182382523	1876995935	R	N	Z		XR Controller	F088AE08	BC9E36AC	81535EE4			
5	DecoupledDots_005m_v2	CUED	1	0	45	1	9	83	56	78	84	114	1527477837	705580136	1973010913	431076047	G	N	Z		XR Controller	CB090948	083E616C	81535EE4			
6	DecoupledDots_005m_v2	CUED	1	90	90	0	8	79	56	78	84	114	591772665	920946988	1691843167	1457057709	R	F	CZ		XR Controller	CB090948	95473DAC	1B981CE4			
7	DecoupledDots_005m_v2	CUED	1	45	90	0	8	108	56	78	84	114	130032657	1900818818	243151319	1150409348	R	F	CZ		XR Controller	CB090948	95473DAC	1B981CE4			
8	DecoupledDots_005m_v2	UNCUED	0	90	270	4	2	94	56	78	84	114	842880646	101484932	1563883904	1993280959	R	F	CZ		XR Controller	F088AE08	95473DAC	1B981CE4			
9	DecoupledDots_005m_v2	CUED	1	45	45	1	9	85	56	78	84	114	1235208551	1074115300	1230047850	93059799	G	N	CZ		XR Controller	CB090948	E283626C	81535EE4			
10	DecoupledDots_005m_v2	CUED	1	45	90	0	8	86	56	78	84	114	1446665220	419884894	100325570	1934339025	G	F	Z		XR Controller	CB090948	083E616C	1B981CE4			
11	DecoupledDots_005m_v2	UNCUED	0	90	90	0	8	81	56	78	84	114	406213653	589026197	1010304052	331091956	R	N	C		XR Controller	F088AE08	95473DAC	E4FFF864			
12	DecoupledDots_005m_v2	UNCUED	1	45	180	6	4	120	56	78	84	114	330151714	428044974	1333402280	1130106854	G	F	CZ		XR Controller	67DD8480	E283626C	1B981CE4			
13	DecoupledDots_005m_v2	UNCUED	1	270	90	0	8	105	56	78	84	114	1148071605	1777847128	498641027	2106813203	R	F	Z		XR Controller	67DD8480	BC9E36AC	1B981CE4			
14	DecoupledDots_005m_v2	CUED	1	225	270	4	2	78	56	78	84	114	344621801	1659417390	864747892	854305395	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
15	DecoupledDots_005m_v2	CUED	0	270	270	4	2	79	56	78	84	114	262120805	210876485	1469337055	1514924593	R	N	Z		XR Controller	6CBED730	BC9E36AC	81535EE4			
16	DecoupledDots_005m_v2	UNCUED	0	90	90	0	8	69	56	78	84	114	151728627	1670433670	1283414930	1610237635	G	N	C		XR Controller	F088AE08	E283626C	E4FFF864			
17	DecoupledDots_005m_v2	UNCUED	0	270	270	4	2	86	56	78	84	114	1036758988	735724837	346181857	269258821	R	N	CZ		XR Controller	F088AE08	95473DAC	81535EE4			
18	DecoupledDots_005m_v2	CUED	1	225	270	4	2	104	56	78	84	114	1136598316	1001558392	242969512	1264615979	R	N	Z		XR Controller	CB090948	BC9E36AC	81535EE4			
19	DecoupledDots_005m_v2	UNCUED	0	90	0	2	6	66	56	78	84	114	757478904	2126295576	1711722567	1498951985	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
20	DecoupledDots_005m_v2	UNCUED	1	135	270	4	2	79	56	78	84	114	1971687465	381217308	1448103685	1674446356	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
21	DecoupledDots_005m_v2	CUED	1	270	135	7	7	112	56	78	84	114	1722227650	1727355603	1091014795	1177597590	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
22	DecoupledDots_005m_v2	CUED	0	0	45	1	9	68	56	78	84	114	423263230	1574924416	18533883	886207300	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
23	DecoupledDots_005m_v2	CUED	1	270	270	4	2	75	56	78	84	114	682940367	1646720199	514461688	169750107	R	F	C		XR Controller	CB090948	95473DAC	B7EB8364			
24	DecoupledDots_005m_v2	CUED	0	180	90	0	8	90	56	78	84	114	1335696700	591144184	877891948	1143918915	R	F	CZ		XR Controller	6CBED730	95473DAC	1B981CE4			
25	DecoupledDots_005m_v2	CUED	0	0	45	1	9	63	56	78	84	114	2023861867	630355023	1168993434	638398200	G	N	CZ		XR Controller	6CBED730	E283626C	81535EE4			
26	DecoupledDots_005m_v2	UNCUED	0	315	225	5	1	72	56	78	84	114	1960736996	695313400	824598022	188988925	G	F	Z		XR Controller	F088AE08	083E616C	1B981CE4			
27	DecoupledDots_005m_v2	CUED	1	225	225	5	1	81	56	78	84	114	868787285	719197290	192352584	1745499465	R	N	CZ		XR Controller	CB090948	95473DAC	81535EE4			
28	DecoupledDots_005m_v2	CUED	0	90	90	0	8	106	56	78	84	114	1613926521	1618409887	1530412479	1934652086	G	N	CZ		XR Controller	6CBED730	E283626C	81535EE4			
29	DecoupledDots_005m_v2	CUED	1	45	0	2	6	75	56	78	84	114	1377381252	47433006	1239905840	50167441	R	N	CZ		XR Controller	CB090948	95473DAC	81535EE4			
