Trial	Cond	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	225	225	5	1	138	56	78	100	130	1453091368	713084591	1398534559	1785427305	R	Return	Keyboard	1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2	G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R
1	CUED	0	0	2	6	104	56	78	100	130	1145102367	451116175	1051398139	1627270377	R	Return	Keyboard	2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|3|4;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1	G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R
2	CUED	0	225	5	1	97	56	78	100	130	1673116976	1631631590	589404003	336393162	R	Return	Keyboard	1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2	G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R
3	UNCUED	315	315	3	3	121	56	78	100	130	491978860	214362137	1460269906	1472422432	R	Return	Keyboard	2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1	G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|K|K;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R;G|G|R|R
4	UNCUED	135	90	0	8	110	56	78	100	130	954677891	219884705	1562196221	1589337111	G	Return	Keyboard	2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;3|4|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1;2|2|1|1	R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G
5	UNCUED	135	-1	-1	-1	-1	56	78	100	130	753497734	762719639	395509094	939909451	R	ABORT	OnApplicationQuit		
