Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DecoupledDots_005m_v2	UNCUED	1	225	225	5	1	179	56	78	84	114	1675755692	1204541456	811644580	2062630805	G	N	CZ		XR Controller	67DD8480	E283626C	81535EE4			
1	DecoupledDots_005m_v2	CUED	1	315	315	3	3	100	56	78	84	114	2012209251	918414566	408928693	1004315360	R	F	CZ		XR Controller	CB090948	95473DAC	1B981CE4			
2	DecoupledDots_005m_v2	CUED	1	90	90	0	8	93	56	78	84	114	619150104	1970480112	1030810535	417338705	R	F	CZ		XR Controller	CB090948	95473DAC	1B981CE4			
3	DecoupledDots_005m_v2	CUED	0	45	90	0	8	89	56	78	84	114	119406913	717752949	248250624	1193503188	R	F	CZ		XR Controller	6CBED730	95473DAC	1B981CE4			
4	DecoupledDots_005m_v2	CUED	1	315	315	3	3	87	56	78	84	114	479311469	188444169	411119712	1019968141	G	F	C		XR Controller	CB090948	E283626C	B7EB8364			
5	DecoupledDots_005m_v2	CUED	1	90	90	0	8	91	56	78	84	114	1362388129	958695879	1544056300	1092098105	R	F	C		XR Controller	CB090948	95473DAC	B7EB8364			
6	DecoupledDots_005m_v2	CUED	0	45	45	1	9	100	56	78	84	114	1174715031	1915917075	17135114	1349465434	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
7	DecoupledDots_005m_v2	CUED	1	135	135	7	7	162	56	78	84	114	1358397562	1255058515	2005124904	1439538881	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
8	DecoupledDots_005m_v2	CUED	1	90	90	0	8	91	56	78	84	114	1857085009	472296928	1830631946	758320833	R	N	CZ		XR Controller	CB090948	95473DAC	81535EE4			
9	DecoupledDots_005m_v2	UNCUED	1	315	0	2	6	105	56	78	84	114	1765557755	560062916	1127028967	1697349387	G	N	Z		XR Controller	67DD8480	083E616C	81535EE4			
10	DecoupledDots_005m_v2	UNCUED	1	225	180	6	4	144	56	78	84	114	1524671959	1121816093	1462158840	163757391	R	N	Z		XR Controller	67DD8480	BC9E36AC	81535EE4			
11	DecoupledDots_005m_v2	UNCUED	0	135	270	4	2	93	56	78	84	114	720048025	1882733192	1854125503	546679556	G	F	CZ		XR Controller	F088AE08	E283626C	1B981CE4			
12	DecoupledDots_005m_v2	UNCUED	1	135	315	3	3	87	56	78	84	114	184380262	2127764366	84236071	1340947510	G	F	CZ		XR Controller	67DD8480	E283626C	1B981CE4			
13	DecoupledDots_005m_v2	CUED	1	45	90	0	8	93	56	78	84	114	1329286706	500058653	1580614278	348627998	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
14	DecoupledDots_005m_v2	CUED	0	90	90	0	8	70	56	78	84	114	1495052791	2132748895	2085306193	2065342429	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
15	DecoupledDots_005m_v2	CUED	0	315	315	3	3	100	56	78	84	114	483277808	1430637862	382873781	1525900323	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
16	DecoupledDots_005m_v2	UNCUED	0	135	135	7	7	95	56	78	84	114	550948802	103679623	1052840213	110126184	R	F	Z		XR Controller	F088AE08	BC9E36AC	1B981CE4			
17	DecoupledDots_005m_v2	UNCUED	1	270	180	6	4	109	56	78	84	114	65134002	1864328788	837002023	299584702	G	F	Z		XR Controller	67DD8480	083E616C	1B981CE4			
18	DecoupledDots_005m_v2	CUED	1	270	225	5	1	269	56	78	84	114	483014886	604702897	746831035	490027946	R	N	CZ		XR Controller	CB090948	95473DAC	81535EE4			
19	DecoupledDots_005m_v2	UNCUED	1	315	90	0	8	92	56	78	84	114	1803902374	1887374529	731694363	1042623018	G	N	C		XR Controller	67DD8480	E283626C	E4FFF864			
20	DecoupledDots_005m_v2	UNCUED	1	225	315	3	3	114	56	78	84	114	1012896699	527235847	760207011	2100928053	R	F	Z		XR Controller	67DD8480	BC9E36AC	1B981CE4			
21	DecoupledDots_005m_v2	CUED	0	315	270	4	2	90	56	78	84	114	1613599181	475058068	1702282773	1733765604	R	N	C		XR Controller	6CBED730	95473DAC	E4FFF864			
22	DecoupledDots_005m_v2	UNCUED	0	45	225	5	1	99	56	78	84	114	1612780847	79987346	746599485	986036562	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
23	DecoupledDots_005m_v2	UNCUED	1	315	90	0	8	82	56	78	84	114	733016205	1451066546	125153323	220398171	R	F	CZ		XR Controller	67DD8480	95473DAC	1B981CE4			
24	DecoupledDots_005m_v2	UNCUED	1	180	180	6	4	98	56	78	84	114	515707181	227050099	590906790	196104312	G	N	C		XR Controller	67DD8480	E283626C	E4FFF864			
