Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_CatekExact_v1	CUED	0	90	90	0	8	108	68	95	102	138	254967687	587048873	1091845762	1236189633	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
1	SubfieldSwap_CatekExact_v1	CUED	1	270	90	0	8	73	68	95	102	138	1675047556	659338569	1338974931	1637219382	R	N	Db			XR Controller	8C48272D	EAFFC16C	C06EAC7C			
2	SubfieldSwap_CatekExact_v1	CUED	0	315	315	3	3	103	68	95	102	138	1777937446	940019676	1921690649	1527317541	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
3	SubfieldSwap_CatekExact_v1	CUED	1	90	90	0	8	88	68	95	102	138	1424891101	1694722134	1189001516	1727855183	R	N	N			XR Controller	8892A655	97D7D86C	C06EAC7C			
4	SubfieldSwap_CatekExact_v1	UNCUED	1	90	90	0	8	67	68	95	102	138	858607453	2091958777	501835965	2027645726	G	N	D			XR Controller	BE1933F5	54CC5C84	C06EAC7C			
5	SubfieldSwap_CatekExact_v1	UNCUED	1	270	270	4	2	83	68	95	102	138	605220013	1185294798	1534704219	979976630	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
6	SubfieldSwap_CatekExact_v1	CUED	0	315	270	4	2	99	68	95	102	138	1863158123	1165729369	1803676409	1631333847	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
7	SubfieldSwap_CatekExact_v1	UNCUED	1	225	225	5	1	89	68	95	102	138	46731909	1117852081	458341321	1811733324	R	N	Da			XR Controller	4E483D25	12A26044	C06EAC7C			
8	SubfieldSwap_CatekExact_v1	CUED	1	315	315	3	3	108	68	95	102	138	592790391	1469636214	882638160	1506245079	R	N	N			XR Controller	8892A655	97D7D86C	C06EAC7C			
9	SubfieldSwap_CatekExact_v1	CUED	0	90	90	0	8	75	68	95	102	138	1061729991	1587908035	1391803337	54931355	R	N	Da			XR Controller	FBC2BEF5	12A26044	C06EAC7C			
10	SubfieldSwap_CatekExact_v1	CUED	1	135	135	7	7	75	68	95	102	138	1461352900	1858182509	362527202	32362328	G	N	D			XR Controller	8746324D	54CC5C84	C06EAC7C			
11	SubfieldSwap_CatekExact_v1	UNCUED	1	180	135	7	7	78	68	95	102	138	233467374	990769836	2060421553	1901597722	R	N	N			XR Controller	06CF5C65	97D7D86C	C06EAC7C			
12	SubfieldSwap_CatekExact_v1	UNCUED	0	45	45	1	9	79	68	95	102	138	657323596	326288273	474912430	355721511	R	N	Db			XR Controller	C63C3155	EAFFC16C	C06EAC7C			
13	SubfieldSwap_CatekExact_v1	UNCUED	0	270	270	4	2	72	68	95	102	138	1270342774	1038014852	2014569429	571808054	R	N	Da			XR Controller	C4EFBD4D	12A26044	C06EAC7C			
14	SubfieldSwap_CatekExact_v1	UNCUED	0	135	225	5	1	74	68	95	102	138	1475966674	328220460	1134585255	1284859566	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
15	SubfieldSwap_CatekExact_v1	CUED	0	225	225	5	1	78	68	95	102	138	1072781243	577635390	2122327726	186982807	R	N	D			XR Controller	8BF1C825	0CCFD9A4	C06EAC7C			
16	SubfieldSwap_CatekExact_v1	UNCUED	1	45	45	1	9	94	68	95	102	138	1508177766	1723750319	398819787	99235210	G	N	Db			XR Controller	792A361D	C96A68AC	C06EAC7C			
17	SubfieldSwap_CatekExact_v1	UNCUED	1	135	135	7	7	85	68	95	102	138	1187227010	1976068471	1754016207	1243479145	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
18	SubfieldSwap_CatekExact_v1	UNCUED	1	180	135	7	7	95	68	95	102	138	1022396886	896415729	1786287004	153095312	G	N	Da			XR Controller	4E483D25	52D3C1E4	C06EAC7C			
19	SubfieldSwap_CatekExact_v1	UNCUED	1	315	0	2	6	80	68	95	102	138	2093717623	1126748151	1649040251	1676870201	G	N	D			XR Controller	BE1933F5	54CC5C84	C06EAC7C			
20	SubfieldSwap_CatekExact_v1	CUED	1	90	90	0	8	75	68	95	102	138	1539000921	461908827	310594887	821071278	R	N	D			XR Controller	8746324D	0CCFD9A4	C06EAC7C			
21	SubfieldSwap_CatekExact_v1	CUED	1	0	0	2	6	72	68	95	102	138	1154732628	1523482655	1019968133	1908799084	R	N	Db			XR Controller	8C48272D	EAFFC16C	C06EAC7C			
22	SubfieldSwap_CatekExact_v1	UNCUED	0	90	90	0	8	69	68	95	102	138	20078684	210324183	1100861384	672558009	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
23	SubfieldSwap_CatekExact_v1	UNCUED	0	90	90	0	8	70	68	95	102	138	2064975148	1247174468	196832738	1760980239	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
24	SubfieldSwap_CatekExact_v1	CUED	0	135	90	0	8	75	68	95	102	138	1523378654	1074021818	869952790	1763797064	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
25	SubfieldSwap_CatekExact_v1	UNCUED	0	135	135	7	7	143	68	95	102	138	444873525	2049346755	654866234	1441314942	G	N	D			XR Controller	DF27312D	54CC5C84	C06EAC7C			
26	SubfieldSwap_CatekExact_v1	CUED	1	135	-1	-1	-1	-1	68	95	102	138	1455156375	1083378553	302444164	1420108861	G	N	Db		ABORT	OnApplicationQuit	00000000	00000000	00000000			
