Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_CatekExact_NDb_v1	UNCUED	1	225	45	1	9	78	68	95	102	138	71471580	1735109853	1948087800	502075166	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
1	SubfieldSwap_CatekExact_NDb_v1	CUED	1	315	315	3	3	93	68	95	102	138	1183916342	1579613877	1155834453	745869190	R	N	N			XR Controller	8892A655	97D7D86C	C06EAC7C			
2	SubfieldSwap_CatekExact_NDb_v1	CUED	0	180	180	6	4	78	68	95	102	138	1312953999	1746432570	646925707	1846318918	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
3	SubfieldSwap_CatekExact_NDb_v1	UNCUED	1	315	315	3	3	90	68	95	102	138	2082714144	1602269994	697560070	225988859	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
4	SubfieldSwap_CatekExact_NDb_v1	UNCUED	0	90	90	0	8	82	68	95	102	138	1466938537	553368258	562301644	749110617	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
5	SubfieldSwap_CatekExact_NDb_v1	CUED	0	135	90	0	8	140	68	95	102	138	538072810	509551793	1530543854	1383564694	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
6	SubfieldSwap_CatekExact_NDb_v1	CUED	0	0	90	0	8	80	68	95	102	138	1644918257	1832110117	1248127987	1791984700	R	N	Db			XR Controller	4478E765	EAFFC16C	C06EAC7C			
7	SubfieldSwap_CatekExact_NDb_v1	CUED	0	90	90	0	8	68	68	95	102	138	1171518268	495957464	1894726480	450323504	R	N	N			XR Controller	B6D3C11D	97D7D86C	C06EAC7C			
8	SubfieldSwap_CatekExact_NDb_v1	CUED	0	0	90	0	8	83	68	95	102	138	2093700296	1119166963	1863487949	936172003	G	N	N			XR Controller	B6D3C11D	BBE350AC	C06EAC7C			
9	SubfieldSwap_CatekExact_NDb_v1	CUED	1	315	135	7	7	118	68	95	102	138	2122919586	1857739956	1676461920	1515851484	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
10	SubfieldSwap_CatekExact_NDb_v1	UNCUED	0	225	225	5	1	80	68	95	102	138	1975254287	1633252507	1812360180	1263902507	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
11	SubfieldSwap_CatekExact_NDb_v1	CUED	1	180	225	5	1	82	68	95	102	138	45112670	107139965	1822759813	995263127	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
12	SubfieldSwap_CatekExact_NDb_v1	UNCUED	0	0	45	1	9	71	68	95	102	138	821622205	16644293	1965692811	699666633	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
13	SubfieldSwap_CatekExact_NDb_v1	UNCUED	1	0	180	6	4	85	68	95	102	138	639241061	81963069	1206923471	861659966	R	N	Db			XR Controller	792A361D	EAFFC16C	C06EAC7C			
14	SubfieldSwap_CatekExact_NDb_v1	UNCUED	1	90	180	6	4	79	68	95	102	138	419004844	341342832	765561254	153500284	R	N	N			XR Controller	06CF5C65	97D7D86C	C06EAC7C			
15	SubfieldSwap_CatekExact_NDb_v1	CUED	1	90	135	7	7	84	68	95	102	138	1682800219	1526518513	443872437	539573223	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
16	SubfieldSwap_CatekExact_NDb_v1	UNCUED	0	135	135	7	7	185	68	95	102	138	2002488448	45284283	835299414	759511129	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
17	SubfieldSwap_CatekExact_NDb_v1	CUED	0	225	90	0	8	134	68	95	102	138	1207742474	661381654	360757002	1722057504	R	N	Db			XR Controller	4478E765	EAFFC16C	C06EAC7C			
18	SubfieldSwap_CatekExact_NDb_v1	UNCUED	0	225	270	4	2	81	68	95	102	138	1281491480	1066888715	1004626870	1333567845	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
19	SubfieldSwap_CatekExact_NDb_v1	CUED	1	135	90	0	8	70	68	95	102	138	747969110	1560919025	1039996044	1037293791	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
20	SubfieldSwap_CatekExact_NDb_v1	CUED	0	45	45	1	9	70	68	95	102	138	925587158	729514805	1150499347	91223677	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
21	SubfieldSwap_CatekExact_NDb_v1	CUED	1	135	135	7	7	72	68	95	102	138	929867037	707394516	1043076611	1775650319	G	N	Db			XR Controller	8C48272D	C96A68AC	C06EAC7C			
22	SubfieldSwap_CatekExact_NDb_v1	UNCUED	0	135	90	0	8	63	68	95	102	138	450372206	1595070834	920961726	1085007490	R	N	N			XR Controller	C9F1B22D	97D7D86C	C06EAC7C			
23	SubfieldSwap_CatekExact_NDb_v1	UNCUED	1	0	270	4	2	62	68	95	102	138	348662210	99625884	1666234914	599967549	R	N	N			XR Controller	06CF5C65	97D7D86C	C06EAC7C			
