Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	225	5	1	99	56	78	89	119	1453091368	713084591	1398534559	1785427305	R		XR Controller	646B9A5E	7C15119B		
1	CUED	1	0	0	2	6	71	56	78	89	119	1145102367	451116175	1051398139	1627270377	R		XR Controller	DDDA857E	7C15119B		
2	CUED	0	0	45	1	9	66	56	78	89	119	1673116976	1631631590	589404003	336393162	R		XR Controller	646B9A5E	7C15119B		
3	UNCUED	1	315	270	4	2	68	56	78	89	119	491978860	214362137	1460269906	1472422432	R		XR Controller	EDDDAB16	7C15119B		
4	UNCUED	1	135	-1	-1	-1	-1	56	78	89	119	954677891	219884705	1562196221	1589337111	G	ABORT	OnApplicationQuit	00000000	00000000		
