Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
118	Dots50Swap	UNCUED	0	270	225	5	1	100	56	78	84	114	59278594	820903548	1390685619	1674081140	R	D		XR Controller	1CE20318	D797592C		
119	Dots50Swap	CUED	1	90	90	0	8	86	56	78	84	114	271008006	1393945826	1790962295	457997076	R	D		XR Controller	7BBB5D28	D797592C		
120	Dots50Swap	UNCUED	1	0	180	6	4	178	56	78	84	114	1198615699	321161845	302016245	1933245526	R	D		XR Controller	E039A330	D797592C		
121	Dots50Swap	CUED	1	180	180	6	4	83	56	78	84	114	187146767	651259514	1443619087	383793573	G	D		XR Controller	7BBB5D28	03DC50EC		
122	Dots50Swap	CUED	0	315	270	4	2	92	56	78	84	114	642413566	1487935543	1544369263	708861475	R	D		XR Controller	CEA60E30	D797592C		
123	Dots50Swap	UNCUED	1	315	270	4	2	101	56	78	84	114	1297082400	15916371	432669655	1593789357	R	N		XR Controller	67DD8480	BC9E36AC		
124	Dots50Swap	UNCUED	0	180	180	6	4	90	56	78	84	114	1610651846	958778047	1978904593	1548125258	G	D		XR Controller	1CE20318	03DC50EC		
125	Dots50Swap	UNCUED	0	0	0	2	6	82	56	78	84	114	653315796	1113633522	1221020410	293263426	G	D		XR Controller	1CE20318	03DC50EC		
126	Dots50Swap	UNCUED	0	180	270	4	2	120	56	78	84	114	208184499	721312888	1947524690	1960283707	R	D		XR Controller	1CE20318	D797592C		
127	Dots50Swap	UNCUED	0	0	0	2	6	78	56	78	84	114	2122992778	1595073139	1932351476	1590397915	G	N		XR Controller	F088AE08	083E616C		
81	Dots50Swap	UNCUED	0	270	270	4	2	79	56	78	84	114	797496648	1801244902	1826105125	1831956641	R	N		XR Controller	F088AE08	BC9E36AC		
