Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	MotionSwap	CUED	0	45	45	1	9	532	56	78	84	114	2006835194	850499356	1004017328	214274368	G	N		XR Controller	6CBED730	083E616C		
1	MotionSwap	CUED	1	315	315	3	3	355	56	78	84	114	703599740	790661797	1145390162	335156500	G	M		XR Controller	3626B2B0	083E616C		
2	MotionSwap	UNCUED	1	45	225	5	1	370	56	78	84	114	745033745	833521862	1778794549	1090987504	G	N		XR Controller	67DD8480	083E616C		
3	MotionSwap	CUED	0	180	45	1	9	150	56	78	84	114	1126290590	1130047458	971362387	1876887154	G	M		XR Controller	01A12DC8	083E616C		
4	MotionSwap	UNCUED	1	90	0	2	6	193	56	78	84	114	1458263133	2024031677	44546249	1042193189	R	N		XR Controller	67DD8480	BC9E36AC		
5	MotionSwap	UNCUED	0	0	0	2	6	128	56	78	84	114	928699696	930568035	1532199839	1095491229	G	N		XR Controller	F088AE08	083E616C		
6	MotionSwap	UNCUED	1	315	135	7	7	232	56	78	84	114	1913002302	1113458474	1619873786	566302869	R	N		XR Controller	67DD8480	BC9E36AC		
7	MotionSwap	CUED	0	180	180	6	4	171	56	78	84	114	1531070061	897144942	1131642458	1522737070	R	N		XR Controller	6CBED730	BC9E36AC		
8	MotionSwap	CUED	1	90	270	4	2	138	56	78	84	114	798832122	2001272136	93796455	2102596497	G	M		XR Controller	3626B2B0	083E616C		
9	MotionSwap	CUED	1	270	270	4	2	143	56	78	84	114	1066439819	1980351427	1146003810	482062581	R	N		XR Controller	CB090948	BC9E36AC		
10	MotionSwap	UNCUED	0	225	225	5	1	105	56	78	84	114	1076293887	1951274300	1531936499	1727625098	G	N		XR Controller	F088AE08	083E616C		
11	MotionSwap	UNCUED	1	225	45	1	9	124	56	78	84	114	764929386	1178304101	1256337315	1735601500	R	M		XR Controller	B9F08988	BC9E36AC		
12	MotionSwap	UNCUED	0	180	90	0	8	137	56	78	84	114	1667055434	1650512628	2055791858	2022231092	R	M		XR Controller	9E75A900	BC9E36AC		
13	MotionSwap	UNCUED	0	225	225	5	1	111	56	78	84	114	160419713	154655475	1945450821	25577683	G	M		XR Controller	9E75A900	083E616C		
14	MotionSwap	UNCUED	0	180	45	1	9	171	56	78	84	114	722427333	1855978171	640792459	2041026737	G	M		XR Controller	9E75A900	083E616C		
15	MotionSwap	UNCUED	0	90	90	0	8	94	56	78	84	114	1258287748	964441240	1458378338	98475049	R	M		XR Controller	9E75A900	BC9E36AC		
16	MotionSwap	CUED	0	45	90	0	8	101	56	78	84	114	644904771	103838653	572529996	584429427	R	N		XR Controller	6CBED730	BC9E36AC		
17	MotionSwap	CUED	1	225	225	5	1	107	56	78	84	114	1948950493	1872827267	1690312623	2132710221	R	N		XR Controller	CB090948	BC9E36AC		
18	MotionSwap	UNCUED	0	135	135	7	7	93	56	78	84	114	524216816	1686219399	356976243	541517268	G	N		XR Controller	F088AE08	083E616C		
19	MotionSwap	CUED	1	315	315	3	3	209	56	78	84	114	11754847	385689801	1700861778	992499302	R	N		XR Controller	CB090948	BC9E36AC		
20	MotionSwap	UNCUED	1	180	270	4	2	96	56	78	84	114	1867253531	698617606	582199685	1500609872	R	N		XR Controller	67DD8480	BC9E36AC		
21	MotionSwap	UNCUED	0	0	0	2	6	141	56	78	84	114	71343854	1258491835	1765483941	1044001547	G	M		XR Controller	9E75A900	083E616C		
22	MotionSwap	CUED	0	90	90	0	8	109	56	78	84	114	492050299	1624866516	852257792	348432608	R	M		XR Controller	01A12DC8	BC9E36AC		
23	MotionSwap	CUED	0	0	0	2	6	94	56	78	84	114	1228405458	1648404994	1113330835	1054529163	G	N		XR Controller	6CBED730	083E616C		
24	MotionSwap	CUED	1	45	45	1	9	95	56	78	84	114	2001837244	262900088	361433877	673375088	G	N		XR Controller	CB090948	083E616C		
25	MotionSwap	UNCUED	0	315	135	7	7	115	56	78	84	114	728999126	524374527	1760767454	1353110293	R	M		XR Controller	9E75A900	BC9E36AC		
26	MotionSwap	UNCUED	1	270	270	4	2	99	56	78	84	114	115727714	279676495	1594199954	552696004	R	N		XR Controller	67DD8480	BC9E36AC		
27	MotionSwap	CUED	0	0	180	6	4	100	56	78	84	114	1448474203	1197938754	1946199707	1838775570	G	M		XR Controller	01A12DC8	083E616C		
28	MotionSwap	UNCUED	0	45	45	1	9	87	56	78	84	114	1088025951	508570741	857380748	1228670459	G	N		XR Controller	F088AE08	083E616C		
