Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	45	1	9	219	56	78	86	116	1453091368	713084591	1398534559	1785427305	R		XR Controller	BD6B963C	CA90A91C		
1	CUED	1	0	0	2	6	78	56	78	86	116	1145102367	451116175	1051398139	1627270377	R		XR Controller	F4565E9C	CA90A91C		
2	CUED	0	0	45	1	9	63	56	78	86	116	1673116976	1631631590	589404003	336393162	R		XR Controller	BD6B963C	CA90A91C		
3	UNCUED	1	315	45	1	9	54	56	78	86	116	491978860	214362137	1460269906	1472422432	R		XR Controller	726323BC	CA90A91C		
4	UNCUED	1	135	135	7	7	69	56	78	86	116	954677891	219884705	1562196221	1589337111	G		XR Controller	726323BC	A1F9E31C		
5	UNCUED	1	135	270	4	2	78	56	78	86	116	753497734	762719639	395509094	939909451	R		XR Controller	726323BC	CA90A91C		
6	CUED	1	135	-1	-1	-1	-1	56	78	86	116	1216160735	1484768910	974225429	168144349	G	ABORT	OnApplicationQuit	00000000	00000000		
