Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	180	90	0	8	80	56	78	84	114	1730167728	1816882654	1549719462	213167771	R		XR Controller	6CBED730	BC9E36AC		
1	CUED	0	135	135	7	7	143	56	78	84	114	106274770	55272312	244181250	928963406	G		XR Controller	6CBED730	083E616C		
2	CUED	0	270	90	0	8	75	56	78	84	114	1015990719	1888757664	1626293823	1761663166	G		XR Controller	6CBED730	083E616C		
3	CUED	1	315	315	3	3	115	56	78	84	114	569621742	133254075	1653275800	1345337245	R		XR Controller	CB090948	BC9E36AC		
4	UNCUED	0	315	135	7	7	116	56	78	84	114	375478169	1842917237	179606840	1771086557	R		XR Controller	F088AE08	BC9E36AC		
5	CUED	1	270	270	4	2	78	56	78	84	114	1690316039	283627615	1421615398	1226852006	R		XR Controller	CB090948	BC9E36AC		
6	UNCUED	0	135	135	7	7	85	56	78	84	114	268479414	1249157405	1481473141	2011181030	R		XR Controller	F088AE08	BC9E36AC		
7	CUED	0	0	0	2	6	76	56	78	84	114	1732293958	1814887027	1004187232	614118656	R		XR Controller	6CBED730	BC9E36AC		
8	CUED	1	90	90	0	8	62	56	78	84	114	320687885	418226534	2101925435	15936874	G		XR Controller	CB090948	083E616C		
9	UNCUED	1	45	45	1	9	76	56	78	84	114	235481864	280956578	142571011	344029286	G		XR Controller	67DD8480	083E616C		
10	CUED	0	45	90	0	8	55	56	78	84	114	186944308	803330552	459002974	209701109	G		XR Controller	6CBED730	083E616C		
11	CUED	0	180	45	1	9	62	56	78	84	114	537126698	1103428379	1419293447	214794489	G		XR Controller	6CBED730	083E616C		
12	UNCUED	1	0	270	4	2	72	56	78	84	114	1657228329	852614235	238447697	339094551	R		XR Controller	67DD8480	BC9E36AC		
13	CUED	0	315	270	4	2	62	56	78	84	114	2069143463	2134106775	102442002	1984174567	G		XR Controller	6CBED730	083E616C		
14	CUED	0	225	225	5	1	67	56	78	84	114	1716932405	1136038505	466793754	1928763736	R		XR Controller	6CBED730	BC9E36AC		
15	UNCUED	0	225	45	1	9	108	56	78	84	114	946967084	278873628	312759975	291022244	G		XR Controller	F088AE08	083E616C		
16	UNCUED	1	135	270	4	2	70	56	78	84	114	1303540857	2084134340	1740176524	1376271751	G		XR Controller	67DD8480	083E616C		
17	CUED	1	0	0	2	6	62	56	78	84	114	1846308438	387213439	1022934689	873973514	R		XR Controller	CB090948	BC9E36AC		
18	UNCUED	0	90	90	0	8	57	56	78	84	114	840450260	498982913	2088793378	1667748553	G		XR Controller	F088AE08	083E616C		
19	CUED	0	225	270	4	2	65	56	78	84	114	622722166	1893476808	1247260912	1416465387	G		XR Controller	6CBED730	083E616C		
20	CUED	1	270	225	5	1	73	56	78	84	114	1551690726	303257223	1475408996	2023908746	G		XR Controller	CB090948	083E616C		
21	CUED	1	225	270	4	2	65	56	78	84	114	707375618	1339273100	1631819871	73006694	R		XR Controller	CB090948	BC9E36AC		
22	CUED	1	90	90	0	8	61	56	78	84	114	1263775897	246020281	1349776142	1127027667	R		XR Controller	CB090948	BC9E36AC		
23	CUED	1	0	45	1	9	91	56	78	84	114	1164724639	657879557	1943648656	139302617	G		XR Controller	CB090948	083E616C		
24	UNCUED	1	225	225	5	1	140	56	78	84	114	44726802	1713847029	364207696	64065274	G		XR Controller	67DD8480	083E616C		
25	UNCUED	0	0	45	1	9	71	56	78	84	114	804775098	1923226553	1610290610	976426083	R		XR Controller	F088AE08	BC9E36AC		
26	CUED	1	45	0	2	6	70	56	78	84	114	106120943	1671374193	1151975379	1184401652	R		XR Controller	CB090948	BC9E36AC		
27	CUED	0	90	90	0	8	57	56	78	84	114	1471737699	951556868	120752859	840220277	R		XR Controller	6CBED730	BC9E36AC		
28	UNCUED	1	0	315	3	3	64	56	78	84	114	471861410	20408906	2012258308	404118395	G		XR Controller	67DD8480	083E616C		
29	CUED	1	135	90	0	8	52	56	78	84	114	1544292815	388453570	1915386864	725164168	G		XR Controller	CB090948	083E616C		
30	UNCUED	1	270	90	0	8	57	56	78	84	114	598630153	633047833	2075530720	1232430759	G		XR Controller	67DD8480	083E616C		
31	UNCUED	0	0	0	2	6	62	56	78	84	114	2082599015	1385207993	819387337	1975658388	G		XR Controller	F088AE08	083E616C		
32	UNCUED	1	315	90	0	8	125	56	78	84	114	1729142083	276038093	1643989800	167153185	R		XR Controller	67DD8480	BC9E36AC		
33	UNCUED	0	180	90	0	8	55	56	78	84	114	710043224	2041902058	567060337	535719282	R		XR Controller	F088AE08	BC9E36AC		
34	CUED	0	135	180	6	4	62	56	78	84	114	717607898	962125839	498422104	1058536197	R		XR Controller	6CBED730	BC9E36AC		
35	UNCUED	0	225	90	0	8	80	56	78	84	114	195339509	1679937947	614257230	1133808106	R		XR Controller	F088AE08	BC9E36AC		
36	CUED	1	180	180	6	4	49	56	78	84	114	1784404446	1026906411	651065233	2088407674	R		XR Controller	CB090948	BC9E36AC		
37	CUED	0	45	45	1	9	61	56	78	84	114	425993290	1510654932	645846892	1914841130	R		XR Controller	6CBED730	BC9E36AC		
38	UNCUED	1	180	0	2	6	68	56	78	84	114	1062851022	1884616930	743318505	758822521	G		XR Controller	67DD8480	083E616C		
39	CUED	1	225	90	0	8	52	56	78	84	114	1850684735	298931176	222131313	875322327	G		XR Controller	CB090948	083E616C		
40	UNCUED	1	135	0	2	6	55	56	78	84	114	969564042	1118796674	454256111	374946349	R		XR Controller	67DD8480	BC9E36AC		
41	UNCUED	1	180	0	2	6	56	56	78	84	114	1814085041	1794752536	1029865464	411364813	R		XR Controller	67DD8480	BC9E36AC		
