Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	225	5	1	155	56	78	89	119	1453091368	713084591	1398534559	1785427305	R		XR Controller	646B9A5E	7C15119B		
1	CUED	1	0	0	2	6	119	56	78	89	119	1145102367	451116175	1051398139	1627270377	R		XR Controller	DDDA857E	7C15119B		
2	CUED	0	0	0	2	6	67	56	78	89	119	1673116976	1631631590	589404003	336393162	R		XR Controller	646B9A5E	7C15119B		
3	UNCUED	1	315	90	0	8	72	56	78	89	119	491978860	214362137	1460269906	1472422432	R		XR Controller	EDDDAB16	7C15119B		
4	UNCUED	1	135	90	0	8	123	56	78	89	119	954677891	219884705	1562196221	1589337111	G		XR Controller	EDDDAB16	41878FDB		
5	UNCUED	1	135	270	4	2	68	56	78	89	119	753497734	762719639	395509094	939909451	R		XR Controller	EDDDAB16	7C15119B		
6	CUED	1	135	135	7	7	56	56	78	89	119	1216160735	1484768910	974225429	168144349	G		XR Controller	DDDA857E	41878FDB		
7	CUED	0	90	90	0	8	48	56	78	89	119	592812233	758049174	104074046	962366435	R		XR Controller	646B9A5E	7C15119B		
8	UNCUED	1	45	45	1	9	147	56	78	89	119	490407465	644549369	119994550	216964180	R		XR Controller	EDDDAB16	7C15119B		
9	CUED	1	45	45	1	9	51	56	78	89	119	2140287026	976958018	1812654606	1768420827	G		XR Controller	DDDA857E	41878FDB		
10	UNCUED	0	270	270	4	2	53	56	78	89	119	371253923	1735327289	760532638	364837998	R		XR Controller	695E8B56	7C15119B		
11	UNCUED	1	270	225	5	1	143	56	78	89	119	1348707853	500088764	1321107041	1869049313	R		XR Controller	EDDDAB16	7C15119B		
12	CUED	1	225	225	5	1	63	56	78	89	119	1063327331	1596162942	718265741	1920228240	G		XR Controller	DDDA857E	41878FDB		
13	CUED	0	45	45	1	9	51	56	78	89	119	856135425	942181323	1121030	1990346671	G		XR Controller	646B9A5E	41878FDB		
14	CUED	1	90	90	0	8	47	56	78	89	119	99325771	1715724647	793098877	115991219	G		XR Controller	DDDA857E	41878FDB		
15	UNCUED	1	180	0	2	6	67	56	78	89	119	602411856	2076489023	141366150	2070673484	R		XR Controller	EDDDAB16	7C15119B		
16	CUED	0	315	315	3	3	73	56	78	89	119	86234351	1336281771	527394566	318292775	G		XR Controller	646B9A5E	41878FDB		
17	CUED	1	90	90	0	8	68	56	78	89	119	1257513503	1841877354	1185946380	1748787360	R		XR Controller	DDDA857E	7C15119B		
18	UNCUED	1	180	180	6	4	69	56	78	89	119	1185492491	1265116570	2141387704	342739221	G		XR Controller	EDDDAB16	41878FDB		
19	CUED	0	90	90	0	8	109	56	78	89	119	1606881366	713364105	641293624	1934426476	G		XR Controller	646B9A5E	41878FDB		
20	CUED	0	225	45	1	9	77	56	78	89	119	1788233430	467652441	734107050	570155821	G		XR Controller	646B9A5E	41878FDB		
21	UNCUED	0	0	135	7	7	117	56	78	89	119	1390683338	440007976	294089793	885916559	R		XR Controller	695E8B56	7C15119B		
22	CUED	1	180	180	6	4	52	56	78	89	119	1903718590	399817317	1891020900	1118115388	G		XR Controller	DDDA857E	41878FDB		
23	CUED	1	315	315	3	3	60	56	78	89	119	696353909	464302323	960691014	1503147273	R		XR Controller	DDDA857E	7C15119B		
