Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthCheck_DelayedNear	UNCUED	1	180	45	1	9	333	56	78	84	114	678602262	1246734399	1568253795	140420252	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
1	DepthCheck_DelayedNear	UNCUED	1	315	-1	-1	-1	54	56	78	84	114	241754517	938067831	1692656982	806818246	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
2	DepthCheck_DelayedNear	UNCUED	0	225	225	5	1	129	56	78	84	114	469120020	1738577471	2105889835	468156672	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
3	DepthCheck_DelayedNear	CUED	0	45	45	1	9	193	56	78	84	114	226631915	1830631158	1703416511	1010192929	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
4	DepthCheck_DelayedNear	CUED	1	0	45	1	9	101	56	78	84	114	206421397	467901608	1671940547	1549161585	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
5	DepthCheck_DelayedNear	CUED	0	0	45	1	9	90	56	78	84	114	116542902	165778751	573694791	1583311811	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
6	DepthCheck_DelayedNear	CUED	1	90	-1	-1	-1	68	56	78	84	114	110544217	1603640034	1864808257	1552563592	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
7	DepthCheck_DelayedNear	UNCUED	0	45	-1	-1	-1	48	56	78	84	114	261762963	527052086	951851950	1542462343	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
8	DepthCheck_DelayedNear	CUED	1	90	90	0	8	96	56	78	84	114	771204870	2064914992	754544565	416343989	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
9	DepthCheck_DelayedNear	UNCUED	0	315	-1	-1	-1	-1	56	78	84	114	1519134586	1274973091	1510153620	139755829	G	N	N	ABORT	OnApplicationQuit	00000000	00000000	00000000			
