Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
45	UNCUED	0	315	270	4	2	72	56	78	84	114	1854454517	619637589	515037480	2022851227	G		XR Controller	F088AE08	083E616C		
46	CUED	1	270	0	2	6	73	56	78	84	114	1957387490	1263434497	974700710	1230693243	G		XR Controller	CB090948	083E616C		
47	UNCUED	0	225	180	6	4	63	56	78	84	114	320623841	1232382993	512913835	942558632	R		XR Controller	F088AE08	BC9E36AC		
48	UNCUED	0	315	270	4	2	64	56	78	84	114	768815582	52769873	619285610	1869778545	R		XR Controller	F088AE08	BC9E36AC		
49	UNCUED	0	0	180	6	4	76	56	78	84	114	1584458820	1074672441	436848885	2101040111	G		XR Controller	F088AE08	083E616C		
50	CUED	1	270	270	4	2	56	56	78	84	114	2134095278	1408507108	473285194	1072848345	R		XR Controller	CB090948	BC9E36AC		
51	CUED	1	180	180	6	4	55	56	78	84	114	871716971	2108949079	212752569	1161741718	R		XR Controller	CB090948	BC9E36AC		
52	UNCUED	1	270	90	0	8	68	56	78	84	114	486568995	1790691505	2137484897	1635864811	G		XR Controller	67DD8480	083E616C		
53	UNCUED	1	90	270	4	2	55	56	78	84	114	1684949744	147668244	323925528	1035095204	G		XR Controller	67DD8480	083E616C		
54	CUED	0	0	45	1	9	51	56	78	84	114	1291320927	2045236545	1973534753	967028808	G		XR Controller	6CBED730	083E616C		
55	UNCUED	0	270	270	4	2	49	56	78	84	114	164591587	1527289446	1056001506	461177881	G		XR Controller	F088AE08	083E616C		
56	CUED	0	270	270	4	2	49	56	78	84	114	867651925	1017802031	962842144	816348459	R		XR Controller	6CBED730	BC9E36AC		
57	CUED	0	45	90	0	8	54	56	78	84	114	641065232	1513010595	1895891908	1470266072	R		XR Controller	6CBED730	BC9E36AC		
58	UNCUED	0	180	270	4	2	65	56	78	84	114	1955828328	1320111746	2130560304	944119729	R		XR Controller	F088AE08	BC9E36AC		
59	CUED	1	135	135	7	7	57	56	78	84	114	1630510560	746540979	1797520421	1192614329	R		XR Controller	CB090948	BC9E36AC		
60	UNCUED	0	135	45	1	9	103	56	78	84	114	1798054689	627935145	1713881342	1175493741	G		XR Controller	F088AE08	083E616C		
61	UNCUED	0	180	45	1	9	69	56	78	84	114	2126577345	1390356111	395061052	457137179	G		XR Controller	F088AE08	083E616C		
62	CUED	1	0	0	2	6	56	56	78	84	114	51613147	980359712	318903839	1975129456	G		XR Controller	CB090948	083E616C		
63	CUED	0	315	315	3	3	59	56	78	84	114	1003003726	679405033	1887006608	503076144	R		XR Controller	6CBED730	BC9E36AC		
