Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	180	180	6	4	156	56	78	84	114	181938521	2018541947	925933989	744278375	R		XR Controller	6CBED730	BC9E36AC		
1	UNCUED	0	45	0	2	6	89	56	78	84	114	1111098109	1659305421	166378820	1336116716	G		XR Controller	F088AE08	083E616C		
2	UNCUED	1	270	90	0	8	89	56	78	84	114	151159398	1347073515	2083295167	1426209326	R		XR Controller	67DD8480	BC9E36AC		
3	UNCUED	0	135	90	0	8	122	56	78	84	114	1186210872	1010436200	238434384	1550960326	R		XR Controller	F088AE08	BC9E36AC		
4	UNCUED	1	0	90	0	8	110	56	78	84	114	1089566925	1954365611	1908944116	377307697	R		XR Controller	67DD8480	BC9E36AC		
5	CUED	1	180	180	6	4	99	56	78	84	114	2041708586	1598297749	927944763	782464637	R		XR Controller	CB090948	BC9E36AC		
6	CUED	0	90	90	0	8	87	56	78	84	114	727883229	1941933321	1062667283	1309907930	G		XR Controller	6CBED730	083E616C		
7	UNCUED	1	135	45	1	9	81	56	78	84	114	1353421107	262170542	418537562	1572531015	R		XR Controller	67DD8480	BC9E36AC		
8	UNCUED	1	180	45	1	9	205	56	78	84	114	2096444883	731494768	1102032875	1215289650	G		XR Controller	67DD8480	083E616C		
9	UNCUED	0	315	270	4	2	79	56	78	84	114	1307621314	1350731559	314129454	1476187380	R		XR Controller	F088AE08	BC9E36AC		
10	CUED	0	45	45	1	9	86	56	78	84	114	816541886	354822416	845480141	114096149	G		XR Controller	6CBED730	083E616C		
11	UNCUED	1	315	270	4	2	86	56	78	84	114	1622657015	1552379425	1897274899	285530220	R		XR Controller	67DD8480	BC9E36AC		
12	CUED	1	225	225	5	1	83	56	78	84	114	784726151	332717892	1716507919	1990975628	R		XR Controller	CB090948	BC9E36AC		
13	CUED	1	225	270	4	2	78	56	78	84	114	1692675673	553688302	164249237	1555628483	G		XR Controller	CB090948	083E616C		
14	UNCUED	0	90	90	0	8	73	56	78	84	114	237322869	2112311252	1134956388	1484525092	G		XR Controller	F088AE08	083E616C		
15	CUED	1	90	90	0	8	64	56	78	84	114	1664783912	1861395001	1436880971	978488702	G		XR Controller	CB090948	083E616C		
16	UNCUED	0	225	225	5	1	78	56	78	84	114	70607063	11013479	394353125	1670993935	G		XR Controller	F088AE08	083E616C		
17	CUED	1	0	0	2	6	144	56	78	84	114	489190950	370251951	1294981288	1180534384	R		XR Controller	CB090948	BC9E36AC		
18	UNCUED	0	135	135	7	7	187	56	78	84	114	1645064498	1925391343	376922175	1922226738	G		XR Controller	F088AE08	083E616C		
19	CUED	1	0	0	2	6	102	56	78	84	114	1999595643	1949152775	579268944	1772336325	G		XR Controller	CB090948	083E616C		
20	CUED	0	90	90	0	8	93	56	78	84	114	254600395	1255317268	374328378	1004146446	R		XR Controller	6CBED730	BC9E36AC		
21	CUED	1	270	270	4	2	71	56	78	84	114	353690598	1835610127	1476529418	1113886372	G		XR Controller	CB090948	083E616C		
22	CUED	0	270	90	0	8	70	56	78	84	114	1331661026	1348346549	342305818	1793725612	R		XR Controller	6CBED730	BC9E36AC		
23	CUED	0	135	90	0	8	73	56	78	84	114	1143194529	2137348187	2009067297	1942281758	R		XR Controller	6CBED730	BC9E36AC		
24	CUED	1	45	45	1	9	63	56	78	84	114	1147556100	355786112	1471719932	370664877	R		XR Controller	CB090948	BC9E36AC		
25	UNCUED	1	270	90	0	8	79	56	78	84	114	1660725034	482111714	1973265502	621926339	G		XR Controller	67DD8480	083E616C		
26	CUED	1	90	270	4	2	66	56	78	84	114	24864847	34077249	1789741348	524244339	R		XR Controller	CB090948	BC9E36AC		
27	CUED	1	315	315	3	3	153	56	78	84	114	1664908668	1952968955	2107035871	1242106505	R		XR Controller	CB090948	BC9E36AC		
28	UNCUED	1	45	45	1	9	76	56	78	84	114	733050372	309041447	1561973805	2039417623	G		XR Controller	67DD8480	083E616C		
29	UNCUED	1	225	225	5	1	94	56	78	84	114	1693773690	1709909020	662788117	1096704785	G		XR Controller	67DD8480	083E616C		
30	UNCUED	0	180	225	5	1	73	56	78	84	114	696214224	1932867412	859276802	1038844516	G		XR Controller	F088AE08	083E616C		
31	UNCUED	1	0	45	1	9	70	56	78	84	114	492942147	881641319	766758083	1096599671	G		XR Controller	67DD8480	083E616C		
32	UNCUED	0	225	90	0	8	137	56	78	84	114	1258401561	1493033242	2091248479	1870097819	R		XR Controller	F088AE08	BC9E36AC		
33	CUED	1	180	225	5	1	63	56	78	84	114	712564715	321235802	596795884	1433644746	G		XR Controller	CB090948	083E616C		
34	UNCUED	0	90	90	0	8	71	56	78	84	114	1448901631	560036535	185427095	981374318	R		XR Controller	F088AE08	BC9E36AC		
35	CUED	0	315	90	0	8	82	56	78	84	114	1389249663	2143027957	255182298	1935906849	G		XR Controller	6CBED730	083E616C		
